epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,2.0952714194132808e-06,2.0952714194132808e-06,1406715.8333333333,2.1901756966230446
1,1.7434411417409467e-06,3.838712561154227e-06,282315.3515625,1.1757086424984826
2,1.7724879791411922e-06,5.611200540295419e-06,311818.2291666667,1.160478395594016
3,1.6391135293979195e-06,7.250314069693339e-06,204499.3203125,1.3497983561191582
4,1.7918525800458758e-06,9.042166649739214e-06,172440.79427083334,1.462371006697049
5,2.019638104241749e-06,1.1061804753980963e-05,168693.0859375,1.349420096670524
6,1.5567486428733104e-06,1.2618553396854273e-05,154701.43229166666,1.242463236295909
7,1.5442145893770362e-06,1.4162767986231308e-05,154612.58072916666,1.2427443769096196
8,1.7384361549230387e-06,1.5901204141154348e-05,149116.89322916666,1.2770903822792627
9,1.6937411045963684e-06,1.7594945245750716e-05,152683.5234375,1.2824855388494094
10,1.681189795624223e-06,1.927613504137494e-05,146615.19270833334,1.2545414863114752
11,1.5907242005467718e-06,2.086685924192171e-05,148759.296875,1.2389349959002751
12,2.062341013997381e-06,2.292920025591909e-05,143703.78645833334,1.2427022759532846
13,1.857304995640103e-06,2.478650525155919e-05,148280.15625,1.2367015356081563
14,1.8464468113477912e-06,2.663295206290698e-05,146322.6484375,1.2256018647264324
15,1.6845483043828898e-06,2.8317500367289872e-05,147502.63541666666,1.2313824133520204
16,1.7059629100735868e-06,3.002346327736346e-05,141319.53645833334,1.2273448656697408
17,1.7028093437200177e-06,3.172627262108348e-05,141134.41927083334,1.2074885161586708
18,1.6151930966434265e-06,3.334146571772691e-05,144721.43489583334,1.210326202761541
19,1.5981987212665004e-06,3.493966443899341e-05,147997.88541666666,1.2177160797373658
20,1.8241202054913017e-06,3.676378464448471e-05,146521.4765625,1.205279090130628
21,1.8165113912818572e-06,3.8580296035766566e-05,143640.91666666666,1.202146921172246
22,1.9047351147137666e-06,4.048503115048033e-05,144985.4296875,1.1982325110181615
23,1.6168531400096856e-06,4.210188429049002e-05,140147.2421875,1.1992029476628474
24,1.5550855684880507e-06,4.365696985897807e-05,143399.46875,1.1937841293612503
25,1.735356930080578e-06,4.539232678905865e-05,144235.76041666666,1.1884224968229742
26,1.5899069214803041e-06,4.698223371053896e-05,140701.16666666666,1.1827059304214962
27,1.779206640096912e-06,4.876144035063587e-05,141029.1328125,1.1854693100227691
28,1.6121975700527927e-06,5.037363792068866e-05,137373.6328125,1.1762758645916764
29,1.6309829218891173e-06,5.200462084257777e-05,142376.171875,1.1750032638833279
30,1.5421356142097142e-06,5.354675645678749e-05,139668.484375,1.1731413217595223
31,1.6563431037840282e-06,5.520309956057152e-05,137056.65364583334,1.172215245073152
32,1.5872125099880222e-06,5.679031207055954e-05,136988.72786458334,1.165745853986903
33,1.5221921815858088e-06,5.831250425214535e-05,136957.62369791666,1.163353919974221
34,1.6152174047628686e-06,5.992772165690822e-05,134065.79947916666,1.167652685020657
35,1.8836281237156756e-06,6.18113497806239e-05,131741.109375,1.1600444818040003
36,1.527152912695208e-06,6.33385026933191e-05,138530.39322916666,1.1591398856288928
37,1.499512380616125e-06,6.483801507393521e-05,130218.51822916667,1.155948545816213
38,1.4630530133862971e-06,6.630106808732151e-05,131599.21744791666,1.1524076656437343
39,1.6059244686868785e-06,6.790699255600838e-05,129661.55208333333,1.1507598675860564
40,1.5349070467479105e-06,6.944189960275629e-05,131751.56380208334,1.1499656737349329
41,1.5226896692093168e-06,7.096458927196561e-05,129887.21354166667,1.1487667520968512
42,1.6035584347916336e-06,7.256814770675724e-05,127892.56640625,1.1459360955001685
43,1.6259246060101806e-06,7.419407231276742e-05,133081.38932291666,1.1449895708676294
44,1.5219115245104024e-06,7.571598383727782e-05,127883.72786458333,1.1418403817205487
45,1.5239099778946025e-06,7.723989381517241e-05,127453.07161458333,1.1364834907780264
46,1.4996009473488672e-06,7.873949476252128e-05,127514.5390625,1.1384098201760242
47,1.4745404140345084e-06,8.021403517655579e-05,125497.25520833333,1.135235486010132
48,1.4736584895289802e-06,8.168769366608477e-05,126173.99869791667,1.1334056438920554
49,1.472869347435061e-06,8.316056301351984e-05,125422.77083333333,1.1318444115175454
