epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,2.304030821191595e-06,2.304030821191595e-06,1372582.75,2.159900558186249,1.9130306911715693
1,1.958742602160224e-06,4.262773423351819e-06,273538.8723958333,1.1723952888958797,0.9587045296046492
2,2.0052405914841025e-06,6.268014014835922e-06,310626.140625,1.1605336311139507,0.9372878741291241
3,1.7986194710030144e-06,8.066633485838936e-06,205161.76302083334,1.344503543956223,1.1158529377275883
4,1.710892048202007e-06,9.777525534040942e-06,171542.40104166666,1.4599374488873627,1.2357433289648516
5,1.7271128014928848e-06,1.1504638335533827e-05,169024.8359375,1.3494649426017533,1.1288191017760016
6,1.7287069166400333e-06,1.323334525217386e-05,154724.86458333334,1.2399420755298693,1.0232924184664183
7,1.6420176412466516e-06,1.4875362893420513e-05,154470.21875,1.2380904297274555,1.020690047497562
8,1.668189681757922e-06,1.6543552575178435e-05,149229.61458333334,1.271695513974652,1.0547450981676132
9,1.8339081369257638e-06,1.83774607121042e-05,152635.82552083334,1.2787390691018354,1.0628215763036863
10,2.200415915463296e-06,2.0577876627567496e-05,146613.44010416666,1.2515775022930742,1.0372327799020977
11,2.0459096052928394e-06,2.2623786232860335e-05,148779.61458333334,1.234817875908633,1.0209393846767114
12,1.8048283374285678e-06,2.4428614570288903e-05,143755.5,1.2375218641232844,1.0233140968076004
13,1.6606185601061042e-06,2.6089233130395008e-05,148355.94791666666,1.2320717570442745,1.0190819245964386
14,1.652877883412914e-06,2.774211101380792e-05,146410.74739583334,1.2227616686708547,1.0106290200515564
15,1.677249883171027e-06,2.941936089697895e-05,147567.04166666666,1.2274115593683372,1.015009455703802
16,1.6368235056867173e-06,3.1056184402665665e-05,141385.99479166666,1.2217792673704042,1.0098593377870124
17,1.663958300309911e-06,3.2720142702975574e-05,141207.3203125,1.2035104667725325,0.9926339567218315
18,1.61291549430151e-06,3.433305819727709e-05,144795.63020833334,1.2084690512379372,0.9974505128402902
19,1.6313369453398006e-06,3.5964395142616886e-05,148049.0390625,1.2146049943473352,1.0035334553900777
20,1.6356960310810185e-06,3.7600091173697904e-05,146550.70572916666,1.2011242468630365,0.9907085000977023
21,1.6326145837290615e-06,3.9232705757426967e-05,143673.93489583334,1.1987680654625121,0.9887151705547831
22,1.6342303161893062e-06,4.0866936073616276e-05,144956.64713541666,1.1958074802116045,0.9867008564047212
23,1.6384253086722193e-06,4.2505361382288495e-05,140149.546875,1.1964591721880788,0.9870895529744187
24,1.6288141575587925e-06,4.413417553984729e-05,143352.5,1.1909418717434888,0.9814636417652399
25,1.6103743249818913e-06,4.574454986482918e-05,144162.79947916666,1.1862442414537122,0.9776408596901045
26,1.652876096505177e-06,4.7397425961334354e-05,140655.53125,1.1804503415482683,0.9725422451462539
27,1.613884063764299e-06,4.9011310025098654e-05,140942.84635416666,1.1820062358370491,0.9739663266419084
28,1.628924988061443e-06,5.06402350131601e-05,137274.22265625,1.1739156929695076,0.9668308072858601
29,1.8247550954744555e-06,5.2464990108634557e-05,142364.0390625,1.1726892538479607,0.9659093218285422
30,1.6868053527142953e-06,5.415179546134885e-05,139443.8203125,1.1700586682545986,0.9631008557648504
31,1.6694029398076305e-06,5.5821198401156486e-05,136963.5546875,1.1697979815410353,0.9635228034960635
32,1.6564622629766062e-06,5.747766066413309e-05,136791.63411458334,1.1637196841932735,0.9576834032496008
33,1.6451475583178513e-06,5.912280822245094e-05,136850.39192708334,1.1613325048939345,0.9556834483018902
34,1.6501656567485734e-06,6.077297387919951e-05,134025.61458333334,1.1644284908801477,0.9587547917920998
35,1.6555626249525206e-06,6.242853650415204e-05,131559.05208333334,1.1585064653138817,0.9536042670666521
36,1.6451311994011725e-06,6.407366770355321e-05,138206.0625,1.1563711888432346,0.9519258131911388
37,1.6722588660953051e-06,6.574592656964851e-05,129944.72526041667,1.1529505516491536,0.9483761562203972
38,1.8365068569040486e-06,6.758243342655256e-05,131358.87760416666,1.150855042685403,0.9466949212933817
39,1.7164097196890742e-06,6.929884314624164e-05,129406.9921875,1.1471519055122126,0.9433008185307414
40,1.8479651400099947e-06,7.114680828625164e-05,131472.85807291666,1.1479873303892523,0.9446239765248586
41,1.873623512794377e-06,7.302043179904601e-05,129683.64973958333,1.146292243404802,0.9431140392798529
42,1.7897995401675902e-06,7.48102313392136e-05,127752.16927083333,1.1431291329010256,0.9399919385876472
43,1.6524042690377637e-06,7.646263560825136e-05,132914.359375,1.1419003231898681,0.9392700582714981
44,1.7401798613490316e-06,7.82028154696004e-05,127674.40234375,1.1391586777013767,0.9365787957597332
45,1.7025992669255935e-06,7.9905414736526e-05,127267.48177083333,1.134007465167241,0.9319773508252144
46,1.7135160309640337e-06,8.161893076749002e-05,127400.48828125,1.1361125545508581,0.9340868892582769
47,1.6260366462637507e-06,8.324496741375378e-05,125349.9609375,1.132202984204885,0.9306447786903986
48,1.6196411720321567e-06,8.486460858578594e-05,126036.64453125,1.1303180650190794,0.9290394545604972
49,1.6013378246229146e-06,8.646594641040886e-05,125204.89322916667,1.1286785827466805,0.9272903235136877
