epoch,train_loss,test_loss,test_rmse
0,1372582.75,467061.16,2.159900558186249
1,273538.8723958333,137953.25,1.1723952888958797
2,310626.140625,135189.02,1.1605336311139507
3,205161.76302083334,181279.05,1.344503543956223
4,171542.40104166666,213659.19,1.4599374488873627
5,169024.8359375,182622.05,1.3494649426017533
6,154724.86458333334,154260.2,1.2399420755298693
7,154470.21875,153802.06,1.2380904297274555
8,149229.61458333334,162238.03,1.271695513974652
9,152635.82552083334,164035.38,1.2787390691018354
10,146613.44010416666,157162.48,1.2515775022930742
11,148779.61458333334,152995.75,1.234817875908633
12,143755.5,153664.9,1.2375218641232844
13,148355.94791666666,152319.6,1.2320717570442745
14,146410.74739583334,150034.84,1.2227616686708547
15,147567.04166666666,151174.88,1.2274115593683372
16,141385.99479166666,149796.17,1.2217792673704042
17,141207.3203125,145366.39,1.2035104667725325
18,144795.63020833334,146563.78,1.2084690512379372
19,148049.0390625,148051.97,1.2146049943473352
20,146550.70572916666,144796.67,1.2011242468630365
21,143673.93489583334,144233.02,1.1987680654625121
22,144956.64713541666,143525.97,1.1958074802116045
23,140149.546875,143683.8,1.1964591721880788
24,143352.5,142368.67,1.1909418717434888
25,144162.79947916666,141254.47,1.1862442414537122
26,140655.53125,139886.0,1.1804503415482683
27,140942.84635416666,140256.17,1.1820062358370491
28,137274.22265625,138353.47,1.1739156929695076
29,142364.0390625,138068.92,1.1726892538479607
30,139443.8203125,137455.78,1.1700586682545986
31,136963.5546875,137398.23,1.1697979815410353
32,136791.63411458334,135983.75,1.1637196841932735
33,136850.39192708334,135432.92,1.1613325048939345
34,134025.61458333334,136157.12,1.1644284908801477
35,131559.05208333334,134785.67,1.1585064653138817
36,138206.0625,134295.83,1.1563711888432346
37,129944.72526041667,133510.78,1.1529505516491536
38,131358.87760416666,133032.97,1.150855042685403
39,129406.9921875,132186.78,1.1471519055122126
40,131472.85807291666,132383.39,1.1479873303892523
41,129683.64973958333,131999.31,1.146292243404802
42,127752.16927083333,131280.14,1.1431291329010256
43,132914.359375,131004.74,1.1419003231898681
44,127674.40234375,130384.9,1.1391586777013767
45,127267.48177083333,129219.305,1.134007465167241
46,127400.48828125,129702.36,1.1361125545508581
47,125349.9609375,128821.45,1.132202984204885
48,126036.64453125,128400.79,1.1303180650190794
49,125204.89322916667,128035.96,1.1286785827466805
