epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,1739.01171875,28.1,8.075127363204956,1406715.8333333333,2.1901756966230446
1,1932.40234375,34.1,7.468846082687378,282315.3515625,1.1757086424984826
2,1934.6640625,33.6,7.530088663101196,311818.2291666667,1.160478395594016
3,1935.11328125,35.7,7.361896753311157,204499.3203125,1.3497983561191582
4,1935.98828125,33.8,7.5726916790008545,172440.79427083334,1.462371006697049
5,1936.0078125,37.6,8.00472116470337,168693.0859375,1.349420096670524
6,1935.9609375,40.7,7.322710275650024,154701.43229166666,1.242463236295909
7,1935.9609375,34.5,7.134364128112793,154612.58072916666,1.2427443769096196
8,1935.9765625,25.7,7.438157081604004,149116.89322916666,1.2770903822792627
9,1936.23046875,32.9,7.434922933578491,152683.5234375,1.2824855388494094
10,1937.078125,34.1,7.384161949157715,146615.19270833334,1.2545414863114752
11,1937.08203125,36.1,7.258073091506958,148759.296875,1.2389349959002751
12,1937.08203125,31.8,7.980618238449097,143703.78645833334,1.2427022759532846
13,1937.11328125,48.1,7.716853141784668,148280.15625,1.2367015356081563
14,1937.1171875,37.5,7.786918640136719,146322.6484375,1.2256018647264324
15,1937.1171875,39.7,7.488311052322388,147502.63541666666,1.2313824133520204
16,1937.09375,35.4,7.416393041610718,141319.53645833334,1.2273448656697408
17,1937.09375,41.0,7.441628456115723,141134.41927083334,1.2074885161586708
18,1937.09765625,34.3,7.316761255264282,144721.43489583334,1.210326202761541
19,1937.09765625,33.4,7.236037969589233,147997.88541666666,1.2177160797373658
20,1937.09375,30.9,7.61993670463562,146521.4765625,1.205279090130628
21,1937.09375,43.9,7.6581690311431885,143640.91666666666,1.202146921172246
22,1937.08984375,45.4,7.712067365646362,144985.4296875,1.1982325110181615
23,1937.08984375,46.4,7.453534126281738,140147.2421875,1.1992029476628474
24,1937.08984375,38.4,7.183352947235107,143399.46875,1.1937841293612503
25,1937.08984375,32.7,7.485941648483276,144235.76041666666,1.1884224968229742
26,1937.09375,36.1,7.275901794433594,140701.16666666666,1.1827059304214962
27,1937.140625,37.1,7.54577112197876,141029.1328125,1.1854693100227691
28,1937.14453125,34.7,7.5061354637146,137373.6328125,1.1762758645916764
29,1937.14453125,35.2,7.358555793762207,142376.171875,1.1750032638833279
30,1937.14453125,33.8,7.181562185287476,139668.484375,1.1731413217595223
31,1937.140625,31.7,7.322469711303711,137056.65364583334,1.172215245073152
32,1937.140625,33.2,7.264209270477295,136988.72786458334,1.165745853986903
33,1937.1328125,30.2,7.098250150680542,136957.62369791666,1.163353919974221
34,1937.12890625,31.2,7.304073333740234,134065.79947916666,1.167652685020657
35,1934.97265625,34.3,7.754194021224976,131741.109375,1.1600444818040003
36,1936.015625,36.5,7.12570595741272,138530.39322916666,1.1591398856288928
37,1936.28125,30.0,7.110368013381958,130218.51822916667,1.155948545816213
38,1936.3125,27.7,7.059005498886108,131599.21744791666,1.1524076656437343
39,1936.54296875,27.2,7.242300987243652,129661.55208333333,1.1507598675860564
40,1936.58203125,33.7,7.149417400360107,131751.56380208334,1.1499656737349329
41,1936.5859375,31.5,7.131521701812744,129887.21354166667,1.1487667520968512
42,1936.5859375,28.4,7.2817370891571045,127892.56640625,1.1459360955001685
43,1936.5859375,30.2,7.327787399291992,133081.38932291666,1.1449895708676294
44,1936.5859375,29.8,7.164883375167847,127883.72786458333,1.1418403817205487
45,1936.5859375,29.1,7.123538970947266,127453.07161458333,1.1364834907780264
46,1936.61328125,28.1,7.084197521209717,127514.5390625,1.1384098201760242
47,1936.6171875,28.6,7.0367186069488525,125497.25520833333,1.135235486010132
48,1936.6171875,26.5,7.025347471237183,126173.99869791667,1.1334056438920554
49,1936.6171875,25.7,7.027605772018433,125422.77083333333,1.1318444115175454
