 Genre          Avg R. (F)      Avg R. (m)      Avg No.R. (F)    Avg No.R (M)   RMSE (F)        RMSE (M)        EO
Adventure       3.51            3.47            2649            10645           0.88            0.82            0.05
Children's      3.54            3.34            2032            5000            0.86            0.84            0.03
Fantasy         3.50            3.41            848             2724            0.90            0.85            0.05
Comedy          3.55            3.50            9608            26064           0.88            0.84            0.04
Romance         3.67            3.58            5116            9749            0.87            0.83            0.05
Drama           3.77            3.77            9956            25345           0.87            0.81            0.06
Action          3.48            3.49            4444            21129           0.88            0.81            0.07
Crime           3.70            3.71            1631            6344            0.87            0.80            0.07
Thriller        3.58            3.58            4001            14868           0.88            0.79            0.09
Horror          3.16            3.23            1469            6212            1.02            0.87            0.15
Animation       3.75            3.64            1168            2981            0.84            0.84            -0.01
Sci-Fi          3.46            3.48            2713            12878           0.93            0.84            0.09
Documentary     3.83            3.94            180             618             0.94            0.88            0.06
War             3.90            3.90            1414            5464            0.85            0.77            0.08
Musical         3.78            3.61            1353            2849            0.87            0.86            0.01
Mystery         3.72            3.71            971             2959            0.87            0.81            0.06
Film-Noir       4.02            4.09            406             1438            0.81            0.78            0.04
Western         3.50            3.67            377             1748            0.87            0.81            0.06
