epoch,train_loss,test_loss,test_rmse
0,1389496.78125,472789.28,2.1731156106084395
1,277806.8125,137915.53,1.1722285676049737
2,312685.2083333333,135951.55,1.163807757451869
3,208041.81770833334,184563.25,1.3566560102659755
4,173066.0625,217089.94,1.471635581828789
5,170190.96354166666,183773.97,1.3537239299589834
6,155356.09114583334,154801.0,1.242120081346321
7,154845.06770833334,154941.86,1.2426847107360994
8,149371.15364583334,163485.0,1.2765888185686047
9,152742.6640625,164879.14,1.2820341277084926
10,146562.72135416666,157814.62,1.2541801638323606
11,148642.06770833334,153729.78,1.2377865543477724
12,143534.36458333334,154457.95,1.2407216513445287
13,148059.75,153057.89,1.235063515680706
14,146013.65364583334,150568.48,1.224940587002077
15,147130.26041666666,152026.39,1.2308734651976507
16,140852.4765625,150789.72,1.225835659358721
17,140618.81770833334,146225.7,1.207071372148321
18,144038.14322916666,147573.55,1.212634652272149
19,147108.30989583334,148602.14,1.2168614180477455
20,145596.40364583334,145620.0,1.2045389162147784
21,142584.2421875,144769.86,1.2009958771996891
22,143794.24348958334,144008.73,1.197813525743136
23,139058.44010416666,144636.66,1.200422088518188
24,142126.78645833334,142741.5,1.1924921065269218
25,142813.9453125,141787.64,1.1884736998192218
26,139266.79036458334,140186.11,1.1817033930088983
27,139501.78385416666,140647.64,1.1836419696719918
28,135799.15625,138656.42,1.1751848180036375
29,140780.015625,138461.97,1.1743419273284779
30,137998.25,137637.6,1.1708120467793484
31,135452.15234375,137560.25,1.1704654016077523
32,135336.73958333334,136278.47,1.1649588603169316
33,135235.11848958334,135477.44,1.1614966688623913
34,132384.84114583334,136182.25,1.164507610029539
35,129940.21484375,134880.66,1.1588864079631922
36,136468.07942708334,134695.9,1.158068909400679
37,128433.16927083333,133736.95,1.1538988417149305
38,129697.00260416667,132981.0,1.1505958762111521
39,127826.89583333333,132375.52,1.147939788169331
40,129648.18619791667,132507.02,1.1484901945760124
41,127909.48307291667,132171.95,1.147008141682693
42,126015.01822916667,131287.4,1.1431227836079374
43,130987.6328125,131042.58,1.1420264931264252
44,125795.796875,130622.805,1.1401617699801858
45,125510.72135416667,129216.22,1.1339519583414492
46,125651.95703125,129575.445,1.135510997609207
47,123712.99609375,128949.97,1.1327271468514006
48,124391.1484375,128470.81,1.130584068890448
49,123581.64453125,128144.945,1.1291167683460166
