epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,1833.75,15.3,42.89830160140991,1387764.8229166667,2.1754362737839905,1.9266584162518017
1,2112.390625,20.9,36.21756649017334,278775.7552083333,1.1768029792642052,0.9623500352963178
2,2114.953125,17.1,36.51951861381531,307919.34375,1.1577605165058502,0.9347044264535701
3,2115.5859375,16.6,36.196001052856445,206269.1796875,1.3336579103539767,1.1053610455010023
4,2115.9140625,16.6,38.43990421295166,171336.578125,1.4487899179710166,1.2251024547394447
5,2116.8515625,20.8,36.409773111343384,168513.9296875,1.3465019380671233,1.1266136359484815
6,2116.83203125,17.1,35.96123957633972,154949.93229166666,1.23942039328392,1.0236261729088252
7,2116.89453125,16.9,35.01569318771362,154341.81510416666,1.2339076845549597,1.0176474624692895
8,2116.92578125,15.8,35.07774472236633,149162.89583333334,1.2652782285164526,1.048934406129044
9,2116.92578125,16.6,35.21166658401489,152678.59895833334,1.27269833701035,1.0574850591150973
10,2116.92578125,17.1,35.15460753440857,146518.31510416666,1.247275205283906,1.0337651244643244
11,2116.92578125,16.7,35.101094245910645,148754.37760416666,1.230423033599621,1.0175321836430606
12,2116.92578125,16.6,35.229751110076904,143626.4140625,1.2325077824313504,1.0191359660637638
13,2116.94140625,17.1,42.84463453292847,148277.05729166666,1.2265322711247637,1.014316230159283
14,2116.94140625,33.8,41.48937726020813,146292.27864583334,1.2161177721093797,1.0049634318346214
15,2116.9296875,27.2,35.71462798118591,147468.21614583334,1.221506823253576,1.0099806023477618
16,2116.9296875,17.6,35.78215742111206,141294.13802083334,1.2179517970092255,1.0066801414390252
17,2116.9296875,17.8,36.77271628379822,141130.36458333334,1.1987832989406824,0.9886950273938853
18,2116.9296875,19.5,35.48322296142578,144715.5078125,1.2024364453211103,0.9923522419874966
19,2116.9296875,16.3,35.180835008621216,147892.97135416666,1.2097747107540417,0.9993220535410272
20,2116.9296875,16.7,35.72309184074402,146455.09114583334,1.1965209238257306,0.9869296335795958
21,2102.00390625,17.7,35.17448830604553,143528.06770833334,1.1920475352456237,0.9829260528435038
22,2106.4375,16.7,35.17555475234985,144835.55598958334,1.1883906765267003,0.9800394296644926
23,2107.83203125,16.9,35.15741777420044,140030.02864583334,1.1901717202409259,0.9816295329452572
24,2108.45703125,16.3,35.03368616104126,143287.66145833334,1.1846513344058587,0.9758850290719259
25,2108.55859375,16.2,35.35919952392578,144086.03385416666,1.1790275651115762,0.9711157166201393
26,2108.640625,17.5,35.373700857162476,140602.61979166666,1.1739005492816188,0.9666435820349532
27,2108.66015625,17.6,35.05396056175232,140977.359375,1.1754478732890277,0.9680502179832905
28,2108.68359375,16.5,35.07611012458801,137329.92578125,1.167204503220044,0.9607749867260017
29,2108.68359375,16.6,35.70706248283386,142405.55989583334,1.1655725871739746,0.9593845855285
30,2108.6953125,16.8,35.165005683898926,139686.828125,1.1643848782179693,0.9578453123571277
31,2108.6953125,16.8,35.25892925262451,137188.8515625,1.1630766302030409,0.9574373359848035
32,2108.6953125,16.4,35.23788571357727,137074.58203125,1.1564259230858134,0.9509789677616206
33,2108.6953125,17.0,35.15253233909607,137006.89453125,1.1545246069247233,0.9493644042032285
34,2108.69921875,17.0,35.29064702987671,134267.5546875,1.158820020673577,0.9537118585259334
35,2108.69921875,16.7,35.05596423149109,131865.41015625,1.1525230805940865,0.9480385097670864
36,2108.69921875,16.5,35.18534231185913,138571.70963541666,1.1512222721548693,0.9471829313759473
37,2108.7109375,16.4,35.094340801239014,130320.20442708333,1.1472920126237516,0.9432199565613976
38,2108.72265625,16.6,36.00143384933472,131694.34765625,1.1447650743506452,0.9409349220400994
39,2108.72265625,17.8,35.3012752532959,129855.84635416667,1.1429693481221914,0.9394765834224775
40,2108.72265625,16.4,35.221089601516724,131777.01302083334,1.142307637114552,0.9393292238658892
41,2108.7265625,16.5,35.318490982055664,130111.15234375,1.140573915366971,0.9378258638847683
42,2108.7265625,16.3,35.10099816322327,128072.19661458333,1.1376777792264157,0.9349855478582625
43,2108.7265625,16.4,35.14084005355835,133167.14973958334,1.1373554573359046,0.934993533581554
44,2108.7265625,16.7,35.05460858345032,128011.12239583333,1.135157354118836,0.9327805131220018
45,2108.734375,16.5,35.247456312179565,127552.75911458333,1.129033390594662,0.9273026293827766
46,2108.734375,17.0,35.401745080947876,127774.83984375,1.1308103379498327,0.9289533662200814
47,2105.7109375,17.7,35.36049461364746,125708.09114583333,1.1283484999202953,0.9270986096440713
48,2107.77734375,16.9,35.22873568534851,126393.90625,1.1256575078368523,0.9247153543305394
49,2109.13671875,16.6,35.05838203430176,125636.13802083333,1.1244922952775664,0.923319240797081
