epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,3.2708298671631734e-06,3.2708298671631734e-06,1391760.1145833333,2.177247507102662
1,3.0341319532485255e-06,6.304961820411699e-06,280048.9166666667,1.177753904458228
2,3.170821246747273e-06,9.475783067158972e-06,302273.703125,1.1578220350058022
3,2.898980016689408e-06,1.237476308384838e-05,206763.1875,1.3454209330066706
4,3.086576977132811e-06,1.546134006098119e-05,171129.72395833334,1.4595584452800603
5,3.07286635933216e-06,1.8534206420313353e-05,168270.09635416666,1.3548402125599706
6,2.8252890344559804e-06,2.1359495454769334e-05,156974.6640625,1.2457499081295147
7,2.8538564508704433e-06,2.4213351905639777e-05,154230.3203125,1.2402981792687093
8,2.8536063067309537e-06,2.7066958212370732e-05,150283.87760416666,1.2773579652827118
9,3.0561316737334254e-06,3.0123089886104158e-05,149259.72135416666,1.278480039560477
10,3.1251474045835866e-06,3.324823729068774e-05,144356.33333333334,1.2532077932930141
11,2.9354486184608184e-06,3.618368590914856e-05,148439.59895833334,1.2380630756257487
12,2.9779080831534698e-06,3.916159399230203e-05,147045.19270833334,1.2358841270645367
13,3.004435500666311e-06,4.216602949296834e-05,148423.08333333334,1.24376804741589
14,3.7049361457067804e-06,4.587096563867512e-05,139714.171875,1.2322739117999075
15,3.04621266540503e-06,4.891717830408015e-05,143380.66145833334,1.2170965419323725
16,3.004510959824528e-06,5.192168926390468e-05,148594.11458333334,1.2247330877285605
17,3.102118194839757e-06,5.502380745874444e-05,146001.70833333334,1.2215571595619212
18,2.9267027629977997e-06,5.7950510221742235e-05,144722.23697916666,1.2120903638827796
19,3.2355100170907723e-06,6.118602023883301e-05,145104.47916666666,1.2089082702224971
20,2.9652207459020716e-06,6.415124098473509e-05,142309.13802083334,1.2097913079529992
21,3.0818162206561603e-06,6.723305720539125e-05,145317.03645833334,1.2050141570865294
22,3.1209913609173594e-06,7.03540485663086e-05,143535.65625,1.1930311569231575
23,3.1625494018523177e-06,7.351659796816093e-05,144134.97916666666,1.1969794385955352
24,3.1231981445075117e-06,7.663979611266843e-05,139336.83333333334,1.1869847846611674
25,3.185648185939861e-06,7.98254442986083e-05,144184.29427083334,1.1856550138440718
26,2.95059941214137e-06,8.277604371074967e-05,143045.203125,1.1836624720061963
27,3.0014150654466656e-06,8.577745877619633e-05,137942.41536458334,1.1794689001377805
28,3.2225631632080903e-06,8.900002193940442e-05,140498.86979166666,1.1733349424052644
29,3.061482682982345e-06,9.206150462238676e-05,137518.07421875,1.1780987477260383
30,2.86298838861888e-06,9.492449301100564e-05,134466.58984375,1.172407718831828
31,2.9478285167657005e-06,9.787232152777134e-05,140677.65104166666,1.1707224478387506
32,3.0518532537376917e-06,0.00010092417478150903,133452.27604166666,1.1636358931797885
33,3.086014479190908e-06,0.00010401018926069994,134820.69270833334,1.16376025547716
34,2.9553559634964157e-06,0.00010696554522419636,132964.39192708334,1.1621044544847792
35,2.9867214693850696e-06,0.00010995226669358142,133613.65885416666,1.1596516649991957
36,2.9750893804630417e-06,0.00011292735607404446,131587.13671875,1.1580629733842804
37,2.8354021746331783e-06,0.00011576275824867764,136798.83854166666,1.156771071248053
38,3.0720018555328558e-06,0.0001188347601042105,131706.26953125,1.1542518155305928
39,2.8303961145039966e-06,0.0001216651562187145,132120.27473958334,1.1492935198680123
40,3.006717441630427e-06,0.00012467187366034491,130767.54947916667,1.146835087660997
41,2.9460362449249507e-06,0.00012761790990526987,130428.10286458333,1.1469433065251304
42,3.056014652343264e-06,0.00013067392455761313,130141.75130208333,1.1459894988022459
43,3.0952420221611927e-06,0.00013376916657977433,125136.1953125,1.1460791177827474
44,3.149209642098519e-06,0.00013691837622187286,129565.78515625,1.1448071902614503
45,2.8033924565240392e-06,0.0001397217686783969,128875.18880208333,1.141033502673889
46,3.0016373075890255e-06,0.00014272340598598594,125249.98958333333,1.1388324242005072
47,2.9879529818476564e-06,0.0001457113589678336,123960.0234375,1.1380897559878782
48,3.0075640550820012e-06,0.0001487189230229156,128035.69270833333,1.1313318908570655
49,3.0552094056088787e-06,0.0001517741324285245,127145.5859375,1.1337013954893416
