epoch,train_loss,test_rmse,recall@10,ndcg@10
0,1391760.1145833333,2.177247507102662,0.005314684746382467,0.008523210304083427
1,280048.9166666667,1.177753904458228,0.025345018312854524,0.038456490003395606
2,302273.703125,1.1578220350058022,0.037825382768820005,0.05384293743877041
3,206763.1875,1.3454209330066706,0.001317120301386135,0.0034991033848721276
4,171129.72395833334,1.4595584452800603,0.0,0.0
5,168270.09635416666,1.3548402125599706,0.00010617677197920911,0.00025967668652633353
6,156974.6640625,1.2457499081295147,0.0,0.0
7,154230.3203125,1.2402981792687093,0.0,0.0
8,150283.87760416666,1.2773579652827118,0.0,0.0
9,149259.72135416666,1.278480039560477,0.0,0.0
10,144356.33333333334,1.2532077932930141,0.0,0.0
11,148439.59895833334,1.2380630756257487,0.0,0.0
12,147045.19270833334,1.2358841270645367,0.0,0.0
13,148423.08333333334,1.24376804741589,0.0,0.0
14,139714.171875,1.2322739117999075,0.0,0.0
15,143380.66145833334,1.2170965419323725,0.0,0.0
16,148594.11458333334,1.2247330877285605,0.0,0.0
17,146001.70833333334,1.2215571595619212,0.0,0.0
18,144722.23697916666,1.2120903638827796,0.0,0.0
19,145104.47916666666,1.2089082702224971,0.0,0.0
20,142309.13802083334,1.2097913079529992,0.0,0.0
21,145317.03645833334,1.2050141570865294,0.0,0.0
22,143535.65625,1.1930311569231575,0.0,0.0
23,144134.97916666666,1.1969794385955352,0.0,0.0
24,139336.83333333334,1.1869847846611674,0.0,0.0
25,144184.29427083334,1.1856550138440718,0.0,0.0
26,143045.203125,1.1836624720061963,0.0,0.0
27,137942.41536458334,1.1794689001377805,0.0,0.0
28,140498.86979166666,1.1733349424052644,0.0,0.0
29,137518.07421875,1.1780987477260383,0.0,0.0
30,134466.58984375,1.172407718831828,6.416837782340863e-05,0.00013063816878634848
31,140677.65104166666,1.1707224478387506,0.0,0.0
32,133452.27604166666,1.1636358931797885,0.0,0.0
33,134820.69270833334,1.16376025547716,0.0,0.0
34,132964.39192708334,1.1621044544847792,0.0,0.0
35,133613.65885416666,1.1596516649991957,0.0,0.0
36,131587.13671875,1.1580629733842804,6.390593047034765e-05,0.00014198613893001485
37,136798.83854166666,1.156771071248053,0.0,0.0
38,131706.26953125,1.1542518155305928,0.0,0.0
39,132120.27473958334,1.1492935198680123,0.0,0.0
40,130767.54947916667,1.146835087660997,0.0004073319755600815,0.00019967267990093085
41,130428.10286458333,1.1469433065251304,6.788866259334691e-05,0.00015967060891787236
42,130141.75130208333,1.1459894988022459,2.095293969743955e-05,0.00013063816878634848
43,125136.1953125,1.1460791177827474,0.0,0.0
44,129565.78515625,1.1448071902614503,0.0,0.0
45,128875.18880208333,1.141033502673889,0.0,0.0
46,125249.98958333333,1.1388324242005072,0.0,0.0
47,123960.0234375,1.1380897559878782,0.0,0.0
48,128035.69270833333,1.1313318908570655,0.0,0.0
49,127145.5859375,1.1337013954893416,0.0,0.0
