epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,1.880847087054659e-07,1.880847087054659e-07,9920125.0,12.455810331767097
1,1.2765152851943487e-07,3.1573623722490075e-07,8865969.0,11.884742615428431
2,1.3699220832014084e-07,4.527284455450416e-07,7800004.25,11.255735064429304
3,1.358659571111767e-07,5.885944026562183e-07,6645442.0,10.560340725450981
4,1.276333325197108e-07,7.162277351759291e-07,5501402.25,9.80668407130364
5,1.2790803512660512e-07,8.441357703025342e-07,4414584.25,9.01159341034204
6,1.2967174163998388e-07,9.73807511942518e-07,3468199.75,8.195203644536255
7,1.3214151788623246e-07,1.1059490298287505e-06,2659098.625,7.377349654364517
8,1.3545670172972065e-07,1.241405731558471e-06,1982113.75,6.576200017329496
9,1.389257031422956e-07,1.3803314347007667e-06,1459882.25,5.807951559888206
10,1.366925945094145e-07,1.5170240292101811e-06,1030359.125,5.08803731842216
11,1.3159306722599695e-07,1.648617096436178e-06,720416.09375,4.429670902398216
12,1.3599742948106992e-07,1.784614525917248e-06,506911.046875,3.8438939595231547
13,1.2902947236794714e-07,1.913643998285195e-06,362618.171875,3.3383101727537015
14,1.4058411761975967e-07,2.054228115904955e-06,281106.671875,2.9183521510824018
15,1.473150455352518e-07,2.2015431614402066e-06,240950.671875,2.585437175576374
16,1.3292831894428927e-07,2.334471480384496e-06,226248.265625,2.3361906317497523
17,1.4023624146039654e-07,2.4747077218448927e-06,223586.34375,2.161383094071618
18,1.2395140289631277e-07,2.5986591247412052e-06,231372.1640625,2.0485306383823385
19,1.3727535152762052e-07,2.735934476268826e-06,234025.3671875,1.9836809625611154
20,1.729669319094993e-07,2.9089014081783252e-06,240991.65625,1.954698637801304
21,2.5997169166081425e-07,3.1688730998391397e-06,247088.5390625,1.952206523844376
22,1.3334033014177506e-07,3.302213429980915e-06,235843.7109375,1.9696065556323292
23,1.2726794430069088e-07,3.4294813742816058e-06,232036.7734375,2.002012968073876
24,1.378086605029014e-07,3.5672900347845073e-06,223769.296875,2.0458725376338904
25,1.3472897683034212e-07,3.7020190116148493e-06,213466.6640625,2.097062393719797
26,1.596726357988293e-07,3.861691647413679e-06,206084.3203125,2.1527064924614456
27,1.5066491397821485e-07,4.0123565613918935e-06,192056.7421875,2.210071289440538
28,1.3390336894078037e-07,4.146259930332674e-06,188319.53125,2.265485394455702
29,1.2713080448439883e-07,4.273390734817073e-06,179335.1015625,2.316235627163654
30,1.6697314830780474e-07,4.4403638831248775e-06,176950.6484375,2.361603008847905
31,1.433397150519101e-07,4.583703598176787e-06,172495.203125,2.3991270218484946
32,2.0451609930807946e-09,4.585748759169868e-06,172727.8984375,2.4286118414452424
33,1.5983362480854182e-07,4.7455823839784095e-06,168192.5,2.4500948540219394
34,1.4877738357399126e-07,4.8943597675524005e-06,174047.2578125,2.463573331277964
35,1.30376061801314e-07,5.024735829353715e-06,171545.6796875,2.469818773217439
36,1.398896663039396e-07,5.1646254956576545e-06,168514.59375,2.4695760725612055
37,1.379582511204719e-07,5.302583746778127e-06,173410.796875,2.4651299063357177
38,1.3046918666129706e-07,5.433052933439424e-06,174117.390625,2.4569549019112777
39,1.558347645885436e-07,5.588887698027967e-06,171215.2421875,2.446493866354068
40,1.403282815653425e-07,5.72921597959331e-06,173031.5625,2.4349803071055534
41,1.9520076498223414e-07,5.924416744575544e-06,169707.0546875,2.4224710594072008
42,1.4238611034208348e-07,6.066802854917628e-06,172760.9296875,2.4098595910403984
43,1.3019841518642643e-07,6.1970012701040545e-06,170858.0078125,2.398167334530642
44,1.3383633201561195e-07,6.3308376021196665e-06,172554.09375,2.3877815650030034
45,1.2694276497753435e-07,6.457780367097201e-06,171858.6484375,2.3791657394965937
46,1.3650029929971328e-07,6.594280666396914e-06,171128.9609375,2.3723842000869384
47,1.2192690164581348e-07,6.716207568042727e-06,166385.546875,2.367731477841936
48,1.3167274793220984e-07,6.8478803159749374e-06,168653.8828125,2.364526204091699
49,2.3454026279415674e-07,7.082420578769094e-06,170061.4609375,2.3628157991879846
