epoch,train_loss,test_loss,test_rmse
0,9920125.0,1679264.4,12.455810331767097
1,8865969.0,1528838.9,11.884742615428431
2,7800004.25,1371320.8,11.255735064429304
3,6645442.0,1207145.5,10.560340725450981
4,5501402.25,1041034.25,9.80668407130364
5,4414584.25,879117.0,9.01159341034204
6,3468199.75,727100.25,8.195203644536255
7,2659098.625,589275.5,7.377349654364517
8,1982113.75,468303.0,6.576200017329496
9,1459882.25,365346.88,5.807951559888206
10,1030359.125,280462.72,5.08803731842216
11,720416.09375,212655.9,4.429670902398216
12,506911.046875,160212.61,3.8438939595231547
13,362618.171875,120920.414,3.3383101727537015
14,281106.671875,92489.45,2.9183521510824018
15,240950.671875,72664.03,2.585437175576374
16,226248.265625,59391.73,2.3361906317497523
17,223586.34375,50885.77,2.161383094071618
18,231372.1640625,45746.02,2.0485306383823385
19,234025.3671875,42917.4,1.9836809625611154
20,240991.65625,41682.824,1.954698637801304
21,247088.5390625,41577.7,1.952206523844376
22,235843.7109375,42316.074,1.9696065556323292
23,232036.7734375,43708.535,2.002012968073876
24,223769.296875,45629.25,2.0458725376338904
25,213466.6640625,47923.605,2.097062393719797
26,206084.3203125,50481.926,2.1527064924614456
27,192056.7421875,53189.523,2.210071289440538
28,188319.53125,55872.684,2.265485394455702
29,179335.1015625,58388.336,2.316235627163654
30,176950.6484375,60684.355,2.361603008847905
31,172495.203125,62617.086,2.3991270218484946
32,172727.8984375,64157.125,2.4286118414452424
33,168192.5,65291.066,2.4500948540219394
34,174047.2578125,66007.58,2.463573331277964
35,171545.6796875,66340.9,2.469818773217439
36,168514.59375,66327.89,2.4695760725612055
37,173410.796875,66090.49,2.4651299063357177
38,174117.390625,65655.1,2.4569549019112777
39,171215.2421875,65100.09,2.446493866354068
40,173031.5625,64491.99,2.4349803071055534
41,169707.0546875,63834.555,2.4224710594072008
42,172760.9296875,63175.176,2.4098595910403984
43,170858.0078125,62566.93,2.398167334530642
44,172554.09375,62029.14,2.3877815650030034
45,171858.6484375,61584.777,2.3791657394965937
46,171128.9609375,61236.152,2.3723842000869384
47,166385.546875,60997.543,2.367731477841936
48,168653.8828125,60833.438,2.364526204091699
49,170061.4609375,60745.96,2.3628157991879846
