epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,356.65234375,38.0,5.228979110717773,9920125.0,12.455810331767097
1,379.75,31.1,5.077229976654053,8865969.0,11.884742615428431
2,380.046875,30.1,5.126689910888672,7800004.25,11.255735064429304
3,380.83203125,28.4,5.064183950424194,6645442.0,10.560340725450981
4,380.83984375,30.8,5.084212064743042,5501402.25,9.80668407130364
5,380.87890625,29.8,5.060256481170654,4414584.25,9.01159341034204
6,380.91015625,29.1,5.100943088531494,3468199.75,8.195203644536255
7,381.66015625,32.7,5.0998921394348145,2659098.625,7.377349654364517
8,381.66796875,30.8,5.095892906188965,1982113.75,6.576200017329496
9,381.66796875,30.9,5.145280361175537,1459882.25,5.807951559888206
10,381.60546875,38.4,5.1493940353393555,1030359.125,5.08803731842216
11,381.609375,35.9,5.136991739273071,720416.09375,4.429670902398216
12,381.6015625,35.4,5.164827823638916,506911.046875,3.8438939595231547
13,381.60546875,35.7,5.106251239776611,362618.171875,3.3383101727537015
14,381.609375,32.5,5.1246912479400635,281106.671875,2.9183521510824018
15,381.609375,33.1,5.270231008529663,240950.671875,2.585437175576374
16,381.609375,47.3,5.162186861038208,226248.265625,2.3361906317497523
17,381.609375,35.0,5.174013137817383,223586.34375,2.161383094071618
18,381.609375,37.3,5.147852420806885,231372.1640625,2.0485306383823385
19,381.609375,45.8,5.161381721496582,234025.3671875,1.9836809625611154
20,381.61328125,37.8,5.181900978088379,240991.65625,1.954698637801304
21,381.609375,34.1,5.306670665740967,247088.5390625,1.952206523844376
22,381.609375,34.0,5.184194087982178,235843.7109375,1.9696065556323292
23,381.609375,39.3,5.307807683944702,232036.7734375,2.002012968073876
24,381.58203125,42.5,5.1010472774505615,223769.296875,2.0458725376338904
25,381.58203125,42.4,5.337648868560791,213466.6640625,2.097062393719797
26,381.58203125,43.7,5.179021835327148,206084.3203125,2.1527064924614456
27,381.58203125,33.2,5.088440656661987,192056.7421875,2.210071289440538
28,381.58203125,34.5,5.137404918670654,188319.53125,2.265485394455702
29,381.5859375,43.9,5.151592493057251,179335.1015625,2.316235627163654
30,381.5859375,32.9,5.332844972610474,176950.6484375,2.361603008847905
31,381.5859375,46.2,5.12111759185791,172495.203125,2.3991270218484946
32,381.5859375,37.8,6.526984453201294,172727.8984375,2.4286118414452424
33,381.625,40.1,5.260117053985596,168192.5,2.4500948540219394
34,382.6015625,41.7,5.211673021316528,174047.2578125,2.463573331277964
35,382.59765625,41.8,5.119147300720215,171545.6796875,2.469818773217439
36,382.59765625,30.3,5.38478684425354,168514.59375,2.4695760725612055
37,382.59765625,30.7,5.122554302215576,173410.796875,2.4651299063357177
38,382.6015625,27.9,5.142645835876465,174117.390625,2.4569549019112777
39,382.60546875,29.9,5.106506109237671,171215.2421875,2.446493866354068
40,382.60546875,35.0,5.107883930206299,173031.5625,2.4349803071055534
41,382.60546875,36.7,5.308121681213379,169707.0546875,2.4224710594072008
42,382.60546875,51.9,5.168537855148315,172760.9296875,2.4098595910403984
43,382.60546875,41.9,5.151599884033203,170858.0078125,2.398167334530642
44,382.60546875,45.3,5.1194117069244385,172554.09375,2.3877815650030034
45,382.60546875,39.8,5.126266717910767,171858.6484375,2.3791657394965937
46,382.60546875,33.1,5.090823411941528,171128.9609375,2.3723842000869384
47,382.60546875,38.9,5.133938312530518,166385.546875,2.367731477841936
48,382.60546875,34.7,5.124030828475952,168653.8828125,2.364526204091699
49,382.60546875,35.2,5.280366659164429,170061.4609375,2.3628157991879846
