epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,356.87890625,11.5,5.102444171905518,9930561.0,12.459228961747957,12.179024878322714
1,379.9765625,10.1,4.9308762550354,8897304.5,11.889750783978423,11.597796893801668
2,382.0625,14.0,4.928465127944946,7830010.0,11.260610612878777,10.954415767327449
3,382.06640625,10.1,4.924988746643066,6673763.25,10.562771474786661,10.239335655152654
4,382.0703125,10.3,4.906767845153809,5506795.0,9.804130185084084,9.460670304428383
5,382.109375,11.3,4.9356231689453125,4406477.75,9.001559939407514,8.638584586492728
6,382.10546875,10.2,4.922787666320801,3451599.75,8.1755680567666,7.793195470283574
7,382.10546875,9.8,4.919909715652466,2628595.375,7.34668405646736,6.948710234245384
8,382.10546875,9.5,4.936676025390625,1947968.0625,6.533968192543931,6.124029151008918
9,382.09765625,12.5,4.926376581192017,1416189.0,5.754567480722155,5.33890692421258
10,382.03515625,10.2,4.928612232208252,986469.75,5.0249310011114305,4.6100960256233385
11,382.03515625,10.4,4.920581102371216,680881.0,4.3593514377110285,3.9494104687970615
12,382.0390625,10.5,4.9240171909332275,473952.609375,3.770094022638151,3.366354618852845
13,382.0390625,10.4,4.942408561706543,340171.296875,3.265156369914669,2.8664150483131055
14,382.0390625,9.3,4.950422525405884,267689.9140625,2.8500221106729886,2.453704640299572
15,382.0390625,8.2,4.945806264877319,235742.703125,2.5253064700386876,2.1269775109224103
16,382.0390625,10.9,4.9060447216033936,227522.5703125,2.286272870308573,1.8798828330878916
17,382.0390625,11.2,4.926116466522217,228189.09375,2.1222122895316637,1.7035550151045762
18,382.29296875,10.9,4.9080491065979,238328.0234375,2.0191990746204596,1.5847256101779412
19,382.2890625,10.3,4.942131519317627,239851.8046875,1.962655118141959,1.5136380470012742
20,382.29296875,9.5,4.921593427658081,248229.7265625,1.9403261614483422,1.479863582058813
21,382.29296875,11.5,4.934462547302246,252584.875,1.9430274034561923,1.4751214089157445
22,382.29296875,11.1,4.913739919662476,240024.1875,1.9648087458004657,1.4934657899691424
23,382.29296875,12.1,4.934511423110962,233904.015625,2.0011080693185623,1.530272975258324
24,382.28515625,8.7,4.914217948913574,223768.8984375,2.0488051741199165,1.5819265230749346
25,383.26171875,10.9,4.928669214248657,212536.6015625,2.1039426159249364,1.6440688575334148
26,383.27734375,9.4,4.935940980911255,203986.6171875,2.163436074555545,1.713360674399762
27,383.27734375,10.5,4.909143447875977,190001.78125,2.2242509613431776,1.7857927162509333
28,383.28125,9.7,4.940107583999634,186289.4375,2.282428880893415,1.8560177560897746
29,383.28125,8.8,4.9361937046051025,177909.0625,2.3351259661836443,1.9211140997835898
30,383.28125,9.3,4.91988205909729,175988.7109375,2.3814332553332846,1.9787416777247708
31,383.28125,10.5,4.927446603775024,172264.7421875,2.4187037347321154,2.026100888278255
32,383.28125,10.0,4.918090581893921,173174.703125,2.4467489769450808,2.062732089350127
33,383.28125,9.0,4.928650617599487,169119.921875,2.465736818929055,2.0884785932283747
34,383.28515625,10.4,4.937501907348633,173992.8828125,2.4758003174461627,2.10341141835706
35,383.29296875,10.0,4.937265872955322,171933.8125,2.4781394563040657,2.1088332818916427
36,383.375,12.3,4.9566330909729,168656.3984375,2.47365712694377,2.106023495297757
37,383.37109375,17.3,4.904935121536255,173540.4140625,2.46516286388685,2.0979795765797458
38,383.35546875,14.5,4.916640043258667,174024.1015625,2.453204298241357,2.085505233974647
39,383.35546875,15.9,4.871324777603149,170951.34375,2.4394684154230384,2.070538256937685
40,383.359375,16.7,4.969737529754639,173533.2421875,2.4253555031593343,2.054662563921541
41,383.359375,19.5,4.895461559295654,170275.484375,2.4109079177494177,2.0382093885891805
42,383.359375,17.6,4.904390335083008,172504.8203125,2.3972367855598056,2.0224552375621263
43,383.359375,14.6,4.910974502563477,170642.65625,2.3853479114191103,2.008384197867747
44,383.36328125,11.9,4.941504716873169,172041.8515625,2.375213246293088,1.996345428580212
45,383.36328125,10.3,4.882078409194946,172063.7109375,2.367232826051682,1.9867238279213815
46,383.36328125,8.2,4.907964706420898,171056.03125,2.3614116945341554,1.9796054501494733
47,383.3671875,9.9,4.892615079879761,166753.21875,2.3581580306896224,1.9753097726795992
48,383.3671875,9.8,4.896575689315796,168434.703125,2.3564245122055745,1.9727266985152658
49,383.3671875,11.3,4.930875539779663,170039.6875,2.3562292848267923,1.971883358840382
