epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,1.722900546323814e-07,1.722900546323814e-07,1626806.125,2.9250871451358056
1,1.50210298300309e-07,3.225003529326904e-07,1127382.625,2.546018494705167
2,1.2265567701576625e-07,4.4515602994845666e-07,767856.0,2.2071145149535076
3,1.1164619869639909e-07,5.568022286448558e-07,524635.34375,1.9221735143609975
4,1.2129301775252475e-07,6.780952463973805e-07,401637.75,1.7054097146278175
5,1.2021495222260265e-07,7.983101986199831e-07,361723.359375,1.5605898669693063
6,1.1211373552331982e-07,9.104239341433029e-07,350047.78125,1.4756915637286052
7,1.08582731929401e-07,1.019006666072704e-06,342498.15625,1.4321115041152992
8,1.0418810949397411e-07,1.123194775566678e-06,340203.875,1.414438888208637
9,1.0670494700315678e-07,1.2298997225698348e-06,323241.484375,1.4118234583437224
10,1.1369946908155662e-07,1.3435991916513915e-06,313130.453125,1.4178996047143981
11,1.1823397497689495e-07,1.4618331666282864e-06,308414.640625,1.4275342205251234
12,1.1188316819512284e-07,1.5737163348234092e-06,299688.421875,1.437278424089065
13,1.207342189156805e-07,1.6944505537390897e-06,292488.859375,1.4446481857290785
14,1.168957811469888e-07,1.8113463348860785e-06,285644.765625,1.4480680499431817
15,1.2469701962310521e-07,1.936043354509184e-06,279800.578125,1.4463161951683743
16,1.2043754886536955e-07,2.0564809033745533e-06,276543.546875,1.4402940321527196
17,1.1885392395077398e-07,2.175334827325327e-06,269292.3125,1.4323856345548294
18,1.1433499424208925e-07,2.2896698215674163e-06,267600.734375,1.4234390295856112
19,1.1880915152546202e-07,2.408478973092878e-06,261207.4375,1.4152521725394926
20,1.1574060256872855e-07,2.5242195756616067e-06,251707.90625,1.4075780479216107
21,1.3160939350624022e-07,2.6558289691678468e-06,246708.078125,1.4010014440557366
22,1.6703021037675253e-07,2.8228591795445994e-06,246928.1328125,1.3958658083123148
23,1.2313054450098609e-07,2.9459897240455854e-06,244598.25,1.3920297155654904
24,1.1534580640957778e-07,3.061335530455163e-06,241491.328125,1.3889684952784183
25,1.2474368665792204e-07,3.186079217113085e-06,236072.7734375,1.3863238548694823
26,1.1670350307361872e-07,3.302782720186704e-06,235154.4921875,1.3845985325591743
27,1.2370553686550152e-07,3.4264882570522054e-06,228919.046875,1.3830697184290437
28,1.2900738398951826e-07,3.555495641041724e-06,228634.484375,1.3805980646790772
29,1.81684588354135e-07,3.737180229395859e-06,223137.8203125,1.3770676078601645
30,1.1628718510905889e-07,3.853467414504917e-06,225864.453125,1.3738596733692714
31,1.2442355607632315e-07,3.9778909705812405e-06,219204.9765625,1.37122482359235
32,1.1282134039538894e-07,4.0907123109766295e-06,220159.7265625,1.368391117899813
33,1.2552317554792534e-07,4.2162354865245545e-06,216899.140625,1.3652359164476902
34,1.283771313697682e-07,4.344612617894323e-06,214019.28125,1.3621434786636764
35,1.2408627625962239e-07,4.468698894153945e-06,210191.8671875,1.3595588623352357
36,1.1733503823971566e-07,4.586033932393661e-06,207921.9921875,1.35719535752345
37,1.21242777844891e-07,4.707276710238552e-06,207753.6640625,1.354393637739481
38,1.1316330864158006e-07,4.820440018880132e-06,206747.0,1.3517228609939342
39,1.223635106840129e-07,4.942803529564145e-06,203505.6015625,1.3494820379458434
40,1.240425516420231e-07,5.066846081206168e-06,203304.6171875,1.3472997329424459
41,1.111784457077274e-07,5.178024526913896e-06,197598.1875,1.3444517832188956
42,1.5742001050253214e-09,5.179598727018921e-06,196130.09375,1.342179560208632
43,1.1168998492977119e-07,5.291288711948692e-06,198516.734375,1.3407546905724863
44,1.1183973873199136e-07,5.403128450680684e-06,195770.6328125,1.3388649879383738
45,1.1445977042433597e-07,5.51758822110502e-06,195571.0390625,1.3369866703961466
46,1.1473400464870404e-07,5.632322225753724e-06,192169.609375,1.3353837951313754
47,1.2666953092046557e-07,5.7589917566741895e-06,190988.734375,1.3339632091397733
48,1.1475943460209859e-07,5.873751191276288e-06,190879.9296875,1.3327779585389334
49,1.4351173287389332e-07,6.017262924150181e-06,189360.765625,1.3312855337893192
