epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,1.4177047162077165e-07,1.4177047162077165e-07,1656718.0,2.9566383335696376,2.4968391502964744
1,8.160092885408092e-08,2.2337140047485256e-07,1179871.625,2.583842476817659,2.138392421823763
2,1.0759463707837485e-07,3.309660375532274e-07,819658.6875,2.246897458394761,1.824276818894297
3,9.649614106936847e-08,4.274621786225959e-07,562494.78125,1.956135624439469,1.5616894993902095
4,8.932410209508097e-08,5.167862807176769e-07,422264.421875,1.7274919945976077,1.358134642677039
5,1.0755489330365878e-07,6.243411740213357e-07,367788.546875,1.5693351106395348,1.2157464746861257
6,1.2338187484555022e-07,7.477230488668859e-07,350561.53125,1.4746066666998061,1.1287704652277004
7,1.113912356441438e-07,8.591142845110297e-07,341514.140625,1.427966754045477,1.0858343696013282
8,9.103974974300459e-08,9.501540342540342e-07,342661.53125,1.4120701898067847,1.072352737888229
9,9.911969517633702e-08,1.0492737294303712e-06,327368.921875,1.4124143952111492,1.0751937859181124
10,9.955004423957647e-08,1.1488237736699476e-06,317340.78125,1.419550086647031,1.0854454410911447
11,9.403484402278677e-08,1.2428586176927344e-06,310023.953125,1.4275137073807225,1.0968095809543301
12,1.1758874571062997e-07,1.3604473634033644e-06,300288.328125,1.4338915431654493,1.1066417470174634
13,9.238190310258156e-08,1.4528292665059459e-06,290838.953125,1.437980234829462,1.1138582696219839
14,1.097146039996201e-07,1.562543870505566e-06,282300.453125,1.440035291959099,1.1183599455781201
15,9.580563412067698e-08,1.6583495046262429e-06,276379.640625,1.4395480146545307,1.1197099393807388
16,9.618174197571484e-08,1.7545312466019577e-06,272868.9375,1.4359115336239006,1.1175466138606867
17,8.846042506752935e-08,1.842991671669487e-06,265932.75,1.430510568469791,1.113217736273856
18,1.066489222352386e-07,1.9496405939047253e-06,264625.078125,1.4235134570984163,1.1072654510402187
19,9.74083732755128e-08,2.047048967180238e-06,257832.1640625,1.4170648353922062,1.1015554658981033
20,8.866993407761815e-08,2.135718901257856e-06,247598.6796875,1.4109697869919153,1.0957123378845024
21,9.42577488244485e-08,2.2299766500823045e-06,242532.0703125,1.4041826184197848,1.0890596274768913
22,1.0439516607426585e-07,2.3343718161565705e-06,242380.2265625,1.3966482216789302,1.0818424410066672
23,1.2319407276377028e-07,2.457565888920341e-06,239936.3125,1.389039193270394,1.0747132599918465
24,9.27052210333248e-08,2.550271109953666e-06,236034.5,1.3823175206072247,1.0687983660972795
25,8.769339698632369e-08,2.6379645069399895e-06,230015.7734375,1.3768207114883946,1.0643924577638009
26,8.965444702865533e-08,2.727618953968645e-06,228579.53125,1.3726937666893435,1.06135577243224
27,9.441825546928893e-08,2.822037209437934e-06,222193.4765625,1.3691201287262473,1.059045495749245
28,8.828092342329669e-08,2.9103181328612305e-06,222939.6796875,1.3655078108543728,1.056722010552946
29,1.1014290258941544e-07,3.020461035450646e-06,216659.546875,1.3614964890447254,1.0539188731166231
30,1.1155876908449121e-07,3.1320198045351373e-06,219199.5078125,1.3578777942735254,1.0513603785839516
31,9.405785870105667e-08,3.226077663236194e-06,213499.1875,1.3545896982919468,1.0491032884334337
32,9.943336839753445e-08,3.3255110316337285e-06,214183.8125,1.3514022726865396,1.0468837841810195
33,9.255443253896672e-08,3.4180654641726952e-06,211099.65625,1.3479822309531602,1.0440690959708157
34,1.2176342808669906e-07,3.5398288922593943e-06,207453.15625,1.345015695715084,1.0417127129458552
35,8.627590413960796e-08,3.6261047963990024e-06,204071.3515625,1.3426019562040614,1.0401090693598916
36,9.188707320040202e-08,3.7179918695994044e-06,202065.4765625,1.3404671559771375,1.038866410995161
37,1.0055482778524971e-07,3.818546697384654e-06,201580.140625,1.3376594701680018,1.0367519099792888
38,1.0141057105604503e-07,3.919957268440699e-06,200106.5078125,1.334948093603011,1.0345579939651177
39,9.114255613942504e-08,4.011099824580123e-06,196768.7890625,1.333126028623128,1.0331622209189275
40,8.737764766094222e-08,4.098477472241066e-06,196889.0546875,1.3312891699733198,1.031804277584136
41,1.0764561371534615e-07,4.206123085956412e-06,190568.8203125,1.3287286599366477,1.0298881213780786
42,9.473685679859251e-08,4.300859942755005e-06,190034.6484375,1.3270636754109661,1.0289789672965792
43,9.39079682068484e-08,4.394767910961853e-06,192069.7734375,1.3267195829884295,1.029147395706579
44,1.1988873718652658e-07,4.5146566481483794e-06,189602.25,1.3252912789707798,1.02814176509747
45,1.0202890126533566e-07,4.616685549413715e-06,189306.8984375,1.322790911840419,1.0262350446994875
46,9.875567521648708e-08,4.715441224630202e-06,185702.25,1.3214253128255675,1.0253690444040355
47,9.178768907335195e-08,4.807228913703554e-06,184865.8125,1.3206031237535927,1.0246912547099702
48,9.061370050228242e-08,4.897842614205836e-06,184155.484375,1.3193135741956152,1.0236352234779142
49,9.498759215736086e-08,4.992830206363197e-06,183401.3046875,1.3177149162984174,1.0225203360719048
