epoch,train_loss,test_loss,test_rmse
0,1656718.0,291462.0,2.9566383335696376
1,1179871.625,222649.66,2.583842476817659
2,819658.6875,168422.56,2.246897458394761
3,562494.78125,127708.98,1.956135624439469
4,422264.421875,99650.24,1.7274919945976077
5,367788.546875,82279.89,1.5693351106395348
6,350561.53125,72674.23,1.4746066666998061
7,341514.140625,68164.766,1.427966754045477
8,342661.53125,66661.195,1.4120701898067847
9,327368.921875,66694.01,1.4124143952111492
10,317340.78125,67367.61,1.419550086647031
11,310023.953125,68123.3,1.4275137073807225
12,300288.328125,68731.62,1.4338915431654493
13,290838.953125,69123.15,1.437980234829462
14,282300.453125,69320.55,1.440035291959099
15,276379.640625,69274.17,1.4395480146545307
16,272868.9375,68926.2,1.4359115336239006
17,265932.75,68410.84,1.430510568469791
18,264625.078125,67745.95,1.4235134570984163
19,257832.1640625,67136.125,1.4170648353922062
20,247598.6796875,66562.32,1.4109697869919153
21,242532.0703125,65926.21,1.4041826184197848
22,242380.2265625,65223.633,1.3966482216789302
23,239936.3125,64517.934,1.389039193270394
24,236034.5,63897.797,1.3823175206072247
25,230015.7734375,63392.996,1.3768207114883946
26,228579.53125,63015.44,1.3726937666893435
27,222193.4765625,62689.47,1.3691201287262473
28,222939.6796875,62360.824,1.3655078108543728
29,216659.546875,61996.848,1.3614964890447254
30,219199.5078125,61669.457,1.3578777942735254
31,213499.1875,61372.76,1.3545896982919468
32,214183.8125,61085.85,1.3514022726865396
33,211099.65625,60778.707,1.3479822309531602
34,207453.15625,60512.973,1.345015695715084
35,204071.3515625,60297.27,1.3426019562040614
36,202065.4765625,60106.87,1.3404671559771375
37,201580.140625,59856.777,1.3376594701680018
38,200106.5078125,59615.797,1.334948093603011
39,196768.7890625,59454.285,1.333126028623128
40,196889.0546875,59291.695,1.3312891699733198
41,190568.8203125,59065.25,1.3287286599366477
42,190034.6484375,58918.406,1.3270636754109661
43,192069.7734375,58888.457,1.3267195829884295
44,189602.25,58762.754,1.3252912789707798
45,189306.8984375,58542.66,1.322790911840419
46,185702.25,58422.867,1.3214253128255675
47,184865.8125,58351.008,1.3206031237535927
48,184155.484375,58238.1,1.3193135741956152
49,183401.3046875,58098.176,1.3177149162984174
