epoch,train_loss,test_loss,test_rmse
0,384799.234375,71338.47,6.51492261134998
1,340066.890625,60222.766,5.98460771662137
2,265062.2890625,49856.457,5.443666935522587
3,200260.203125,40270.234,4.890448625057283
4,138316.76171875,31646.977,4.332844396349689
5,102288.40234375,24156.754,3.7823425935018493
6,64433.0390625,18000.455,3.2609894905634835
7,39760.513671875,13268.476,2.794874829168407
8,33406.732421875,9865.568,2.4044132493909434
9,27512.3525390625,7584.6553,2.1024431967600505
10,29397.732421875,6165.6074,1.8903558696539087
11,31547.7021484375,5367.056,1.7597802731197119
12,32530.7548828125,5005.148,1.6972814901664781
13,30575.4521484375,4967.5,1.6906263296540271
14,25890.9404296875,5176.677,1.7271266123192404
15,26116.7646484375,5588.709,1.796875241670603
16,24832.3544921875,6140.036,1.8861770731123382
17,23671.96875,6769.231,1.9831846083711158
18,21579.0087890625,7434.981,2.080909455714163
19,20336.9755859375,8055.656,2.168052472212627
20,21480.880859375,8519.841,2.2309993121375484
21,20908.9052734375,8843.549,2.2738645024690753
22,19030.2431640625,9062.164,2.3023609953507584
23,18424.0654296875,9183.321,2.318001611449321
24,17432.16943359375,9235.5,2.324703497939717
25,18370.6455078125,9205.883,2.32089684570802
26,18795.7294921875,9098.41,2.307038803105541
27,16541.93603515625,8968.568,2.290184628096773
28,16817.3994140625,8834.358,2.2726309947293135
29,16316.94970703125,8701.391,2.255103854781391
30,16609.08349609375,8625.314,2.2450098943167
31,16524.796875,8626.117,2.2451068714714624
32,14029.7998046875,8624.654,2.2449016754156803
33,14589.654296875,8652.657,2.248607279111937
34,14924.28662109375,8700.351,2.254912034710771
35,14884.20068359375,8753.541,2.261923448155049
36,14236.078125,8816.015,2.270132599766818
37,13490.63720703125,8888.61,2.2796363087241955
38,13084.56884765625,8985.239,2.2922292256986054
39,12915.12060546875,9031.609,2.298239713520206
40,12656.091796875,9014.301,2.2959762870300273
41,12036.2431640625,8959.005,2.288765325343311
42,11434.1728515625,8895.424,2.280447661980764
43,12045.19482421875,8879.497,2.278346699702604
44,11949.24365234375,8861.814,2.27601301436107
45,10320.02099609375,8828.692,2.27165075405872
46,11749.99462890625,8826.009,2.27128032349623
47,10819.49853515625,8775.736,2.264650205311024
48,11265.08837890625,8719.9375,2.2572703631039492
49,10573.255859375,8680.413,2.252022661908993
