epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,mae
0,4.1219343757868165e-07,4.1219343757868165e-07,2.1182570457458496,1.7441892623901367
1,6.408023090649296e-07,1.0529957466436111e-06,2.11751651763916,1.7435753345489502
2,6.428125640187814e-07,1.6958083106623927e-06,2.1160576343536377,1.742256999015808
3,6.293432220373604e-07,2.325151532699753e-06,2.1132450103759766,1.739815592765808
4,6.314459208443601e-07,2.9565974535441134e-06,2.108497381210327,1.7356284856796265
5,6.268759579959773e-07,3.583473411540091e-06,2.1008386611938477,1.72900390625
6,7.422761151598045e-07,4.325749526699895e-06,2.089369058609009,1.7188947200775146
7,6.195624691111704e-07,4.945311995811066e-06,2.0726709365844727,1.704169511795044
8,6.634763875291668e-07,5.608788383340232e-06,2.049454689025879,1.6838891506195068
9,6.510165965796827e-07,6.259804979919915e-06,2.018657922744751,1.6567825078964233
10,6.657091450739222e-07,6.925514124993837e-06,1.9785456657409668,1.6215487718582153
11,6.420012434672015e-07,7.567515368461039e-06,1.9293853044509888,1.578338384628296
12,6.302867718502402e-07,8.197802140311279e-06,1.8704712390899658,1.527174949645996
13,6.443872565082233e-07,8.842189396819503e-06,1.8038667440414429,1.4687480926513672
14,6.949297572178226e-07,9.537119154037325e-06,1.7324509620666504,1.4044013023376465
15,6.211035379125831e-07,1.0158222691949907e-05,1.6596301794052124,1.3396836519241333
16,6.317789090047605e-07,1.0790001600954668e-05,1.5891790390014648,1.2758636474609375
17,7.296177564375716e-07,1.151961935739224e-05,1.5240674018859863,1.2159377336502075
18,6.478243540636132e-07,1.2167443711455853e-05,1.4665272235870361,1.1628379821777344
19,6.960623634098098e-07,1.2863506074865664e-05,1.4157668352127075,1.1153532266616821
20,6.272427328979557e-07,1.349074880776362e-05,1.3717505931854248,1.074073314666748
21,6.364784586954636e-07,1.4127227266459084e-05,1.3340224027633667,1.0385246276855469
22,7.043540950662772e-07,1.4831581361525361e-05,1.301037073135376,1.0078001022338867
23,6.36329650594417e-07,1.546791101211978e-05,1.271873950958252,0.9810143709182739
24,6.271640294475258e-07,1.6095075041567304e-05,1.2461371421813965,0.957510232925415
25,6.350485588778318e-07,1.6730123600445136e-05,1.2238190174102783,0.9374464750289917
26,6.381494750797949e-07,1.736827307552493e-05,1.2040250301361084,0.9203211069107056
27,6.439702620072961e-07,1.8012243337532226e-05,1.187225580215454,0.9057233333587646
28,6.078592932612357e-07,1.8620102630793463e-05,1.1723272800445557,0.8924311995506287
29,7.466015772341659e-07,1.936670420802763e-05,1.1594195365905762,0.8811162710189819
30,6.628842638473061e-07,2.0029588471874936e-05,1.1480140686035156,0.8715212941169739
31,7.072966819626327e-07,2.073688515383757e-05,1.1375716924667358,0.8625060319900513
32,6.664081695864329e-07,2.1403293323424003e-05,1.1285988092422485,0.854655385017395
33,6.622417375973815e-07,2.2065535061021385e-05,1.1206345558166504,0.8481022119522095
34,6.52167139610943e-07,2.2717702200632327e-05,1.1138999462127686,0.8420597910881042
35,6.790536038638014e-07,2.3396755804496128e-05,1.1078312397003174,0.8370209336280823
36,6.509841793156739e-07,2.40477399838118e-05,1.1027342081069946,0.8321777582168579
37,7.396349126647496e-07,2.478737489647655e-05,1.097692608833313,0.8274980783462524
38,7.077888042999501e-07,2.5495163700776498e-05,1.093491554260254,0.8237866163253784
39,7.027208382748177e-07,2.6197884539051315e-05,1.089487910270691,0.8201722502708435
40,8.486428455118079e-07,2.7046527384563122e-05,1.0861526727676392,0.817188560962677
41,6.919380108694984e-07,2.773846539543262e-05,1.0829856395721436,0.8142069578170776
42,7.38678382289533e-07,2.8477143777722155e-05,1.0801234245300293,0.8113285899162292
43,6.880675732724463e-07,2.91652113509946e-05,1.0775548219680786,0.8092196583747864
44,7.490402273329636e-07,2.9914251578327562e-05,1.0753483772277832,0.8071594834327698
45,1.0511576505783273e-06,3.096540922890589e-05,1.0732897520065308,0.804968535900116
46,1.6225228028508233e-06,3.258793203175671e-05,1.071622610092163,0.8030703663825989
47,1.0935273736169581e-06,3.3681459405373665e-05,1.0704270601272583,0.801514208316803
48,2.847319703756793e-06,3.6528779109130455e-05,1.0691635608673096,0.8002986311912537
49,1.3140518440553083e-06,3.7842830953185764e-05,1.068165898323059,0.7993385195732117
