epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,time_sec,memory_mb,cpu_percent,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50
1,3.304964126568258e-05,3.304964126568258e-05,1.5196846723556519,1.9504510164260864,1.396585570779633,42.00832772254944,2962.39453125,22.4,0.6317583916605266,0.7843570514990994,0.8102690021440598,0.8163776468189554,0.9279837035180024,0.8473875202329685,0.9919086801103746,0.8727825607060193
2,3.144827812105494e-05,6.449791938673752e-05,1.2296559810638428,1.9530986547470093,1.3975329688119003,40.11049556732178,3058.55859375,21.4,0.6339191662658551,0.7905299297698304,0.8125168486336035,0.821758378058251,0.9298588202638955,0.8519796750243673,0.9922445077493055,0.8764730245853444
3,3.435720183336339e-05,9.885512122010091e-05,1.1914472579956055,1.5934357643127441,1.2623136663344015,43.41364240646362,3152.515625,27.7,0.6352381349474746,0.794360071226489,0.8133014249759377,0.8239757936917087,0.9298749104812907,0.8539245982218123,0.9922605489460794,0.8783640643627951
4,3.076075028075341e-05,0.0001296158715008543,1.1746429204940796,1.4865816831588745,1.2192544840325128,39.32896423339844,3248.0078125,21.4,0.6368576046950757,0.7961888268726839,0.8142766835885857,0.8256990511976117,0.9300706064481917,0.8548883404892788,0.9922522193755968,0.8790946108697976
5,3.080830087019609e-05,0.0001604241723710504,1.164853572845459,1.440967082977295,1.2004027741346424,39.37476134300232,3342.15234375,20.2,0.6377384926456551,0.7971267496170257,0.814288154263877,0.8262548838757762,0.9304259254111056,0.8558728669041322,0.9923958690939426,0.8800148061932053
6,3.104334760605127e-05,0.00019146751997710167,1.1571714878082275,1.3682457208633423,1.1697202514550014,39.66772246360779,2956.48046875,20.7,0.638693913570913,0.7991199512110517,0.8153201769048402,0.8273448210397352,0.931258553942785,0.8567932126051956,0.9925007635846345,0.8805353775223854
7,3.303378681285359e-05,0.00022450130678995525,1.149281620979309,1.405191421508789,1.185407713038054,41.86379909515381,3048.63671875,21.4,0.640795652828906,0.8027280627691566,0.8170777264805539,0.830917074896406,0.9319779503892353,0.8596109814174532,0.9927208113832748,0.8829816099734554
8,3.386830180248993e-05,0.0002583696085924452,1.1424028873443604,1.3661433458328247,1.1688214846865823,42.83878993988037,2954.12109375,21.5,0.6406202715335733,0.8030894695083589,0.8184610575544293,0.8324737414939422,0.9325746603127043,0.8603894266477148,0.9927705459005846,0.8834757032188587
9,3.195022282222489e-05,0.0002903198314146701,1.1369978189468384,1.364909052848816,1.1682932843951297,40.66016364097595,3048.53515625,22.0,0.6419260926946523,0.8083380445926315,0.818792494049218,0.8355416128218307,0.9326534447198468,0.8630528626162588,0.9928499394248398,0.8861050626589503
10,3.4264758241068426e-05,0.00032458458965573856,1.132603406906128,1.31651771068573,1.1473960655669946,43.28306221961975,2942.9296875,27.7,0.6431581896207443,0.8086004396170925,0.8193467065937056,0.8355017983946254,0.9330086585447305,0.862796256464229,0.9927950302558122,0.8856193880600502
11,3.128775975814665e-05,0.0003558723494138852,1.1289467811584473,1.3287749290466309,1.1527248228127749,39.9506938457489,2796.1015625,22.4,0.6434179989113897,0.8089058213830778,0.8197923033371619,0.8357911034512268,0.933260002477754,0.86326227755714,0.9927844127214961,0.885854259167777
12,3.0593261073222594e-05,0.0003864656104871078,1.1266151666641235,1.2999567985534668,1.1401563726046522,39.15422964096069,2890.15234375,21.1,0.6421408281182169,0.8081086676750497,0.8200111282974787,0.8362670896850137,0.933163350580379,0.863489800777444,0.9928849313548667,0.8862166908110403
13,3.197701123629074e-05,0.00041844262172339856,1.1230648756027222,1.2638152837753296,1.1241953817474584,40.71280550956726,2828.2578125,23.3,0.6435693515791404,0.8111674514614642,0.8204482786098012,0.8381377132567405,0.9335432917012553,0.864981953281504,0.9929345351864668,0.8874752395340941
14,3.052938268103155e-05,0.0004489720044044301,1.1209380626678467,1.2974616289138794,1.1390617486776462,39.0869357585907,2922.3203125,19.8,0.6449674961675641,0.8127047264196368,0.8200335094118867,0.8380771215271245,0.9335204731861249,0.8655700033055809,0.9929237418194241,0.8880885399533426
15,3.084174517468796e-05,0.00047981374957911806,1.1186634302139282,1.2755379676818848,1.1293971993173757,39.42713451385498,3017.1484375,20.4,0.6444466863034765,0.8127461324740088,0.8212248838545173,0.8397793825481664,0.9335737142404428,0.8662621819174933,0.9930062629838026,0.8887194189681852
16,3.047672280340419e-05,0.0005102904723825223,1.1167198419570923,1.274458885192871,1.1289192413346065,39.06741142272949,2871.140625,20.2,0.6449824310866813,0.8125867035241188,0.8216023692679689,0.8396425761817474,0.9339968144050677,0.8660204405943941,0.9930558349344223,0.8883749407889527
17,3.072507625081765e-05,0.0005410155486333399,1.1133701801300049,1.2395715713500977,1.1133604967006674,39.27802228927612,2963.30078125,20.9,0.6454583207530329,0.8147793096133084,0.8215454776902468,0.8406706119652511,0.9340381619433193,0.8671208631075896,0.9931282339541837,0.8894065490354219
18,3.236193162726599e-05,0.0005733774802606058,1.1106953620910645,1.2748953104019165,1.1291126988885478,41.1383330821991,2885.64453125,21.7,0.6460993428129814,0.8148345292038008,0.8216455227777223,0.8410600844122976,0.9343382743008763,0.8676649383871041,0.9932562960055248,0.8898130915554189
19,3.306476822103624e-05,0.0006064422484816421,1.1091667413711548,1.2213327884674072,1.1051391858818316,41.92657399177551,2978.9921875,20.2,0.6453370469594958,0.813899644009072,0.822308955446064,0.8407890367470491,0.934609389196155,0.8673153171165133,0.9933221903537497,0.8893845424470183
20,3.06244683061998e-05,0.0006370667167878419,1.1064733266830444,1.233849048614502,1.1107875082682053,39.20649242401123,2884.62890625,20.4,0.6456093698459153,0.816429218221013,0.8228824460882472,0.8428794812335263,0.934717677916127,0.8688545887867837,0.9933898308184372,0.8908934695657488
21,3.057997820141596e-05,0.0006676466949892579,1.1044284105300903,1.1989938020706177,1.0949857312924107,39.204373359680176,2978.19140625,20.2,0.645180382208483,0.815971370909924,0.8231846540707217,0.843448288024403,0.9346644168955431,0.8691019799786188,0.9934096819967446,0.8911232804293273
22,3.2776574304143e-05,0.0007004232692934009,1.1021702289581299,1.1898856163024902,1.0908187497803816,41.59311866760254,2944.484375,26.7,0.6466422989599823,0.8167646496745412,0.8227142183075046,0.8426028285727509,0.9341850064112133,0.8681433395873216,0.9934070833327245,0.8905113347890813
23,3.029171658899327e-05,0.0007307149858823941,1.1001535654067993,1.1986509561538696,1.0948291869516922,38.84397482872009,2781.328125,20.0,0.6457172965382977,0.8181262644219234,0.8232454851691708,0.8443633821613564,0.9348316933792366,0.8699607461106795,0.9934735508754219,0.8919245975930332
24,3.080000944375159e-05,0.0007615149953261456,1.0970014333724976,1.1833395957946777,1.087814114569888,39.37615656852722,2874.875,20.8,0.647098292744297,0.8182092299083452,0.8230102418444963,0.8437529707269205,0.9348297754521423,0.8696336758282533,0.9935101245723479,0.8916296456975451
25,3.1250773636878735e-05,0.0007927657689630244,1.0954033136367798,1.2042509317398071,1.09738374724864,39.86127233505249,2651.296875,22.8,0.6465243598631469,0.8174936284799148,0.8231003734411463,0.8434774387395835,0.9350888759435951,0.8694146541755199,0.99340685401106,0.8911468159155869
26,3.543309099769605e-05,0.0008281988599607204,1.0930063724517822,1.1728932857513428,1.0830020234200968,44.64748954772949,2744.72265625,27.8,0.6477885655647435,0.818077985209265,0.8232094899968471,0.8434928322092025,0.9351701378585422,0.8695060790153333,0.9935376349011681,0.8913146511868857
27,3.521410416368066e-05,0.000863412964124401,1.092003345489502,1.1716352701187134,1.0824208469817964,44.38858938217163,2634.7265625,27.1,0.6468477567274709,0.8187273537414179,0.8237387974860106,0.8447373838266294,0.9352039724428284,0.8703990446221243,0.9933962199183571,0.892156246789739
28,3.553365080592301e-05,0.000898946614930324,1.0897696018218994,1.1833908557891846,1.087837823302923,44.72276473045349,2728.7109375,28.9,0.648094388813857,0.8209836851430539,0.8227522432962572,0.8454885897362707,0.9353911364770661,0.871818302905028,0.9934441354511893,0.8935123716569718
29,3.1276436681235446e-05,0.0009302230516115594,1.0883030891418457,1.1647263765335083,1.079224888394097,39.95222067832947,2820.90234375,22.7,0.6472472450028671,0.8207147054203766,0.8231786501160928,0.8459053323807565,0.9357185816895874,0.8721355158379948,0.9934652462878157,0.8936507881058049
30,3.1234537374417086e-05,0.0009614575889859765,1.085625171661377,1.197901964187622,1.0944871368935019,39.89901638031006,2709.17578125,21.9,0.6476918260441297,0.8197355136343918,0.8233919476525396,0.8455862508252062,0.935419326928752,0.8714669817963827,0.9934175239068015,0.8930757843377428
31,3.1236937032696204e-05,0.0009926945260186728,1.084594964981079,1.154373049736023,1.0744175528541158,39.95334053039551,2802.5625,21.3,0.6498529507820705,0.82270892592279,0.823874937508841,0.8470050401612699,0.9357238033125841,0.8727757671428267,0.9934969010144332,0.8942084861609371
32,3.183963457485653e-05,0.0010245341605935293,1.0832273960113525,1.1508417129516602,1.072772980381396,40.52313470840454,2016.8046875,22.1,0.6480580323542727,0.8212933373016604,0.8243078330236645,0.8469756823221284,0.9357450472014458,0.8722726420516601,0.9934082697076874,0.8937230232182589
33,3.130811037033603e-05,0.0010558422709638653,1.0820108652114868,1.1322312355041504,1.0640635592556633,39.97291421890259,2110.24609375,22.0,0.6484637426797919,0.8229379735642091,0.8241873461041279,0.8471941806178441,0.9357537915082134,0.872661782836953,0.9933798126963728,0.8939763321037382
34,3.193358172064605e-05,0.0010877758526845114,1.0801512002944946,1.128939151763916,1.0625156054276836,40.67580008506775,2204.41796875,23.6,0.6485541713666451,0.8220100363380395,0.8234832337217326,0.8465834007202478,0.935860836665372,0.8729583027623153,0.9935461875614987,0.8944070900985475
35,4.4505941221422106e-05,0.0011322817939059334,1.079411268234253,1.1474645137786865,1.0711976777480234,54.795387268066406,2001.09375,41.9,0.6482983916610464,0.8221682468478884,0.8231589051448308,0.8464101372169542,0.9363631457587749,0.8728156816575118,0.9934037462392193,0.8938563970351652
36,3.9551376950403544e-05,0.0011718331708563368,1.0783371925354004,1.1248449087142944,1.0605870995813598,49.23808264732361,2094.59765625,32.4,0.6489892427429961,0.8229457781475524,0.8239532584417271,0.8473344798143626,0.9360211434781486,0.8731791600988126,0.9935975918328288,0.8945187839469965
