epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse
1,3.6338606319220217e-06,3.6338606319220217e-06,7.039788722991943,6.782199859619141,2.60426551673282
2,2.412446835867786e-06,6.0463074677898075e-06,6.787968635559082,6.720033645629883,2.592303015306965
3,2.4670783436485523e-06,8.51338581143836e-06,6.76612663269043,6.727770805358887,2.593794796183427
4,2.343663093947912e-06,1.0857048905386273e-05,6.7600297927856445,6.724884033203125,2.593238003107424
5,2.344215656984787e-06,1.3201264562371059e-05,6.74855899810791,6.715824604034424,2.591490747066434
6,2.329232914980261e-06,1.553049747735132e-05,6.74450159072876,6.724376678466797,2.5931404139498384
7,2.269683029326098e-06,1.780018050667742e-05,6.739649295806885,6.715749740600586,2.5914763266506804
8,2.2994344949553536e-06,2.0099615001632775e-05,6.73418664932251,6.696634292602539,2.5877857605871606
9,2.4636257621301797e-06,2.2563240763762955e-05,6.733094692230225,6.701244831085205,2.588676425094447
10,2.3549499280032915e-06,2.4918190691766245e-05,6.728250503540039,6.696990013122559,2.5878544624653776
11,2.3181376677822555e-06,2.72363283595485e-05,6.727870941162109,6.6924309730529785,2.58697334003801
12,2.1059248450542057e-06,2.9342253204602706e-05,6.7285847663879395,6.698452472686768,2.588137084648813
13,2.282450197848525e-06,3.162470340245123e-05,6.726016521453857,6.693964958190918,2.5872699731123254
14,2.4174697169308274e-06,3.4042173119382054e-05,6.7248663902282715,6.694947719573975,2.587459537190589
15,2.3014440506993418e-06,3.63436171700814e-05,6.725086688995361,6.694501876831055,2.587373595472175
16,2.155367372180991e-06,3.849898454226239e-05,6.724594593048096,6.6928606033325195,2.5870562229066993
17,2.7267734392716576e-06,4.122575798153405e-05,6.7235307693481445,6.693251609802246,2.5871320335553967
18,2.6021757802452326e-06,4.382793376177928e-05,6.724375247955322,6.697542190551758,2.5879611602680095
19,2.5260037719444107e-06,4.635393753372369e-05,6.723696231842041,6.690370082855225,2.5865751078534647
20,2.36387557121555e-06,4.871781310493924e-05,6.723721027374268,6.692213535308838,2.586931356413185
21,2.5427445608281785e-06,5.126055766576742e-05,6.723546028137207,6.693485260009766,2.5871770967357217
22,2.577915472082122e-06,5.383847313784954e-05,6.723612308502197,6.692429065704346,2.5869729337889136
23,2.495333681516171e-06,5.633380681936571e-05,6.723217487335205,6.6914753913879395,2.5867887408148262
24,2.4675578462623935e-06,5.8801364665628106e-05,6.723394870758057,6.69217586517334,2.586923942180761
25,2.570297497137489e-06,6.13716621627656e-05,6.723604679107666,6.69196081161499,2.5868825111199634
26,2.490329260400383e-06,6.386199142316598e-05,6.723734378814697,6.696873188018799,2.5878316571404163
27,2.512750028359316e-06,6.63747414515253e-05,6.723371982574463,6.69175386428833,2.5868423009661696
28,2.4514210211261984e-06,6.88261624726515e-05,6.723184108734131,6.692187786102295,2.5869261601561315
29,2.445185670205463e-06,7.127134814285697e-05,6.7228288650512695,6.69036865234375,2.5865747972701834
30,2.440563556911159e-06,7.371191169976813e-05,6.723182678222656,6.6916704177856445,2.586826314283868
31,2.791293543913521e-06,7.650320524368165e-05,6.7232208251953125,6.691192626953125,2.58673397771827
32,2.4878392244050415e-06,7.899104446808669e-05,6.722909450531006,6.691174030303955,2.586730529522108
33,2.3670822483404536e-06,8.135812671642714e-05,6.723437309265137,6.69142484664917,2.5867788202893336
34,2.490044010609422e-06,8.384817072703655e-05,6.723018646240234,6.690453052520752,2.5865908332406775
35,2.5028836832874372e-06,8.635105441032398e-05,6.7229743003845215,6.690772533416748,2.5866527165075457
36,2.5204897717885835e-06,8.887154418211256e-05,6.722878932952881,6.6933441162109375,2.5871497263472314
37,2.3569574284013985e-06,9.122850161051396e-05,6.722522258758545,6.691254138946533,2.586745849534667
38,2.371943992367827e-06,9.36004456028818e-05,6.7232794761657715,6.691326141357422,2.5867597622781364
39,2.545793256829961e-06,9.614623885971175e-05,6.7229905128479,6.692051410675049,2.586899898232616
40,2.800430425147825e-06,9.894666928485957e-05,6.722946643829346,6.691366672515869,2.5867677743661224
41,2.433797908379471e-06,0.00010138046719323905,6.722801685333252,6.691769123077393,2.586845222415372
42,2.377895982355074e-06,0.00010375836317559412,6.7226643562316895,6.691291809082031,2.586753244653967
43,2.4837870794423004e-06,0.00010624215025503642,6.722900867462158,6.690698146820068,2.586638339776805
44,2.5464531096925135e-06,0.00010878860336472894,6.722610950469971,6.690703392028809,2.5866394369403354
45,2.468302357976388e-06,0.00011125690572270532,6.722873687744141,6.690293788909912,2.5865602422904024
46,2.545733095637723e-06,0.00011380263881834305,6.722711086273193,6.690825939178467,2.586663286426148
47,2.4664600884305452e-06,0.0001162690989067736,6.722579479217529,6.692709922790527,2.5870272682653064
48,2.6314273919062e-06,0.0001189005262986798,6.722607135772705,6.690188407897949,2.5865399012463848
49,2.6671608308461343e-06,0.00012156768712952594,6.722301483154297,6.691030979156494,2.5867027235737985
50,2.4322316054275555e-06,0.0001239999187349535,6.722566604614258,6.6900200843811035,2.5865074346671144
