epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse
1,1.5316980052689058e-06,1.5316980052689058e-06,39.84083557128906,29.936992645263672,5.471470760610123
2,2.059532439422554e-07,1.7376512492111613e-06,22.060251235961914,13.225845336914062,3.6367355353900255
3,1.9919560390043477e-07,1.936846853111596e-06,9.191316604614258,4.974631309509277,2.2303880944968677
4,2.087253437957842e-07,2.1455721969073804e-06,6.3659844398498535,5.336125373840332,2.3100054620256394
5,2.1482661132752672e-07,2.360398808234907e-06,5.9425153732299805,4.865804672241211,2.205856969299551
6,2.1138235489082563e-07,2.5717811631257328e-06,5.648016929626465,4.525985240936279,2.1274363323798773
7,2.1329977905644996e-07,2.7850809421821827e-06,5.459752082824707,4.55455207824707,2.134139606202345
8,1.9893346414072922e-07,2.984014406322912e-06,5.2476348876953125,4.439498424530029,2.107011692808836
9,2.0760175600895472e-07,3.1916161623318667e-06,5.197598457336426,4.406895637512207,2.0992607941657915
10,2.638962983688737e-07,3.4555124607007403e-06,5.072741508483887,4.291067123413086,2.07148914802701
11,2.225979726434073e-07,3.6781104333441474e-06,5.031336784362793,4.316531181335449,2.0776263617973205
12,2.1715412991955125e-07,3.895264563263698e-06,4.926462650299072,4.21133279800415,2.0521531642898108
13,2.1616636721893286e-07,4.111430930482631e-06,4.955544948577881,4.259482383728027,2.0638513108154664
14,1.9858912242774444e-07,4.3100200529103755e-06,4.853540897369385,4.210348606109619,2.0519133263977087
15,2.0282812067451704e-07,4.512848173584893e-06,4.785000324249268,4.1741943359375,2.0430844573282223
16,2.0199230236556485e-07,4.714840475950458e-06,4.836148262023926,4.187892436981201,2.0464340433958066
17,2.0490359493265567e-07,4.919744070883114e-06,4.683505058288574,4.138422966003418,2.034311419123259
18,1.9620368449013315e-07,5.115947755373247e-06,4.711522102355957,4.217780113220215,2.0537235445143587
19,1.994007417155587e-07,5.315348497088805e-06,4.666542053222656,4.114960670471191,2.0285366648073038
20,2.008669890695271e-07,5.516215486158333e-06,4.703865051269531,4.221357822418213,2.054594277682585
21,2.0209015535867503e-07,5.718305641517008e-06,4.623019218444824,4.128814220428467,2.03194836454009
22,2.0903255242831e-07,5.927338193945318e-06,4.656280517578125,4.110507965087891,2.0274387854980054
23,1.994832291607421e-07,6.12682142310606e-06,4.5814924240112305,4.156004905700684,2.038628283675735
24,2.2135202429512022e-07,6.348173447401181e-06,4.588213920593262,4.258166313171387,2.063532513806185
25,2.016473228576468e-07,6.549820770258827e-06,4.571974277496338,4.081714153289795,2.0203252512767778
26,2.0043064351402457e-07,6.750251413772852e-06,4.569831371307373,4.172811508178711,2.042745893141471
27,2.015268255481351e-07,6.951778239320987e-06,4.552738666534424,4.1968488693237305,2.0486211589655166
28,2.1349447287082513e-07,7.165272712191812e-06,4.523077011108398,4.297111511230469,2.072947558142828
29,2.2428784395321963e-07,7.3895605561450315e-06,4.543646335601807,4.17512321472168,2.0433117880004756
30,2.0770950899832684e-07,7.597270065143358e-06,4.469592571258545,4.105329990386963,2.0261613011036745
31,2.1810332305403973e-07,7.815373388197398e-06,4.521242618560791,4.215421676635742,2.053149262202055
32,2.115455502150713e-07,8.02691893841247e-06,4.439871788024902,4.274374008178711,2.0674559320063755
33,2.766333393508135e-07,8.303552277763283e-06,4.423727989196777,4.180383205413818,2.044598448930285
34,2.131966097329608e-07,8.516748887496244e-06,4.419082164764404,4.1356706619262695,2.033634862978287
35,2.1346284232833072e-07,8.730211729824575e-06,4.438497543334961,4.270829677581787,2.0665984502531027
36,2.22262236892766e-07,8.952473966717341e-06,4.39777946472168,4.220088958740234,2.0542856012352813
37,2.3330312917643384e-07,9.185777095893775e-06,4.404825687408447,4.15964412689209,2.0395204677298167
38,2.408200693157355e-07,9.426597165209511e-06,4.437519550323486,4.349371910095215,2.085514761427209
39,2.4117337949747877e-07,9.66777054470699e-06,4.4069952964782715,4.4668989181518555,2.113503816690095
40,3.4877533714267577e-07,1.0016545881849667e-05,4.360691547393799,4.382282257080078,2.093390147469182
41,2.475106638853373e-07,1.0264056545735003e-05,4.374658584594727,4.337868690490723,2.082755133365892
42,2.3123991144918996e-07,1.0495296457184194e-05,4.392083168029785,4.455295562744141,2.1107570440019856
43,2.420717296602993e-07,1.0737368186844493e-05,4.332880973815918,4.625736236572266,2.1507524298640757
44,2.2563358673845508e-07,1.0963001773582949e-05,4.36791467666626,4.652186870574951,2.156892848567683
45,2.1377329654276392e-07,1.1176775070125713e-05,4.335832595825195,4.6635918617248535,2.1595352151220535
46,2.1861184194810566e-07,1.1395386912073818e-05,4.364202499389648,4.48286771774292,2.1172783792840164
47,2.146417903340407e-07,1.1610028702407859e-05,4.331783294677734,4.413034439086914,2.100722247848312
48,1.9736524652935005e-07,1.1807393948937208e-05,4.305724143981934,4.694094181060791,2.166585918502028
49,2.0658274940619595e-07,1.2013976698343405e-05,4.304863452911377,4.4932403564453125,2.1197265183819733
50,2.0759140913432905e-07,1.2221568107477733e-05,4.362493515014648,4.5147786140441895,2.124800952364619
