epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,459.12890625,19.6,87.1497368812561,0.6931129260021344,3.969697378531524,3.2526804635769495
1,487.0078125,45.5,90.18990135192871,0.692930524286471,3.7503423136516623,3.0069813143036317
2,495.5390625,47.4,84.40302753448486,0.6921621289169579,4.306640680622767,3.0299012863286006
3,503.140625,42.7,86.22485828399658,0.6895552596502137,3.8248069064776935,2.99336942500786
4,509.63671875,45.2,88.87460422515869,0.6835022469361623,5.056457468565233,4.056680058482702
5,517.1328125,45.4,87.71110105514526,0.6739217798437989,3.609229078092456,4.10069360347984
6,524.37109375,45.4,84.62719893455505,0.6622839517760695,3.999023140571542,4.973643814890897
7,532.1328125,42.1,85.09851098060608,0.6505953272183737,4.902036234283168,4.8027473168579204
8,539.51171875,43.9,86.60887169837952,0.6405350333243086,5.29333955370378,5.049163436076576
9,546.74609375,43.4,85.44251751899719,0.631790945927302,5.271202645436892,3.471584500702092
10,554.40625,43.9,90.47115397453308,0.6247318196192122,5.695156363430989,3.826022397356125
11,561.8828125,46.7,76.95539855957031,0.6209338281238288,6.05981878195648,4.926603122233304
12,569.1328125,38.2,76.54492831230164,0.6159375432813377,5.226949535577103,4.71909817315588
13,576.04296875,37.6,78.15602207183838,0.6135041420919853,5.799041781084456,4.809299746564139
14,583.9921875,39.4,79.12889766693115,0.6105145600281263,5.083286776048817,3.883882211879737
15,591.16796875,40.5,77.67662811279297,0.609148661034149,4.3594085496564094,4.0389139185585945
16,598.125,39.1,76.77727198600769,0.6070978275516576,5.54062809710791,4.433166278054682
17,367.94140625,38.2,77.34218239784241,0.6070897963486219,5.841392580488364,3.2793513141247477
18,375.24609375,39.8,78.85954093933105,0.6049231771837201,5.092072368114918,4.335832909016397
19,381.9140625,40.9,76.47423601150513,0.6044766761754689,4.660156729198975,3.841665675799587
20,389.38671875,38.7,76.59006309509277,0.6044804819843226,5.708942688781549,3.561610516448997
21,371.37109375,38.3,76.65548729896545,0.6024682762330038,5.223186849604945,4.174840362500205
22,377.8203125,39.0,79.71963739395142,0.6018249659161818,5.409920828596058,3.357436730760395
23,386.11328125,42.6,76.55373954772949,0.6010997661373072,4.664541694385618,4.0287818133853515
24,393.3359375,39.1,76.4876856803894,0.6011599801611482,4.727213248541167,4.5522514690435365
25,374.078125,38.4,77.26507782936096,0.5998546478518268,4.929513601121144,4.7440891551084245
26,381.26953125,38.4,76.89820384979248,0.5993107693237171,4.407139944240145,3.674151485178335
27,388.58984375,39.2,75.8667664527893,0.598890109020367,5.719299726827733,4.135767720570431
28,395.8359375,38.4,75.34379458427429,0.5988521006023675,5.341365654736266,4.38602439091977
29,540.8515625,37.3,75.22719168663025,0.5985014571955329,5.23738685684759,4.234773282664437
30,547.6875,38.1,75.28654360771179,0.5967392291416201,4.330983779155814,4.044454247781369
31,555.671875,38.2,75.19785189628601,0.5965749571720759,4.913718199632629,3.969965417489613
32,562.5859375,37.5,75.10180759429932,0.5958538379585534,5.064861955135964,4.183911981931298
33,569.8671875,38.3,84.27224969863892,0.595685113156051,4.262722940135584,4.344327524031639
34,577.0625,47.1,86.10929274559021,0.5956066961874041,4.0259782578426515,3.9504932357161415
35,584.796875,46.0,84.74670839309692,0.5956240526416845,4.90765555494058,3.6653646799275696
36,592.0,45.3,85.32447814941406,0.593997111707403,4.664003459805851,3.616250418833807
37,598.98046875,45.1,85.50809407234192,0.5928751841971749,5.354577183082289,3.7076851728390494
38,606.2265625,45.6,84.93425250053406,0.5937886031573278,4.697450637194533,3.2526978774826745
39,614.2421875,44.7,88.23199033737183,0.5936600215602339,5.481676893463524,4.108785542564388
40,546.953125,48.1,84.77888488769531,0.592761419844209,5.136523783596259,3.9710901684257554
41,554.2109375,45.9,86.3099730014801,0.592623518485772,5.0232619667348235,4.383247625651932
42,561.17578125,46.2,76.45915865898132,0.5920549134413401,5.582479053049508,3.3824619249705847
43,551.13671875,38.3,77.48849081993103,0.5913555833854174,4.76379306411765,3.6776066391857025
44,558.15234375,39.1,76.77739882469177,0.5911897590808701,4.249760045722301,4.119201714950561
45,566.3359375,37.9,77.3067877292633,0.5905750762475165,4.007071882054709,4.114900070136589
46,573.55078125,39.6,77.53590798377991,0.5902122714017567,6.053220410201796,3.83074256902839
47,562.25390625,39.0,77.2634494304657,0.590974095882031,4.855210679854187,3.8615942947822695
48,568.69921875,39.5,77.28513073921204,0.5893669598980954,4.518858303298632,3.9117132068600857
49,576.66015625,39.0,76.77899932861328,0.5894755362941507,4.170240411546968,4.157216054727516
