epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
1,1.0032774043861718e-05,1.0032774043861718e-05,191.67525959869658,3.2734657954606567,3.161328542035818
2,1.0275222974333222e-05,2.030799701819494e-05,154.5546415868703,3.629875202069957,3.525509725596905
3,9.989892518040135e-06,3.0297889536235075e-05,144.72394984754496,3.921630212599175,3.8219527427268027
4,1.0026476784069264e-05,4.032436632030434e-05,141.24674157449132,4.0684575717115825,3.9666616084039212
5,9.794730753022803e-06,5.0119097073327145e-05,137.3317812285869,4.160022523621119,4.053095659857989
6,9.872862210848313e-06,5.999195928417546e-05,108.57941352756319,3.970487686732703,3.857834934630394
7,9.782182505008589e-06,6.977414178918404e-05,77.86980912993721,3.6011718371688697,3.4836927489447596
8,9.826585385620498e-06,7.960072717480454e-05,69.16109001560187,3.4139700252371945,3.2916544013917446
9,1.0469903789986457e-05,9.007063096479099e-05,65.02005978338849,3.2660861988637495,3.128670462492704
10,9.747753895095867e-06,9.981838485988685e-05,62.36270427825967,3.144989665434364,3.005552050975561
11,1.0327168910927228e-05,0.00011014555377081409,60.57740931199547,3.0769805651866426,2.922820645815134
12,1.0149311576378114e-05,0.0001202948653471922,59.00535694859855,3.073906039073301,2.9231246836650375
13,9.916656110233705e-06,0.0001302115214574259,57.58260554021818,3.0328061153067534,2.868139627830982
14,1.0156965828531405e-05,0.0001403684872859573,56.57759212928606,3.017553818047574,2.8577120126903055
15,9.737716961147471e-06,0.00015010620424710477,55.376801284418825,3.033024912230054,2.865599644563198
16,1.2115470168471171e-05,0.00016222167441557595,52.31257493120455,3.058791936656518,2.8760200082695486
17,1.1912994870456252e-05,0.0001741346692860322,44.221152047952216,2.9736097039249385,2.777107922090292
18,1.1548089318986854e-05,0.00018568275860501905,37.78415274284255,2.785462666152085,2.604837267969847
19,1.0860798380244161e-05,0.00019654355698526323,34.36993753284254,2.6636056506486754,2.503450178706646
20,9.97163656377937e-06,0.0002065151935490426,31.918915361509434,2.5034671196594016,2.3578812822890285
21,9.766220519305486e-06,0.00021628141406834808,30.35937927627075,2.4819013919899198,2.3395949482452867
22,9.992720401497747e-06,0.00022627413446984582,29.360753656502112,2.436634386803758,2.2922835325038435
23,9.726256190046692e-06,0.0002360003906598925,28.672270849328036,2.424270618481529,2.28582939483881
24,9.59752112294952e-06,0.000245597911782842,28.037978219924906,2.416301499547718,2.277459719147682
25,9.812285035453843e-06,0.00025541019681829584,27.521177548299832,2.3900002556750857,2.248390398161411
26,9.580302875797103e-06,0.00026499049969409296,27.105392983567242,2.390911502209253,2.256384377995729
27,9.593302766076832e-06,0.0002745838024601698,26.659745547286068,2.380746572897311,2.241971934902668
28,9.642521775872785e-06,0.0002842263242360426,26.380119577717995,2.374747738067368,2.238861898175478
29,9.729685265540048e-06,0.00029395600950158263,26.055631740145127,2.364147941683458,2.221615318870545
30,9.551824036969632e-06,0.00030350783353855226,25.877592863407695,2.3649090089419884,2.2275725945961478
31,9.640060293874556e-06,0.0003131478938324268,25.5618419207623,2.3592295306082915,2.2202547669947146
32,9.67890847258234e-06,0.0003228268023050091,25.3627124058605,2.369172165860564,2.2311268937444684
33,9.569652712898486e-06,0.0003323964550179076,25.071520581898707,2.3448163008031786,2.2069969164240364
34,9.929046142097956e-06,0.00034232550116000557,24.862971568382353,2.336819102852459,2.1946786358892916
35,9.9708030032465e-06,0.0003522963041632521,24.85523486656355,2.329975636269882,2.18571302939415
36,1.0456109681981812e-05,0.0003627524138452339,24.651798294692583,2.332480294274028,2.186244577766657
37,9.78032459188403e-06,0.00037253273843711795,24.457362535210486,2.3486017956386376,2.207830027731657
38,9.363196958476789e-06,0.00038189593539559474,24.39261123129714,2.342367864746237,2.2032963117408753
39,9.559734109850174e-06,0.0003914556695054449,24.219026883036165,2.328071804935182,2.1892335235381126
40,9.429225320679387e-06,0.00040088489482612434,24.254567413720828,2.335336520083859,2.1950750477743144
41,9.451382416467328e-06,0.00041033627724259165,24.249545154742485,2.334295550744914,2.192580944136381
42,9.541628958406296e-06,0.00041987790620099795,23.939683499012652,2.354207406013162,2.2180064593696596
43,9.43528817008865e-06,0.0004293131943710866,23.910818390595928,2.3437924746928918,2.2062422050166135
44,9.312533459644e-06,0.00043862572783073063,23.767665716505846,2.3296299800099507,2.1868333952319623
45,9.232644077838102e-06,0.00044785837190856875,23.75839448066741,2.332305266747962,2.190748320082426
46,9.51883426509086e-06,0.0004573772061736596,23.68056182275203,2.325377286351383,2.1836293517386913
47,9.218258670770818e-06,0.0004665954648444304,23.70573485859225,2.331715543216059,2.1898491828894615
48,9.276537497558776e-06,0.0004758720023419892,23.614910308896505,2.344239790976946,2.201395200129747
49,9.313942024100438e-06,0.0004851859443660896,23.61862643458016,2.328598848437851,2.1861533293914794
50,9.308006160130723e-06,0.0004944939505262204,23.471031359917987,2.3400102814333197,2.2027904466497903
