epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,2.335274575902389e-05,2.335274575902389e-05,"tf.Tensor(0.91292965, shape=(), dtype=float32)","tf.Tensor(0.91914976, shape=(), dtype=float32)"
1,2.3262247134085435e-05,4.661499289310932e-05,"tf.Tensor(0.8980099, shape=(), dtype=float32)","tf.Tensor(0.90661824, shape=(), dtype=float32)"
2,2.4188904402114203e-05,7.080389729522352e-05,"tf.Tensor(0.89532125, shape=(), dtype=float32)","tf.Tensor(0.90430826, shape=(), dtype=float32)"
3,2.3500058798916916e-05,9.430395609414044e-05,"tf.Tensor(0.8947324, shape=(), dtype=float32)","tf.Tensor(0.90427244, shape=(), dtype=float32)"
4,2.325754810129451e-05,0.00011756150419543495,"tf.Tensor(0.89506036, shape=(), dtype=float32)","tf.Tensor(0.904251, shape=(), dtype=float32)"
5,2.331460055648666e-05,0.0001408761047519216,"tf.Tensor(0.8943672, shape=(), dtype=float32)","tf.Tensor(0.9037697, shape=(), dtype=float32)"
6,2.349841379707253e-05,0.00016437451854899414,"tf.Tensor(0.89400685, shape=(), dtype=float32)","tf.Tensor(0.90384054, shape=(), dtype=float32)"
7,2.3271281435209025e-05,0.00018764579998420316,"tf.Tensor(0.8941364, shape=(), dtype=float32)","tf.Tensor(0.90342975, shape=(), dtype=float32)"
8,2.330884376741507e-05,0.00021095464375161821,"tf.Tensor(0.8938211, shape=(), dtype=float32)","tf.Tensor(0.903354, shape=(), dtype=float32)"
9,2.333208034411466e-05,0.00023428672409573286,"tf.Tensor(0.8940992, shape=(), dtype=float32)","tf.Tensor(0.90368193, shape=(), dtype=float32)"
10,2.3241190191654062e-05,0.0002575279142873869,"tf.Tensor(0.89392203, shape=(), dtype=float32)","tf.Tensor(0.90327495, shape=(), dtype=float32)"
11,2.335011502863902e-05,0.00028087802931602593,"tf.Tensor(0.89485407, shape=(), dtype=float32)","tf.Tensor(0.90459543, shape=(), dtype=float32)"
12,2.3438017052903386e-05,0.0003043160463689293,"tf.Tensor(0.8959975, shape=(), dtype=float32)","tf.Tensor(0.9055674, shape=(), dtype=float32)"
13,2.3536137800835253e-05,0.00032785218416976457,"tf.Tensor(0.8939702, shape=(), dtype=float32)","tf.Tensor(0.9034887, shape=(), dtype=float32)"
14,2.353015939232383e-05,0.0003513823435620884,"tf.Tensor(0.8938633, shape=(), dtype=float32)","tf.Tensor(0.90352434, shape=(), dtype=float32)"
15,2.3713415481072518e-05,0.00037509575904316094,"tf.Tensor(0.8771119, shape=(), dtype=float32)","tf.Tensor(0.8913167, shape=(), dtype=float32)"
