epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,365.59375,24.3,40.8628671169281,"tf.Tensor(0.9056483, shape=(), dtype=float32)","tf.Tensor(0.7178014, shape=(), dtype=float32)","tf.Tensor(0.91240484, shape=(), dtype=float32)","tf.Tensor(0.72243476, shape=(), dtype=float32)"
1,435.19140625,24.4,40.527798652648926,"tf.Tensor(0.89639807, shape=(), dtype=float32)","tf.Tensor(0.7099844, shape=(), dtype=float32)","tf.Tensor(0.90530056, shape=(), dtype=float32)","tf.Tensor(0.7164426, shape=(), dtype=float32)"
2,460.01171875,22.8,41.47185492515564,"tf.Tensor(0.89485425, shape=(), dtype=float32)","tf.Tensor(0.70872366, shape=(), dtype=float32)","tf.Tensor(0.90381557, shape=(), dtype=float32)","tf.Tensor(0.7152118, shape=(), dtype=float32)"
3,484.78515625,26.2,40.50131440162659,"tf.Tensor(0.8943933, shape=(), dtype=float32)","tf.Tensor(0.7073624, shape=(), dtype=float32)","tf.Tensor(0.90339816, shape=(), dtype=float32)","tf.Tensor(0.71358246, shape=(), dtype=float32)"
4,508.6640625,23.9,41.643643617630005,"tf.Tensor(0.894223, shape=(), dtype=float32)","tf.Tensor(0.7077698, shape=(), dtype=float32)","tf.Tensor(0.9036718, shape=(), dtype=float32)","tf.Tensor(0.71457607, shape=(), dtype=float32)"
5,532.5,25.9,40.95285105705261,"tf.Tensor(0.8942231, shape=(), dtype=float32)","tf.Tensor(0.70781726, shape=(), dtype=float32)","tf.Tensor(0.9034028, shape=(), dtype=float32)","tf.Tensor(0.71430063, shape=(), dtype=float32)"
6,556.4140625,26.8,41.39169883728027,"tf.Tensor(0.8940543, shape=(), dtype=float32)","tf.Tensor(0.7070518, shape=(), dtype=float32)","tf.Tensor(0.9032854, shape=(), dtype=float32)","tf.Tensor(0.7134865, shape=(), dtype=float32)"
7,580.2265625,31.1,41.03838348388672,"tf.Tensor(0.8940869, shape=(), dtype=float32)","tf.Tensor(0.7072255, shape=(), dtype=float32)","tf.Tensor(0.90363336, shape=(), dtype=float32)","tf.Tensor(0.71398985, shape=(), dtype=float32)"
8,604.19140625,25.1,41.79479360580444,"tf.Tensor(0.89409035, shape=(), dtype=float32)","tf.Tensor(0.70816547, shape=(), dtype=float32)","tf.Tensor(0.9037842, shape=(), dtype=float32)","tf.Tensor(0.7151462, shape=(), dtype=float32)"
9,627.140625,33.7,40.66991305351257,"tf.Tensor(0.89386994, shape=(), dtype=float32)","tf.Tensor(0.70692897, shape=(), dtype=float32)","tf.Tensor(0.9032277, shape=(), dtype=float32)","tf.Tensor(0.71345377, shape=(), dtype=float32)"
10,651.0,26.7,40.630398988723755,"tf.Tensor(0.893893, shape=(), dtype=float32)","tf.Tensor(0.70752865, shape=(), dtype=float32)","tf.Tensor(0.90318877, shape=(), dtype=float32)","tf.Tensor(0.7140808, shape=(), dtype=float32)"
11,674.875,23.3,40.756391525268555,"tf.Tensor(0.895797, shape=(), dtype=float32)","tf.Tensor(0.7054255, shape=(), dtype=float32)","tf.Tensor(0.905244, shape=(), dtype=float32)","tf.Tensor(0.7119807, shape=(), dtype=float32)"
12,698.74609375,24.8,40.47367072105408,"tf.Tensor(0.8940996, shape=(), dtype=float32)","tf.Tensor(0.7082237, shape=(), dtype=float32)","tf.Tensor(0.90354735, shape=(), dtype=float32)","tf.Tensor(0.7149154, shape=(), dtype=float32)"
13,724.28125,24.4,40.30182147026062,"tf.Tensor(0.89388406, shape=(), dtype=float32)","tf.Tensor(0.7074877, shape=(), dtype=float32)","tf.Tensor(0.9034917, shape=(), dtype=float32)","tf.Tensor(0.71445465, shape=(), dtype=float32)"
14,746.6328125,23.1,40.814581632614136,"tf.Tensor(0.8939286, shape=(), dtype=float32)","tf.Tensor(0.7077257, shape=(), dtype=float32)","tf.Tensor(0.9032092, shape=(), dtype=float32)","tf.Tensor(0.7143653, shape=(), dtype=float32)"
15,772.7109375,26.2,39.53652763366699,"tf.Tensor(0.89391667, shape=(), dtype=float32)","tf.Tensor(0.7065462, shape=(), dtype=float32)","tf.Tensor(0.90320176, shape=(), dtype=float32)","tf.Tensor(0.71313614, shape=(), dtype=float32)"
16,795.7421875,26.3,40.767693519592285,"tf.Tensor(0.88474417, shape=(), dtype=float32)","tf.Tensor(0.6976471, shape=(), dtype=float32)","tf.Tensor(0.8964629, shape=(), dtype=float32)","tf.Tensor(0.7060491, shape=(), dtype=float32)"
17,820.79296875,23.7,40.61409091949463,"tf.Tensor(0.86976296, shape=(), dtype=float32)","tf.Tensor(0.68949676, shape=(), dtype=float32)","tf.Tensor(0.88666964, shape=(), dtype=float32)","tf.Tensor(0.70169383, shape=(), dtype=float32)"
18,843.73046875,23.9,40.69222021102905,"tf.Tensor(0.8581798, shape=(), dtype=float32)","tf.Tensor(0.67596126, shape=(), dtype=float32)","tf.Tensor(0.8806451, shape=(), dtype=float32)","tf.Tensor(0.6922608, shape=(), dtype=float32)"
19,867.6015625,23.9,41.035269260406494,"tf.Tensor(0.8289175, shape=(), dtype=float32)","tf.Tensor(0.65150535, shape=(), dtype=float32)","tf.Tensor(0.8686255, shape=(), dtype=float32)","tf.Tensor(0.6810767, shape=(), dtype=float32)"
20,891.48828125,24.5,40.61183142662048,"tf.Tensor(0.8084026, shape=(), dtype=float32)","tf.Tensor(0.6365032, shape=(), dtype=float32)","tf.Tensor(0.8639498, shape=(), dtype=float32)","tf.Tensor(0.6778609, shape=(), dtype=float32)"
21,915.359375,25.1,40.559677600860596,"tf.Tensor(0.79108334, shape=(), dtype=float32)","tf.Tensor(0.6211324, shape=(), dtype=float32)","tf.Tensor(0.86138326, shape=(), dtype=float32)","tf.Tensor(0.6735703, shape=(), dtype=float32)"
22,937.20703125,25.2,39.4207546710968,"tf.Tensor(0.774346, shape=(), dtype=float32)","tf.Tensor(0.607374, shape=(), dtype=float32)","tf.Tensor(0.86173624, shape=(), dtype=float32)","tf.Tensor(0.67268664, shape=(), dtype=float32)"
23,961.3984375,25.9,40.45973491668701,"tf.Tensor(0.7653612, shape=(), dtype=float32)","tf.Tensor(0.59964913, shape=(), dtype=float32)","tf.Tensor(0.86512065, shape=(), dtype=float32)","tf.Tensor(0.67415315, shape=(), dtype=float32)"
24,985.33203125,25.7,40.55404019355774,"tf.Tensor(0.7552191, shape=(), dtype=float32)","tf.Tensor(0.59233975, shape=(), dtype=float32)","tf.Tensor(0.8660789, shape=(), dtype=float32)","tf.Tensor(0.674882, shape=(), dtype=float32)"
