epoch,train_rmse,valid_rmse
0,"tf.Tensor(0.9056483, shape=(), dtype=float32)","tf.Tensor(0.91240484, shape=(), dtype=float32)"
1,"tf.Tensor(0.89639807, shape=(), dtype=float32)","tf.Tensor(0.90530056, shape=(), dtype=float32)"
2,"tf.Tensor(0.89485425, shape=(), dtype=float32)","tf.Tensor(0.90381557, shape=(), dtype=float32)"
3,"tf.Tensor(0.8943933, shape=(), dtype=float32)","tf.Tensor(0.90339816, shape=(), dtype=float32)"
4,"tf.Tensor(0.894223, shape=(), dtype=float32)","tf.Tensor(0.9036718, shape=(), dtype=float32)"
5,"tf.Tensor(0.8942231, shape=(), dtype=float32)","tf.Tensor(0.9034028, shape=(), dtype=float32)"
6,"tf.Tensor(0.8940543, shape=(), dtype=float32)","tf.Tensor(0.9032854, shape=(), dtype=float32)"
7,"tf.Tensor(0.8940869, shape=(), dtype=float32)","tf.Tensor(0.90363336, shape=(), dtype=float32)"
8,"tf.Tensor(0.89409035, shape=(), dtype=float32)","tf.Tensor(0.9037842, shape=(), dtype=float32)"
9,"tf.Tensor(0.89386994, shape=(), dtype=float32)","tf.Tensor(0.9032277, shape=(), dtype=float32)"
10,"tf.Tensor(0.893893, shape=(), dtype=float32)","tf.Tensor(0.90318877, shape=(), dtype=float32)"
11,"tf.Tensor(0.895797, shape=(), dtype=float32)","tf.Tensor(0.905244, shape=(), dtype=float32)"
12,"tf.Tensor(0.8940996, shape=(), dtype=float32)","tf.Tensor(0.90354735, shape=(), dtype=float32)"
13,"tf.Tensor(0.89388406, shape=(), dtype=float32)","tf.Tensor(0.9034917, shape=(), dtype=float32)"
14,"tf.Tensor(0.8939286, shape=(), dtype=float32)","tf.Tensor(0.9032092, shape=(), dtype=float32)"
15,"tf.Tensor(0.89391667, shape=(), dtype=float32)","tf.Tensor(0.90320176, shape=(), dtype=float32)"
16,"tf.Tensor(0.88474417, shape=(), dtype=float32)","tf.Tensor(0.8964629, shape=(), dtype=float32)"
17,"tf.Tensor(0.86976296, shape=(), dtype=float32)","tf.Tensor(0.88666964, shape=(), dtype=float32)"
18,"tf.Tensor(0.8581798, shape=(), dtype=float32)","tf.Tensor(0.8806451, shape=(), dtype=float32)"
19,"tf.Tensor(0.8289175, shape=(), dtype=float32)","tf.Tensor(0.8686255, shape=(), dtype=float32)"
20,"tf.Tensor(0.8084026, shape=(), dtype=float32)","tf.Tensor(0.8639498, shape=(), dtype=float32)"
21,"tf.Tensor(0.79108334, shape=(), dtype=float32)","tf.Tensor(0.86138326, shape=(), dtype=float32)"
22,"tf.Tensor(0.774346, shape=(), dtype=float32)","tf.Tensor(0.86173624, shape=(), dtype=float32)"
23,"tf.Tensor(0.7653612, shape=(), dtype=float32)","tf.Tensor(0.86512065, shape=(), dtype=float32)"
24,"tf.Tensor(0.7552191, shape=(), dtype=float32)","tf.Tensor(0.8660789, shape=(), dtype=float32)"
25,"tf.Tensor(0.7444823, shape=(), dtype=float32)","tf.Tensor(0.8699636, shape=(), dtype=float32)"
26,"tf.Tensor(0.7368354, shape=(), dtype=float32)","tf.Tensor(0.8750787, shape=(), dtype=float32)"
27,"tf.Tensor(0.72956175, shape=(), dtype=float32)","tf.Tensor(0.878209, shape=(), dtype=float32)"
28,"tf.Tensor(0.7227936, shape=(), dtype=float32)","tf.Tensor(0.88213044, shape=(), dtype=float32)"
29,"tf.Tensor(0.7141468, shape=(), dtype=float32)","tf.Tensor(0.8843663, shape=(), dtype=float32)"
30,"tf.Tensor(0.7066528, shape=(), dtype=float32)","tf.Tensor(0.89006644, shape=(), dtype=float32)"
31,"tf.Tensor(0.69902605, shape=(), dtype=float32)","tf.Tensor(0.89581335, shape=(), dtype=float32)"
