epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,2.278865057318601e-05,2.278865057318601e-05,"tf.Tensor(0.9069173, shape=(), dtype=float32)","tf.Tensor(0.9139386, shape=(), dtype=float32)"
1,2.2720762168631097e-05,4.550941274181711e-05,"tf.Tensor(0.89715093, shape=(), dtype=float32)","tf.Tensor(0.90571034, shape=(), dtype=float32)"
2,2.2856740052152347e-05,6.836615279396946e-05,"tf.Tensor(0.89489865, shape=(), dtype=float32)","tf.Tensor(0.90413094, shape=(), dtype=float32)"
3,2.2746830755136404e-05,9.111298354910587e-05,"tf.Tensor(0.8942856, shape=(), dtype=float32)","tf.Tensor(0.9034627, shape=(), dtype=float32)"
4,2.2877984127649623e-05,0.0001139909676767555,"tf.Tensor(0.894498, shape=(), dtype=float32)","tf.Tensor(0.90356964, shape=(), dtype=float32)"
5,2.2909489958133842e-05,0.00013690045763488934,"tf.Tensor(0.894967, shape=(), dtype=float32)","tf.Tensor(0.90450996, shape=(), dtype=float32)"
6,2.3472916448296406e-05,0.00016037337408318574,"tf.Tensor(0.89407736, shape=(), dtype=float32)","tf.Tensor(0.90365756, shape=(), dtype=float32)"
7,2.2890044526972563e-05,0.0001832634186101583,"tf.Tensor(0.8939622, shape=(), dtype=float32)","tf.Tensor(0.9033491, shape=(), dtype=float32)"
8,2.3917780529752893e-05,0.0002071811991399112,"tf.Tensor(0.89450705, shape=(), dtype=float32)","tf.Tensor(0.9040259, shape=(), dtype=float32)"
9,2.3016051326974668e-05,0.00023019725046688588,"tf.Tensor(0.89385587, shape=(), dtype=float32)","tf.Tensor(0.90342337, shape=(), dtype=float32)"
10,2.304836275757104e-05,0.0002532456132244569,"tf.Tensor(0.8940905, shape=(), dtype=float32)","tf.Tensor(0.90304595, shape=(), dtype=float32)"
11,2.3180734383120977e-05,0.0002764263476075779,"tf.Tensor(0.89495635, shape=(), dtype=float32)","tf.Tensor(0.9042295, shape=(), dtype=float32)"
12,2.3221454385811773e-05,0.00029964780199338967,"tf.Tensor(0.8939875, shape=(), dtype=float32)","tf.Tensor(0.90348715, shape=(), dtype=float32)"
13,2.3454349354524956e-05,0.00032310215134791464,"tf.Tensor(0.8938305, shape=(), dtype=float32)","tf.Tensor(0.9036634, shape=(), dtype=float32)"
14,2.3229125274657903e-05,0.0003463312766225725,"tf.Tensor(0.87134755, shape=(), dtype=float32)","tf.Tensor(0.8879375, shape=(), dtype=float32)"
15,2.301526525904854e-05,0.00036934654188162106,"tf.Tensor(0.86609316, shape=(), dtype=float32)","tf.Tensor(0.8856339, shape=(), dtype=float32)"
16,2.2877579460461098e-05,0.00039222412134208215,"tf.Tensor(0.85295945, shape=(), dtype=float32)","tf.Tensor(0.8778734, shape=(), dtype=float32)"
17,2.3117203302062104e-05,0.00041534132464414426,"tf.Tensor(0.8467867, shape=(), dtype=float32)","tf.Tensor(0.8753245, shape=(), dtype=float32)"
18,2.350228090124601e-05,0.00043884360554539027,"tf.Tensor(0.8350394, shape=(), dtype=float32)","tf.Tensor(0.8699755, shape=(), dtype=float32)"
19,2.3265251816618987e-05,0.00046210885736200927,"tf.Tensor(0.81224775, shape=(), dtype=float32)","tf.Tensor(0.86274683, shape=(), dtype=float32)"
20,2.2969376948483806e-05,0.00048507823431049305,"tf.Tensor(0.79055554, shape=(), dtype=float32)","tf.Tensor(0.8609173, shape=(), dtype=float32)"
21,2.375216976513911e-05,0.0005088304040756322,"tf.Tensor(0.7797348, shape=(), dtype=float32)","tf.Tensor(0.8631592, shape=(), dtype=float32)"
22,2.3017504178747898e-05,0.00053184790825438,"tf.Tensor(0.77297074, shape=(), dtype=float32)","tf.Tensor(0.8670985, shape=(), dtype=float32)"
23,2.3188851374809623e-05,0.0005550367596291897,"tf.Tensor(0.7579683, shape=(), dtype=float32)","tf.Tensor(0.8678584, shape=(), dtype=float32)"
24,2.3005102625724607e-05,0.0005780418622549143,"tf.Tensor(0.7474843, shape=(), dtype=float32)","tf.Tensor(0.8701662, shape=(), dtype=float32)"
25,2.3134624437153443e-05,0.0006011764866920678,"tf.Tensor(0.7416245, shape=(), dtype=float32)","tf.Tensor(0.8747632, shape=(), dtype=float32)"
26,2.3381185076978037e-05,0.0006245576717690457,"tf.Tensor(0.736187, shape=(), dtype=float32)","tf.Tensor(0.87617093, shape=(), dtype=float32)"
27,2.414231710765038e-05,0.0006486999888766961,"tf.Tensor(0.72100806, shape=(), dtype=float32)","tf.Tensor(0.88018703, shape=(), dtype=float32)"
28,2.308933225111815e-05,0.0006717893211278142,"tf.Tensor(0.7030333, shape=(), dtype=float32)","tf.Tensor(0.8872972, shape=(), dtype=float32)"
29,2.3148521032076993e-05,0.0006949378421598913,"tf.Tensor(0.69056284, shape=(), dtype=float32)","tf.Tensor(0.8939733, shape=(), dtype=float32)"
30,2.3210124648648106e-05,0.0007181479668085394,"tf.Tensor(0.6802396, shape=(), dtype=float32)","tf.Tensor(0.9018905, shape=(), dtype=float32)"
31,2.3455602935020983e-05,0.0007416035697435603,"tf.Tensor(0.67160463, shape=(), dtype=float32)","tf.Tensor(0.9055496, shape=(), dtype=float32)"
32,2.316041083192344e-05,0.0007647639805754838,"tf.Tensor(0.6598689, shape=(), dtype=float32)","tf.Tensor(0.9128832, shape=(), dtype=float32)"
33,2.363887663973852e-05,0.0007884028572152223,"tf.Tensor(0.6475294, shape=(), dtype=float32)","tf.Tensor(0.9195704, shape=(), dtype=float32)"
34,2.3283278634706905e-05,0.0008116861358499292,"tf.Tensor(0.63165826, shape=(), dtype=float32)","tf.Tensor(0.9282409, shape=(), dtype=float32)"
35,2.3312193242014326e-05,0.0008349983290919436,"tf.Tensor(0.6170651, shape=(), dtype=float32)","tf.Tensor(0.9369917, shape=(), dtype=float32)"
