epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,669.01953125,14.8,41.62662315368652,"tf.Tensor(0.9069173, shape=(), dtype=float32)","tf.Tensor(0.9139386, shape=(), dtype=float32)"
1,738.2734375,23.0,41.52958011627197,"tf.Tensor(0.89715093, shape=(), dtype=float32)","tf.Tensor(0.90571034, shape=(), dtype=float32)"
2,763.71484375,23.6,41.73285984992981,"tf.Tensor(0.89489865, shape=(), dtype=float32)","tf.Tensor(0.90413094, shape=(), dtype=float32)"
3,788.49609375,23.6,41.48906898498535,"tf.Tensor(0.8942856, shape=(), dtype=float32)","tf.Tensor(0.9034627, shape=(), dtype=float32)"
4,812.34765625,22.4,41.72212791442871,"tf.Tensor(0.894498, shape=(), dtype=float32)","tf.Tensor(0.90356964, shape=(), dtype=float32)"
5,836.25390625,23.8,41.701409578323364,"tf.Tensor(0.894967, shape=(), dtype=float32)","tf.Tensor(0.90450996, shape=(), dtype=float32)"
6,860.01171875,23.8,42.57872033119202,"tf.Tensor(0.89407736, shape=(), dtype=float32)","tf.Tensor(0.90365756, shape=(), dtype=float32)"
7,881.03515625,26.2,41.66000175476074,"tf.Tensor(0.8939622, shape=(), dtype=float32)","tf.Tensor(0.9033491, shape=(), dtype=float32)"
8,903.93359375,24.1,43.224283933639526,"tf.Tensor(0.89450705, shape=(), dtype=float32)","tf.Tensor(0.9040259, shape=(), dtype=float32)"
9,928.70703125,25.2,41.78952884674072,"tf.Tensor(0.89385587, shape=(), dtype=float32)","tf.Tensor(0.90342337, shape=(), dtype=float32)"
10,951.65234375,23.6,41.82658791542053,"tf.Tensor(0.8940905, shape=(), dtype=float32)","tf.Tensor(0.90304595, shape=(), dtype=float32)"
11,975.46875,23.5,42.02635097503662,"tf.Tensor(0.89495635, shape=(), dtype=float32)","tf.Tensor(0.9042295, shape=(), dtype=float32)"
12,999.33984375,23.6,42.02041697502136,"tf.Tensor(0.8939875, shape=(), dtype=float32)","tf.Tensor(0.90348715, shape=(), dtype=float32)"
13,1024.0703125,24.6,42.377172231674194,"tf.Tensor(0.8938305, shape=(), dtype=float32)","tf.Tensor(0.9036634, shape=(), dtype=float32)"
14,1049.8203125,24.0,42.01147985458374,"tf.Tensor(0.87134755, shape=(), dtype=float32)","tf.Tensor(0.8879375, shape=(), dtype=float32)"
15,1073.17578125,23.0,41.599376916885376,"tf.Tensor(0.86609316, shape=(), dtype=float32)","tf.Tensor(0.8856339, shape=(), dtype=float32)"
16,1096.38671875,23.1,41.378763914108276,"tf.Tensor(0.85295945, shape=(), dtype=float32)","tf.Tensor(0.8778734, shape=(), dtype=float32)"
17,1120.55859375,23.1,41.87598395347595,"tf.Tensor(0.8467867, shape=(), dtype=float32)","tf.Tensor(0.8753245, shape=(), dtype=float32)"
18,1143.5234375,23.8,42.374305725097656,"tf.Tensor(0.8350394, shape=(), dtype=float32)","tf.Tensor(0.8699755, shape=(), dtype=float32)"
19,1168.78515625,23.6,41.94556212425232,"tf.Tensor(0.81224775, shape=(), dtype=float32)","tf.Tensor(0.86274683, shape=(), dtype=float32)"
20,1192.6875,24.9,41.43381118774414,"tf.Tensor(0.79055554, shape=(), dtype=float32)","tf.Tensor(0.8609173, shape=(), dtype=float32)"
21,1216.55859375,22.8,42.643994092941284,"tf.Tensor(0.7797348, shape=(), dtype=float32)","tf.Tensor(0.8631592, shape=(), dtype=float32)"
22,1241.2109375,23.3,41.481980085372925,"tf.Tensor(0.77297074, shape=(), dtype=float32)","tf.Tensor(0.8670985, shape=(), dtype=float32)"
23,1265.02734375,23.1,41.758880615234375,"tf.Tensor(0.7579683, shape=(), dtype=float32)","tf.Tensor(0.8678584, shape=(), dtype=float32)"
24,1288.97265625,22.6,41.38669276237488,"tf.Tensor(0.7474843, shape=(), dtype=float32)","tf.Tensor(0.8701662, shape=(), dtype=float32)"
25,1313.77734375,22.3,41.60244631767273,"tf.Tensor(0.7416245, shape=(), dtype=float32)","tf.Tensor(0.8747632, shape=(), dtype=float32)"
26,1337.5,23.6,41.91922950744629,"tf.Tensor(0.736187, shape=(), dtype=float32)","tf.Tensor(0.87617093, shape=(), dtype=float32)"
27,1361.6484375,23.4,43.09955644607544,"tf.Tensor(0.72100806, shape=(), dtype=float32)","tf.Tensor(0.88018703, shape=(), dtype=float32)"
28,1386.3515625,25.3,41.452813386917114,"tf.Tensor(0.7030333, shape=(), dtype=float32)","tf.Tensor(0.8872972, shape=(), dtype=float32)"
29,1409.86328125,22.9,41.529011487960815,"tf.Tensor(0.69056284, shape=(), dtype=float32)","tf.Tensor(0.8939733, shape=(), dtype=float32)"
30,1434.52734375,23.5,41.55304741859436,"tf.Tensor(0.6802396, shape=(), dtype=float32)","tf.Tensor(0.9018905, shape=(), dtype=float32)"
31,1458.328125,23.1,41.98437547683716,"tf.Tensor(0.67160463, shape=(), dtype=float32)","tf.Tensor(0.9055496, shape=(), dtype=float32)"
32,1480.2109375,23.1,41.43866157531738,"tf.Tensor(0.6598689, shape=(), dtype=float32)","tf.Tensor(0.9128832, shape=(), dtype=float32)"
33,1505.87890625,22.4,42.15059995651245,"tf.Tensor(0.6475294, shape=(), dtype=float32)","tf.Tensor(0.9195704, shape=(), dtype=float32)"
34,1530.6171875,25.5,41.56776285171509,"tf.Tensor(0.63165826, shape=(), dtype=float32)","tf.Tensor(0.9282409, shape=(), dtype=float32)"
35,1554.40234375,23.8,41.64600968360901,"tf.Tensor(0.6170651, shape=(), dtype=float32)","tf.Tensor(0.9369917, shape=(), dtype=float32)"
36,1578.29296875,23.9,41.359171867370605,"tf.Tensor(0.60808104, shape=(), dtype=float32)","tf.Tensor(0.9463418, shape=(), dtype=float32)"
37,1602.11328125,22.8,43.27100372314453,"tf.Tensor(0.6010703, shape=(), dtype=float32)","tf.Tensor(0.95346457, shape=(), dtype=float32)"
38,1626.83203125,23.0,41.88628602027893,"tf.Tensor(0.5938327, shape=(), dtype=float32)","tf.Tensor(0.9567305, shape=(), dtype=float32)"
