epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,387.94921875,17.8,45.12933659553528,"tf.Tensor(0.9102297, shape=(), dtype=float32)","tf.Tensor(0.72130424, shape=(), dtype=float32)","tf.Tensor(0.917198, shape=(), dtype=float32)","tf.Tensor(0.726233, shape=(), dtype=float32)"
1,457.171875,28.6,42.37390494346619,"tf.Tensor(0.8974604, shape=(), dtype=float32)","tf.Tensor(0.71012956, shape=(), dtype=float32)","tf.Tensor(0.9061942, shape=(), dtype=float32)","tf.Tensor(0.71621454, shape=(), dtype=float32)"
2,481.91015625,24.4,41.95916152000427,"tf.Tensor(0.8953608, shape=(), dtype=float32)","tf.Tensor(0.7080358, shape=(), dtype=float32)","tf.Tensor(0.90407753, shape=(), dtype=float32)","tf.Tensor(0.7139912, shape=(), dtype=float32)"
3,505.76171875,23.6,41.91796040534973,"tf.Tensor(0.8945105, shape=(), dtype=float32)","tf.Tensor(0.7071857, shape=(), dtype=float32)","tf.Tensor(0.90414745, shape=(), dtype=float32)","tf.Tensor(0.7139494, shape=(), dtype=float32)"
4,529.62109375,24.8,42.07428765296936,"tf.Tensor(0.8941481, shape=(), dtype=float32)","tf.Tensor(0.70745915, shape=(), dtype=float32)","tf.Tensor(0.9033208, shape=(), dtype=float32)","tf.Tensor(0.71393216, shape=(), dtype=float32)"
5,554.3828125,23.8,41.78173279762268,"tf.Tensor(0.8941077, shape=(), dtype=float32)","tf.Tensor(0.7066839, shape=(), dtype=float32)","tf.Tensor(0.90346086, shape=(), dtype=float32)","tf.Tensor(0.7133781, shape=(), dtype=float32)"
6,579.06640625,22.3,42.26677989959717,"tf.Tensor(0.8941287, shape=(), dtype=float32)","tf.Tensor(0.7086376, shape=(), dtype=float32)","tf.Tensor(0.90335584, shape=(), dtype=float32)","tf.Tensor(0.7152054, shape=(), dtype=float32)"
7,603.140625,24.7,42.58582639694214,"tf.Tensor(0.89513266, shape=(), dtype=float32)","tf.Tensor(0.7056841, shape=(), dtype=float32)","tf.Tensor(0.90466094, shape=(), dtype=float32)","tf.Tensor(0.7125742, shape=(), dtype=float32)"
8,626.078125,25.4,42.060099601745605,"tf.Tensor(0.8948769, shape=(), dtype=float32)","tf.Tensor(0.705251, shape=(), dtype=float32)","tf.Tensor(0.9046402, shape=(), dtype=float32)","tf.Tensor(0.7122796, shape=(), dtype=float32)"
9,649.94921875,23.7,42.234811544418335,"tf.Tensor(0.89423114, shape=(), dtype=float32)","tf.Tensor(0.7089417, shape=(), dtype=float32)","tf.Tensor(0.9035933, shape=(), dtype=float32)","tf.Tensor(0.7157397, shape=(), dtype=float32)"
10,675.79296875,24.4,41.88146209716797,"tf.Tensor(0.89413035, shape=(), dtype=float32)","tf.Tensor(0.7062488, shape=(), dtype=float32)","tf.Tensor(0.90350425, shape=(), dtype=float32)","tf.Tensor(0.71294206, shape=(), dtype=float32)"
11,699.63671875,24.2,45.26708173751831,"tf.Tensor(0.8939096, shape=(), dtype=float32)","tf.Tensor(0.7065253, shape=(), dtype=float32)","tf.Tensor(0.9034325, shape=(), dtype=float32)","tf.Tensor(0.71327084, shape=(), dtype=float32)"
12,724.44921875,29.8,45.00998854637146,"tf.Tensor(0.89393973, shape=(), dtype=float32)","tf.Tensor(0.70658976, shape=(), dtype=float32)","tf.Tensor(0.9031157, shape=(), dtype=float32)","tf.Tensor(0.71289605, shape=(), dtype=float32)"
13,748.265625,32.3,43.50164198875427,"tf.Tensor(0.8942792, shape=(), dtype=float32)","tf.Tensor(0.7092351, shape=(), dtype=float32)","tf.Tensor(0.90377295, shape=(), dtype=float32)","tf.Tensor(0.71601844, shape=(), dtype=float32)"
14,772.234375,25.8,43.65883183479309,"tf.Tensor(0.8940223, shape=(), dtype=float32)","tf.Tensor(0.7060394, shape=(), dtype=float32)","tf.Tensor(0.90377754, shape=(), dtype=float32)","tf.Tensor(0.7130481, shape=(), dtype=float32)"
15,795.12109375,26.6,43.70982789993286,"tf.Tensor(0.8836779, shape=(), dtype=float32)","tf.Tensor(0.7004924, shape=(), dtype=float32)","tf.Tensor(0.8957864, shape=(), dtype=float32)","tf.Tensor(0.70929354, shape=(), dtype=float32)"
16,818.99609375,27.2,45.69840741157532,"tf.Tensor(0.86846036, shape=(), dtype=float32)","tf.Tensor(0.68576396, shape=(), dtype=float32)","tf.Tensor(0.88558614, shape=(), dtype=float32)","tf.Tensor(0.69803596, shape=(), dtype=float32)"
17,842.84375,30.9,43.674660205841064,"tf.Tensor(0.8550651, shape=(), dtype=float32)","tf.Tensor(0.67378277, shape=(), dtype=float32)","tf.Tensor(0.8788172, shape=(), dtype=float32)","tf.Tensor(0.6911546, shape=(), dtype=float32)"
18,867.04296875,27.1,43.324623823165894,"tf.Tensor(0.83891046, shape=(), dtype=float32)","tf.Tensor(0.6596475, shape=(), dtype=float32)","tf.Tensor(0.87273824, shape=(), dtype=float32)","tf.Tensor(0.68450963, shape=(), dtype=float32)"
19,890.84765625,26.0,46.909817934036255,"tf.Tensor(0.8334254, shape=(), dtype=float32)","tf.Tensor(0.65336746, shape=(), dtype=float32)","tf.Tensor(0.8721363, shape=(), dtype=float32)","tf.Tensor(0.68162966, shape=(), dtype=float32)"
20,914.66015625,36.0,43.28571438789368,"tf.Tensor(0.8300401, shape=(), dtype=float32)","tf.Tensor(0.6507471, shape=(), dtype=float32)","tf.Tensor(0.8718316, shape=(), dtype=float32)","tf.Tensor(0.68121064, shape=(), dtype=float32)"
21,938.92578125,26.6,42.752854347229004,"tf.Tensor(0.8204591, shape=(), dtype=float32)","tf.Tensor(0.64753604, shape=(), dtype=float32)","tf.Tensor(0.8678077, shape=(), dtype=float32)","tf.Tensor(0.6824663, shape=(), dtype=float32)"
22,963.375,25.4,42.994866371154785,"tf.Tensor(0.80948216, shape=(), dtype=float32)","tf.Tensor(0.63658917, shape=(), dtype=float32)","tf.Tensor(0.86527556, shape=(), dtype=float32)","tf.Tensor(0.67790973, shape=(), dtype=float32)"
23,988.2578125,25.7,42.65124726295471,"tf.Tensor(0.80363023, shape=(), dtype=float32)","tf.Tensor(0.6342529, shape=(), dtype=float32)","tf.Tensor(0.8660334, shape=(), dtype=float32)","tf.Tensor(0.68051165, shape=(), dtype=float32)"
24,1011.14453125,25.1,42.83836579322815,"tf.Tensor(0.79427105, shape=(), dtype=float32)","tf.Tensor(0.62518024, shape=(), dtype=float32)","tf.Tensor(0.8655169, shape=(), dtype=float32)","tf.Tensor(0.67809975, shape=(), dtype=float32)"
