epoch,train_rmse,valid_rmse
0,"tf.Tensor(0.9069173, shape=(), dtype=float32)","tf.Tensor(0.9139386, shape=(), dtype=float32)"
1,"tf.Tensor(0.89715093, shape=(), dtype=float32)","tf.Tensor(0.90571034, shape=(), dtype=float32)"
2,"tf.Tensor(0.89489865, shape=(), dtype=float32)","tf.Tensor(0.90413094, shape=(), dtype=float32)"
3,"tf.Tensor(0.8942856, shape=(), dtype=float32)","tf.Tensor(0.9034627, shape=(), dtype=float32)"
4,"tf.Tensor(0.894498, shape=(), dtype=float32)","tf.Tensor(0.90356964, shape=(), dtype=float32)"
5,"tf.Tensor(0.894967, shape=(), dtype=float32)","tf.Tensor(0.90450996, shape=(), dtype=float32)"
6,"tf.Tensor(0.89407736, shape=(), dtype=float32)","tf.Tensor(0.90365756, shape=(), dtype=float32)"
7,"tf.Tensor(0.8939622, shape=(), dtype=float32)","tf.Tensor(0.9033491, shape=(), dtype=float32)"
8,"tf.Tensor(0.89450705, shape=(), dtype=float32)","tf.Tensor(0.9040259, shape=(), dtype=float32)"
9,"tf.Tensor(0.89385587, shape=(), dtype=float32)","tf.Tensor(0.90342337, shape=(), dtype=float32)"
10,"tf.Tensor(0.8940905, shape=(), dtype=float32)","tf.Tensor(0.90304595, shape=(), dtype=float32)"
11,"tf.Tensor(0.89495635, shape=(), dtype=float32)","tf.Tensor(0.9042295, shape=(), dtype=float32)"
12,"tf.Tensor(0.8939875, shape=(), dtype=float32)","tf.Tensor(0.90348715, shape=(), dtype=float32)"
13,"tf.Tensor(0.8938305, shape=(), dtype=float32)","tf.Tensor(0.9036634, shape=(), dtype=float32)"
14,"tf.Tensor(0.87134755, shape=(), dtype=float32)","tf.Tensor(0.8879375, shape=(), dtype=float32)"
15,"tf.Tensor(0.86609316, shape=(), dtype=float32)","tf.Tensor(0.8856339, shape=(), dtype=float32)"
16,"tf.Tensor(0.85295945, shape=(), dtype=float32)","tf.Tensor(0.8778734, shape=(), dtype=float32)"
17,"tf.Tensor(0.8467867, shape=(), dtype=float32)","tf.Tensor(0.8753245, shape=(), dtype=float32)"
18,"tf.Tensor(0.8350394, shape=(), dtype=float32)","tf.Tensor(0.8699755, shape=(), dtype=float32)"
19,"tf.Tensor(0.81224775, shape=(), dtype=float32)","tf.Tensor(0.86274683, shape=(), dtype=float32)"
20,"tf.Tensor(0.79055554, shape=(), dtype=float32)","tf.Tensor(0.8609173, shape=(), dtype=float32)"
21,"tf.Tensor(0.7797348, shape=(), dtype=float32)","tf.Tensor(0.8631592, shape=(), dtype=float32)"
22,"tf.Tensor(0.77297074, shape=(), dtype=float32)","tf.Tensor(0.8670985, shape=(), dtype=float32)"
23,"tf.Tensor(0.7579683, shape=(), dtype=float32)","tf.Tensor(0.8678584, shape=(), dtype=float32)"
24,"tf.Tensor(0.7474843, shape=(), dtype=float32)","tf.Tensor(0.8701662, shape=(), dtype=float32)"
25,"tf.Tensor(0.7416245, shape=(), dtype=float32)","tf.Tensor(0.8747632, shape=(), dtype=float32)"
26,"tf.Tensor(0.736187, shape=(), dtype=float32)","tf.Tensor(0.87617093, shape=(), dtype=float32)"
27,"tf.Tensor(0.72100806, shape=(), dtype=float32)","tf.Tensor(0.88018703, shape=(), dtype=float32)"
