epoch,train_rmse,train_mae,valid_rmse,valid_mae
0,"tf.Tensor(0.9102297, shape=(), dtype=float32)","tf.Tensor(0.72130424, shape=(), dtype=float32)","tf.Tensor(0.917198, shape=(), dtype=float32)","tf.Tensor(0.726233, shape=(), dtype=float32)"
1,"tf.Tensor(0.8974604, shape=(), dtype=float32)","tf.Tensor(0.71012956, shape=(), dtype=float32)","tf.Tensor(0.9061942, shape=(), dtype=float32)","tf.Tensor(0.71621454, shape=(), dtype=float32)"
2,"tf.Tensor(0.8953608, shape=(), dtype=float32)","tf.Tensor(0.7080358, shape=(), dtype=float32)","tf.Tensor(0.90407753, shape=(), dtype=float32)","tf.Tensor(0.7139912, shape=(), dtype=float32)"
3,"tf.Tensor(0.8945105, shape=(), dtype=float32)","tf.Tensor(0.7071857, shape=(), dtype=float32)","tf.Tensor(0.90414745, shape=(), dtype=float32)","tf.Tensor(0.7139494, shape=(), dtype=float32)"
4,"tf.Tensor(0.8941481, shape=(), dtype=float32)","tf.Tensor(0.70745915, shape=(), dtype=float32)","tf.Tensor(0.9033208, shape=(), dtype=float32)","tf.Tensor(0.71393216, shape=(), dtype=float32)"
5,"tf.Tensor(0.8941077, shape=(), dtype=float32)","tf.Tensor(0.7066839, shape=(), dtype=float32)","tf.Tensor(0.90346086, shape=(), dtype=float32)","tf.Tensor(0.7133781, shape=(), dtype=float32)"
6,"tf.Tensor(0.8941287, shape=(), dtype=float32)","tf.Tensor(0.7086376, shape=(), dtype=float32)","tf.Tensor(0.90335584, shape=(), dtype=float32)","tf.Tensor(0.7152054, shape=(), dtype=float32)"
7,"tf.Tensor(0.89513266, shape=(), dtype=float32)","tf.Tensor(0.7056841, shape=(), dtype=float32)","tf.Tensor(0.90466094, shape=(), dtype=float32)","tf.Tensor(0.7125742, shape=(), dtype=float32)"
8,"tf.Tensor(0.8948769, shape=(), dtype=float32)","tf.Tensor(0.705251, shape=(), dtype=float32)","tf.Tensor(0.9046402, shape=(), dtype=float32)","tf.Tensor(0.7122796, shape=(), dtype=float32)"
9,"tf.Tensor(0.89423114, shape=(), dtype=float32)","tf.Tensor(0.7089417, shape=(), dtype=float32)","tf.Tensor(0.9035933, shape=(), dtype=float32)","tf.Tensor(0.7157397, shape=(), dtype=float32)"
10,"tf.Tensor(0.89413035, shape=(), dtype=float32)","tf.Tensor(0.7062488, shape=(), dtype=float32)","tf.Tensor(0.90350425, shape=(), dtype=float32)","tf.Tensor(0.71294206, shape=(), dtype=float32)"
11,"tf.Tensor(0.8939096, shape=(), dtype=float32)","tf.Tensor(0.7065253, shape=(), dtype=float32)","tf.Tensor(0.9034325, shape=(), dtype=float32)","tf.Tensor(0.71327084, shape=(), dtype=float32)"
12,"tf.Tensor(0.89393973, shape=(), dtype=float32)","tf.Tensor(0.70658976, shape=(), dtype=float32)","tf.Tensor(0.9031157, shape=(), dtype=float32)","tf.Tensor(0.71289605, shape=(), dtype=float32)"
13,"tf.Tensor(0.8942792, shape=(), dtype=float32)","tf.Tensor(0.7092351, shape=(), dtype=float32)","tf.Tensor(0.90377295, shape=(), dtype=float32)","tf.Tensor(0.71601844, shape=(), dtype=float32)"
14,"tf.Tensor(0.8940223, shape=(), dtype=float32)","tf.Tensor(0.7060394, shape=(), dtype=float32)","tf.Tensor(0.90377754, shape=(), dtype=float32)","tf.Tensor(0.7130481, shape=(), dtype=float32)"
15,"tf.Tensor(0.8836779, shape=(), dtype=float32)","tf.Tensor(0.7004924, shape=(), dtype=float32)","tf.Tensor(0.8957864, shape=(), dtype=float32)","tf.Tensor(0.70929354, shape=(), dtype=float32)"
16,"tf.Tensor(0.86846036, shape=(), dtype=float32)","tf.Tensor(0.68576396, shape=(), dtype=float32)","tf.Tensor(0.88558614, shape=(), dtype=float32)","tf.Tensor(0.69803596, shape=(), dtype=float32)"
17,"tf.Tensor(0.8550651, shape=(), dtype=float32)","tf.Tensor(0.67378277, shape=(), dtype=float32)","tf.Tensor(0.8788172, shape=(), dtype=float32)","tf.Tensor(0.6911546, shape=(), dtype=float32)"
18,"tf.Tensor(0.83891046, shape=(), dtype=float32)","tf.Tensor(0.6596475, shape=(), dtype=float32)","tf.Tensor(0.87273824, shape=(), dtype=float32)","tf.Tensor(0.68450963, shape=(), dtype=float32)"
19,"tf.Tensor(0.8334254, shape=(), dtype=float32)","tf.Tensor(0.65336746, shape=(), dtype=float32)","tf.Tensor(0.8721363, shape=(), dtype=float32)","tf.Tensor(0.68162966, shape=(), dtype=float32)"
20,"tf.Tensor(0.8300401, shape=(), dtype=float32)","tf.Tensor(0.6507471, shape=(), dtype=float32)","tf.Tensor(0.8718316, shape=(), dtype=float32)","tf.Tensor(0.68121064, shape=(), dtype=float32)"
21,"tf.Tensor(0.8204591, shape=(), dtype=float32)","tf.Tensor(0.64753604, shape=(), dtype=float32)","tf.Tensor(0.8678077, shape=(), dtype=float32)","tf.Tensor(0.6824663, shape=(), dtype=float32)"
22,"tf.Tensor(0.80948216, shape=(), dtype=float32)","tf.Tensor(0.63658917, shape=(), dtype=float32)","tf.Tensor(0.86527556, shape=(), dtype=float32)","tf.Tensor(0.67790973, shape=(), dtype=float32)"
23,"tf.Tensor(0.80363023, shape=(), dtype=float32)","tf.Tensor(0.6342529, shape=(), dtype=float32)","tf.Tensor(0.8660334, shape=(), dtype=float32)","tf.Tensor(0.68051165, shape=(), dtype=float32)"
24,"tf.Tensor(0.79427105, shape=(), dtype=float32)","tf.Tensor(0.62518024, shape=(), dtype=float32)","tf.Tensor(0.8655169, shape=(), dtype=float32)","tf.Tensor(0.67809975, shape=(), dtype=float32)"
25,"tf.Tensor(0.78051454, shape=(), dtype=float32)","tf.Tensor(0.61566156, shape=(), dtype=float32)","tf.Tensor(0.8646165, shape=(), dtype=float32)","tf.Tensor(0.6786322, shape=(), dtype=float32)"
26,"tf.Tensor(0.7667075, shape=(), dtype=float32)","tf.Tensor(0.6005572, shape=(), dtype=float32)","tf.Tensor(0.8647267, shape=(), dtype=float32)","tf.Tensor(0.67316425, shape=(), dtype=float32)"
27,"tf.Tensor(0.7557539, shape=(), dtype=float32)","tf.Tensor(0.59464896, shape=(), dtype=float32)","tf.Tensor(0.8668353, shape=(), dtype=float32)","tf.Tensor(0.6774416, shape=(), dtype=float32)"
28,"tf.Tensor(0.7450116, shape=(), dtype=float32)","tf.Tensor(0.58349764, shape=(), dtype=float32)","tf.Tensor(0.8704456, shape=(), dtype=float32)","tf.Tensor(0.67655045, shape=(), dtype=float32)"
