epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,2.526523426209879e-05,2.526523426209879e-05,"tf.Tensor(0.90499604, shape=(), dtype=float32)","tf.Tensor(0.9119338, shape=(), dtype=float32)"
1,2.6750058936450345e-05,5.2015293198549135e-05,"tf.Tensor(0.8963773, shape=(), dtype=float32)","tf.Tensor(0.90532154, shape=(), dtype=float32)"
2,2.6352887869288034e-05,7.836818106783718e-05,"tf.Tensor(0.89481056, shape=(), dtype=float32)","tf.Tensor(0.9039911, shape=(), dtype=float32)"
3,2.4275034179296262e-05,0.00010264321524713343,"tf.Tensor(0.8942868, shape=(), dtype=float32)","tf.Tensor(0.90369344, shape=(), dtype=float32)"
4,2.4603065278939262e-05,0.0001272462805260727,"tf.Tensor(0.89450485, shape=(), dtype=float32)","tf.Tensor(0.9036662, shape=(), dtype=float32)"
5,2.4253331140203748e-05,0.00015149961166627645,"tf.Tensor(0.89532924, shape=(), dtype=float32)","tf.Tensor(0.9047634, shape=(), dtype=float32)"
6,2.4268737305325086e-05,0.00017576834897160154,"tf.Tensor(0.89561653, shape=(), dtype=float32)","tf.Tensor(0.9047656, shape=(), dtype=float32)"
7,2.4914103922549984e-05,0.00020068245289415153,"tf.Tensor(0.89321584, shape=(), dtype=float32)","tf.Tensor(0.9032501, shape=(), dtype=float32)"
8,2.44106426757628e-05,0.00022509309556991434,"tf.Tensor(0.87309265, shape=(), dtype=float32)","tf.Tensor(0.88921356, shape=(), dtype=float32)"
9,2.4412582114830896e-05,0.00024950567768474525,"tf.Tensor(0.86597997, shape=(), dtype=float32)","tf.Tensor(0.88513595, shape=(), dtype=float32)"
10,2.4019911282808333e-05,0.0002735255889675536,"tf.Tensor(0.86385196, shape=(), dtype=float32)","tf.Tensor(0.88457286, shape=(), dtype=float32)"
11,2.441059590705396e-05,0.00029793618487460754,"tf.Tensor(0.8576695, shape=(), dtype=float32)","tf.Tensor(0.88114023, shape=(), dtype=float32)"
12,2.4150657694530975e-05,0.0003220868425691385,"tf.Tensor(0.8472589, shape=(), dtype=float32)","tf.Tensor(0.87601715, shape=(), dtype=float32)"
13,2.4244677681435003e-05,0.0003463315202505735,"tf.Tensor(0.8287273, shape=(), dtype=float32)","tf.Tensor(0.86769855, shape=(), dtype=float32)"
14,2.413485625272283e-05,0.0003704663765032963,"tf.Tensor(0.812416, shape=(), dtype=float32)","tf.Tensor(0.86402273, shape=(), dtype=float32)"
15,2.4093714593761173e-05,0.0003945600910970575,"tf.Tensor(0.8032432, shape=(), dtype=float32)","tf.Tensor(0.8627214, shape=(), dtype=float32)"
16,2.430741687956694e-05,0.00041886750797662443,"tf.Tensor(0.79177415, shape=(), dtype=float32)","tf.Tensor(0.8626794, shape=(), dtype=float32)"
17,2.4120767781430714e-05,0.0004429882757580551,"tf.Tensor(0.78090024, shape=(), dtype=float32)","tf.Tensor(0.86353624, shape=(), dtype=float32)"
18,2.4043843675777352e-05,0.0004670321194338325,"tf.Tensor(0.772699, shape=(), dtype=float32)","tf.Tensor(0.86588377, shape=(), dtype=float32)"
19,2.4102284764025884e-05,0.0004911344041978584,"tf.Tensor(0.76903766, shape=(), dtype=float32)","tf.Tensor(0.8669358, shape=(), dtype=float32)"
20,2.4078163713239883e-05,0.0005152125679110983,"tf.Tensor(0.76424044, shape=(), dtype=float32)","tf.Tensor(0.86994135, shape=(), dtype=float32)"
