epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,455.5546875,17.1,46.42012643814087,"tf.Tensor(0.90499604, shape=(), dtype=float32)","tf.Tensor(0.9119338, shape=(), dtype=float32)"
1,520.78515625,22.2,48.52012848854065,"tf.Tensor(0.8963773, shape=(), dtype=float32)","tf.Tensor(0.90532154, shape=(), dtype=float32)"
2,546.89453125,23.6,48.15170478820801,"tf.Tensor(0.89481056, shape=(), dtype=float32)","tf.Tensor(0.9039911, shape=(), dtype=float32)"
3,571.125,23.3,44.24067807197571,"tf.Tensor(0.8942868, shape=(), dtype=float32)","tf.Tensor(0.90369344, shape=(), dtype=float32)"
4,595.37890625,24.6,44.7512629032135,"tf.Tensor(0.89450485, shape=(), dtype=float32)","tf.Tensor(0.9036662, shape=(), dtype=float32)"
5,620.4140625,26.7,44.181195974349976,"tf.Tensor(0.89532924, shape=(), dtype=float32)","tf.Tensor(0.9047634, shape=(), dtype=float32)"
6,644.66796875,23.1,44.1470410823822,"tf.Tensor(0.89561653, shape=(), dtype=float32)","tf.Tensor(0.9047656, shape=(), dtype=float32)"
7,665.515625,25.2,45.179213762283325,"tf.Tensor(0.89321584, shape=(), dtype=float32)","tf.Tensor(0.9032501, shape=(), dtype=float32)"
8,689.76953125,29.2,44.31348943710327,"tf.Tensor(0.87309265, shape=(), dtype=float32)","tf.Tensor(0.88921356, shape=(), dtype=float32)"
9,714.00390625,24.3,44.30520796775818,"tf.Tensor(0.86597997, shape=(), dtype=float32)","tf.Tensor(0.88513595, shape=(), dtype=float32)"
10,738.25390625,24.8,43.619343519210815,"tf.Tensor(0.86385196, shape=(), dtype=float32)","tf.Tensor(0.88457286, shape=(), dtype=float32)"
11,763.49609375,22.4,44.21735715866089,"tf.Tensor(0.8576695, shape=(), dtype=float32)","tf.Tensor(0.88114023, shape=(), dtype=float32)"
12,787.80859375,24.3,43.834752321243286,"tf.Tensor(0.8472589, shape=(), dtype=float32)","tf.Tensor(0.87601715, shape=(), dtype=float32)"
13,812.08984375,22.7,43.999799966812134,"tf.Tensor(0.8287273, shape=(), dtype=float32)","tf.Tensor(0.86769855, shape=(), dtype=float32)"
14,837.12890625,24.2,43.748987436294556,"tf.Tensor(0.812416, shape=(), dtype=float32)","tf.Tensor(0.86402273, shape=(), dtype=float32)"
15,861.34375,23.0,43.628904581069946,"tf.Tensor(0.8032432, shape=(), dtype=float32)","tf.Tensor(0.8627214, shape=(), dtype=float32)"
16,885.58984375,23.9,43.95710802078247,"tf.Tensor(0.79177415, shape=(), dtype=float32)","tf.Tensor(0.8626794, shape=(), dtype=float32)"
17,909.7890625,23.9,43.57413959503174,"tf.Tensor(0.78090024, shape=(), dtype=float32)","tf.Tensor(0.86353624, shape=(), dtype=float32)"
18,934.0390625,23.6,43.466288566589355,"tf.Tensor(0.772699, shape=(), dtype=float32)","tf.Tensor(0.86588377, shape=(), dtype=float32)"
19,958.28515625,22.3,43.53200697898865,"tf.Tensor(0.76903766, shape=(), dtype=float32)","tf.Tensor(0.8669358, shape=(), dtype=float32)"
20,982.53515625,22.5,43.45146822929382,"tf.Tensor(0.76424044, shape=(), dtype=float32)","tf.Tensor(0.86994135, shape=(), dtype=float32)"
21,1007.640625,22.1,43.64873671531677,"tf.Tensor(0.7566908, shape=(), dtype=float32)","tf.Tensor(0.87045765, shape=(), dtype=float32)"
22,1031.88671875,23.4,43.63546323776245,"tf.Tensor(0.75433177, shape=(), dtype=float32)","tf.Tensor(0.87145466, shape=(), dtype=float32)"
23,1056.98828125,22.7,43.78179574012756,"tf.Tensor(0.7499728, shape=(), dtype=float32)","tf.Tensor(0.872023, shape=(), dtype=float32)"
24,1081.19921875,21.7,53.51825523376465,"tf.Tensor(0.7430582, shape=(), dtype=float32)","tf.Tensor(0.87260216, shape=(), dtype=float32)"
