epoch,train_rmse,valid_rmse,recall@5,recall@10,recall@20,recall@50,ndcg@5,ndcg@10,ndcg@20,ndcg@50
0,"tf.Tensor(0.9066359, shape=(), dtype=float32)","tf.Tensor(0.9138627, shape=(), dtype=float32)",0.03347252254602989,0.04699571279115892,0.06384051883195571,0.11425142639914684,0.04490960589157755,0.0443946557201414,0.04828079841453109,0.06198368616210595
1,"tf.Tensor(0.8966282, shape=(), dtype=float32)","tf.Tensor(0.90561324, shape=(), dtype=float32)",0.020932382377601595,0.05144705381117646,0.0779684165087458,0.10275912892196272,0.03486727819807142,0.04573967352068548,0.0531040093793685,0.05960672123525806
2,"tf.Tensor(0.8949553, shape=(), dtype=float32)","tf.Tensor(0.904168, shape=(), dtype=float32)",0.022766176689387626,0.038803589721574175,0.07763761266193195,0.12441754000019202,0.035937663155595496,0.03849728369305588,0.04903293481770432,0.06074174730257467
3,"tf.Tensor(0.8947938, shape=(), dtype=float32)","tf.Tensor(0.90387344, shape=(), dtype=float32)",0.02048215235555389,0.03239849688059407,0.04622066268485706,0.09017003730650057,0.024023894430162004,0.026813096902814523,0.031639883882677,0.04508538860122642
4,"tf.Tensor(0.89413565, shape=(), dtype=float32)","tf.Tensor(0.90349996, shape=(), dtype=float32)",0.03882478615650234,0.06188520399902429,0.07980804946727207,0.131235723782821,0.03722292006955242,0.04595165652319331,0.05171347735665216,0.06571718520071422
5,"tf.Tensor(0.8941278, shape=(), dtype=float32)","tf.Tensor(0.9032678, shape=(), dtype=float32)",0.01207517254755579,0.026316560592135323,0.05857177969456117,0.09006576177356727,0.026508988851313073,0.02681573167626799,0.03561434747283315,0.04620565919600434
6,"tf.Tensor(0.8939508, shape=(), dtype=float32)","tf.Tensor(0.9030952, shape=(), dtype=float32)",0.01854096616457445,0.03522367686834408,0.0484148406160799,0.09085112488653002,0.03615410257228365,0.039685359697349175,0.04065622237914355,0.05283123668009441
7,"tf.Tensor(0.8941068, shape=(), dtype=float32)","tf.Tensor(0.90374136, shape=(), dtype=float32)",0.015731992224245317,0.029143844412186436,0.04783685919972704,0.11559896322815198,0.030759430979756083,0.0327684018341544,0.03586493335842123,0.056457478439361664
8,"tf.Tensor(0.89434254, shape=(), dtype=float32)","tf.Tensor(0.9037199, shape=(), dtype=float32)",0.016512340756038232,0.026111941422120893,0.05536419480480905,0.0888978943629738,0.03319666796010939,0.030812466302197,0.03754898806896209,0.046366194081069165
9,"tf.Tensor(0.8940028, shape=(), dtype=float32)","tf.Tensor(0.9036676, shape=(), dtype=float32)",0.011789740050609619,0.022941577551772455,0.03899642891397015,0.08343918665320464,0.014242243607380255,0.02344946361952104,0.028155567788289305,0.04177612608991799
10,"tf.Tensor(0.89450765, shape=(), dtype=float32)","tf.Tensor(0.9044926, shape=(), dtype=float32)",0.02542605262302232,0.030660290887563613,0.06509427721548934,0.10085622273679315,0.038995147119080045,0.03478415373417753,0.04309267734719654,0.053247383727020065
11,"tf.Tensor(0.8949068, shape=(), dtype=float32)","tf.Tensor(0.90462494, shape=(), dtype=float32)",0.017466058433800367,0.02891207436789485,0.05710787796692424,0.11528561200370457,0.020933451298340768,0.024990407676118903,0.03546681559280215,0.05089755151823884
12,"tf.Tensor(0.8948068, shape=(), dtype=float32)","tf.Tensor(0.9042283, shape=(), dtype=float32)",0.03217068097387246,0.04299894845107611,0.07488544257161277,0.12862698217047402,0.031156608235025248,0.03394586956806362,0.04517567863526683,0.06067414735871034
13,"tf.Tensor(0.893929, shape=(), dtype=float32)","tf.Tensor(0.9034182, shape=(), dtype=float32)",0.015261308739569608,0.02581480755737699,0.05499438588531928,0.09874873498348677,0.022948500607194333,0.027516365566145604,0.034390859043538606,0.047601664128685814
14,"tf.Tensor(0.87603825, shape=(), dtype=float32)","tf.Tensor(0.8910464, shape=(), dtype=float32)",0.03806172126484626,0.04832131121193622,0.056869290021017004,0.08259698078732332,0.04891323492835956,0.04662255969976175,0.0454342017052666,0.05360716120064355
15,"tf.Tensor(0.8670094, shape=(), dtype=float32)","tf.Tensor(0.8852831, shape=(), dtype=float32)",0.021781250902611272,0.04357399032692965,0.06410831585218076,0.11302998989635933,0.046187807141155016,0.04937449547940275,0.05502948787132737,0.06954635298027528
16,"tf.Tensor(0.86138976, shape=(), dtype=float32)","tf.Tensor(0.8823056, shape=(), dtype=float32)",0.03244668151365838,0.07096115405234221,0.0917508574489405,0.14767003252187855,0.044942811019344074,0.05505597061191493,0.06065258651232519,0.0751589003370302
17,"tf.Tensor(0.83905065, shape=(), dtype=float32)","tf.Tensor(0.8700104, shape=(), dtype=float32)",0.026837976837976837,0.0346610890956789,0.05672761034919201,0.10780062646285855,0.03241630605119681,0.03418547835310864,0.04198294393828079,0.05813558607515669
18,"tf.Tensor(0.8240504, shape=(), dtype=float32)","tf.Tensor(0.86544037, shape=(), dtype=float32)",0.033518844491384536,0.0623315536260751,0.10462376571395282,0.1803809755551578,0.03756673107134384,0.04682313458124581,0.06184458485614154,0.08477863064409182
19,"tf.Tensor(0.8167235, shape=(), dtype=float32)","tf.Tensor(0.86424994, shape=(), dtype=float32)",0.03194129126807949,0.04828138093625728,0.07400428107249166,0.11802303914514428,0.04662362725289524,0.04726807271798522,0.056859178040707996,0.06866530799210921
20,"tf.Tensor(0.8059104, shape=(), dtype=float32)","tf.Tensor(0.8640855, shape=(), dtype=float32)",0.03281854368541675,0.06014188676533877,0.07775677516955908,0.15562325189347748,0.050031131563953134,0.05483514875538034,0.05755628650488245,0.08114613007237668
21,"tf.Tensor(0.7896378, shape=(), dtype=float32)","tf.Tensor(0.8627367, shape=(), dtype=float32)",0.02917274548708372,0.06151544618915942,0.07712518838123521,0.12590023612832243,0.047702113749086374,0.05560005175591883,0.06019093184861286,0.0757425844879856
22,"tf.Tensor(0.7823519, shape=(), dtype=float32)","tf.Tensor(0.86446244, shape=(), dtype=float32)",0.030834490023030722,0.04397091187787013,0.0870499124040945,0.16203089437669785,0.04585325343327081,0.05006154797926477,0.06484591072474709,0.08630739665791765
23,"tf.Tensor(0.7732354, shape=(), dtype=float32)","tf.Tensor(0.86418176, shape=(), dtype=float32)",0.02094144887790967,0.03238004179771004,0.08601941694308077,0.1336335055147327,0.04326356723434518,0.042698273771393395,0.05808278666665293,0.07135894776397375
