epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,3.3808197562431395e-06,3.3808197562431395e-06,"tf.Tensor(8.667707, shape=(), dtype=float32)","tf.Tensor(8.703333, shape=(), dtype=float32)"
1,3.2112859742727863e-06,6.592105730515926e-06,"tf.Tensor(5.7610903, shape=(), dtype=float32)","tf.Tensor(5.798527, shape=(), dtype=float32)"
2,4.236707499875732e-06,1.0828813230391658e-05,"tf.Tensor(3.974102, shape=(), dtype=float32)","tf.Tensor(4.012217, shape=(), dtype=float32)"
3,3.5002715754866375e-06,1.4329084805878296e-05,"tf.Tensor(3.0336733, shape=(), dtype=float32)","tf.Tensor(3.0702498, shape=(), dtype=float32)"
4,4.00299598062329e-06,1.8332080786501586e-05,"tf.Tensor(2.4760973, shape=(), dtype=float32)","tf.Tensor(2.5114186, shape=(), dtype=float32)"
5,5.513076035869317e-06,2.3845156822370905e-05,"tf.Tensor(2.1179364, shape=(), dtype=float32)","tf.Tensor(2.1463525, shape=(), dtype=float32)"
6,5.9736316065402405e-06,2.9818788428911146e-05,"tf.Tensor(1.906105, shape=(), dtype=float32)","tf.Tensor(1.9317684, shape=(), dtype=float32)"
7,6.011241522577857e-06,3.5830029951489e-05,"tf.Tensor(1.7516882, shape=(), dtype=float32)","tf.Tensor(1.7826557, shape=(), dtype=float32)"
8,1.0748325741540287e-07,3.593751320890441e-05,"tf.Tensor(1.6504939, shape=(), dtype=float32)","tf.Tensor(1.687071, shape=(), dtype=float32)"
9,7.365746754132016e-06,4.3303259963036424e-05,"tf.Tensor(1.5833191, shape=(), dtype=float32)","tf.Tensor(1.6217802, shape=(), dtype=float32)"
10,1.8337829759732882e-05,6.164108972276931e-05,"tf.Tensor(1.5340376, shape=(), dtype=float32)","tf.Tensor(1.5776237, shape=(), dtype=float32)"
11,9.597639980423287e-06,7.123872970319259e-05,"tf.Tensor(1.4926319, shape=(), dtype=float32)","tf.Tensor(1.5413582, shape=(), dtype=float32)"
12,6.332602526749136e-06,7.757133222994172e-05,"tf.Tensor(1.4547869, shape=(), dtype=float32)","tf.Tensor(1.5117512, shape=(), dtype=float32)"
13,6.359769833543556e-06,8.393110206348527e-05,"tf.Tensor(1.425087, shape=(), dtype=float32)","tf.Tensor(1.4909284, shape=(), dtype=float32)"
14,8.558055151344415e-08,8.401668261499872e-05,"tf.Tensor(1.3985393, shape=(), dtype=float32)","tf.Tensor(1.4756372, shape=(), dtype=float32)"
15,7.034645381251391e-06,9.105132799625011e-05,"tf.Tensor(1.3745184, shape=(), dtype=float32)","tf.Tensor(1.4631298, shape=(), dtype=float32)"
16,5.786467353486691e-06,9.68377953497368e-05,"tf.Tensor(1.351761, shape=(), dtype=float32)","tf.Tensor(1.4541194, shape=(), dtype=float32)"
17,6.386624134677598e-06,0.0001032244194844144,"tf.Tensor(1.3308749, shape=(), dtype=float32)","tf.Tensor(1.4470656, shape=(), dtype=float32)"
18,5.974247444565726e-06,0.00010919866692898012,"tf.Tensor(1.309868, shape=(), dtype=float32)","tf.Tensor(1.43919, shape=(), dtype=float32)"
19,6.323756139288018e-06,0.00011552242306826814,"tf.Tensor(1.2892671, shape=(), dtype=float32)","tf.Tensor(1.4291388, shape=(), dtype=float32)"
20,5.33380083747702e-06,0.00012085622390574516,"tf.Tensor(1.2680295, shape=(), dtype=float32)","tf.Tensor(1.4221971, shape=(), dtype=float32)"
21,3.0716183564800267e-06,0.00012392784226222518,"tf.Tensor(1.2469265, shape=(), dtype=float32)","tf.Tensor(1.4170483, shape=(), dtype=float32)"
22,3.7103012092098684e-06,0.00012763814347143505,"tf.Tensor(1.2254887, shape=(), dtype=float32)","tf.Tensor(1.4103503, shape=(), dtype=float32)"
23,3.4131489368968042e-06,0.00013105129240833184,"tf.Tensor(1.2038525, shape=(), dtype=float32)","tf.Tensor(1.4041362, shape=(), dtype=float32)"
24,2.8032918255754062e-06,0.00013385458423390725,"tf.Tensor(1.1812903, shape=(), dtype=float32)","tf.Tensor(1.4001422, shape=(), dtype=float32)"
25,2.544551439768266e-06,0.00013639913567367552,"tf.Tensor(1.1582093, shape=(), dtype=float32)","tf.Tensor(1.3957661, shape=(), dtype=float32)"
26,2.678587806657355e-06,0.00013907772348033286,"tf.Tensor(1.1346716, shape=(), dtype=float32)","tf.Tensor(1.3921119, shape=(), dtype=float32)"
27,2.601312089692168e-06,0.00014167903557002503,"tf.Tensor(1.1103029, shape=(), dtype=float32)","tf.Tensor(1.3865588, shape=(), dtype=float32)"
28,2.6951457626169958e-06,0.00014437418133264203,"tf.Tensor(1.0850979, shape=(), dtype=float32)","tf.Tensor(1.383697, shape=(), dtype=float32)"
29,2.706094099543615e-06,0.00014708027543218564,"tf.Tensor(1.0595479, shape=(), dtype=float32)","tf.Tensor(1.3795544, shape=(), dtype=float32)"
30,2.731579627372116e-06,0.00014981185505955776,"tf.Tensor(1.0338897, shape=(), dtype=float32)","tf.Tensor(1.3789284, shape=(), dtype=float32)"
31,2.614414439763241e-06,0.000152426269499321,"tf.Tensor(1.0085157, shape=(), dtype=float32)","tf.Tensor(1.3766382, shape=(), dtype=float32)"
32,2.63680942305236e-06,0.00015506307892237335,"tf.Tensor(0.98325205, shape=(), dtype=float32)","tf.Tensor(1.3754327, shape=(), dtype=float32)"
33,2.534849558433111e-06,0.00015759792848080647,"tf.Tensor(0.9587609, shape=(), dtype=float32)","tf.Tensor(1.3757623, shape=(), dtype=float32)"
34,2.7128825115769866e-06,0.00016031081099238345,"tf.Tensor(0.9353569, shape=(), dtype=float32)","tf.Tensor(1.3768083, shape=(), dtype=float32)"
35,2.6148468151029853e-06,0.00016292565780748645,"tf.Tensor(0.9127237, shape=(), dtype=float32)","tf.Tensor(1.3772479, shape=(), dtype=float32)"
36,2.4609377884724605e-06,0.0001653865955959589,"tf.Tensor(0.89103556, shape=(), dtype=float32)","tf.Tensor(1.3798455, shape=(), dtype=float32)"
37,2.632974771255757e-06,0.00016801957036721466,"tf.Tensor(0.8701939, shape=(), dtype=float32)","tf.Tensor(1.3830078, shape=(), dtype=float32)"
38,2.8901755407761165e-06,0.00017090974590799077,"tf.Tensor(0.85056394, shape=(), dtype=float32)","tf.Tensor(1.3844576, shape=(), dtype=float32)"
39,2.708695212128167e-06,0.00017361844112011892,"tf.Tensor(0.8312601, shape=(), dtype=float32)","tf.Tensor(1.3868192, shape=(), dtype=float32)"
40,2.5089869086275735e-06,0.0001761274280287465,"tf.Tensor(0.81336683, shape=(), dtype=float32)","tf.Tensor(1.392179, shape=(), dtype=float32)"
41,2.8116689087770545e-06,0.00017893909693752355,"tf.Tensor(0.795714, shape=(), dtype=float32)","tf.Tensor(1.3964506, shape=(), dtype=float32)"
42,2.6374702506982186e-06,0.00018157656718822176,"tf.Tensor(0.7787103, shape=(), dtype=float32)","tf.Tensor(1.400222, shape=(), dtype=float32)"
43,2.598167845815252e-06,0.000184174735034037,"tf.Tensor(0.76233804, shape=(), dtype=float32)","tf.Tensor(1.4013448, shape=(), dtype=float32)"
44,2.717056031719855e-06,0.00018689179106575686,"tf.Tensor(0.7468991, shape=(), dtype=float32)","tf.Tensor(1.4073803, shape=(), dtype=float32)"
