epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
0,2.762230646860671e-06,2.762230646860671e-06,"tf.Tensor(8.36839, shape=(), dtype=float32)","tf.Tensor(8.001199, shape=(), dtype=float32)","tf.Tensor(8.404436, shape=(), dtype=float32)","tf.Tensor(8.031426, shape=(), dtype=float32)"
1,2.762465948608162e-06,5.524696595468833e-06,"tf.Tensor(5.637304, shape=(), dtype=float32)","tf.Tensor(5.2458735, shape=(), dtype=float32)","tf.Tensor(5.6750712, shape=(), dtype=float32)","tf.Tensor(5.277765, shape=(), dtype=float32)"
2,2.556444086880865e-06,8.081140682349697e-06,"tf.Tensor(3.93546, shape=(), dtype=float32)","tf.Tensor(3.5532558, shape=(), dtype=float32)","tf.Tensor(3.9735806, shape=(), dtype=float32)","tf.Tensor(3.5916538, shape=(), dtype=float32)"
3,2.7849327740182573e-06,1.0866073456367954e-05,"tf.Tensor(2.9852502, shape=(), dtype=float32)","tf.Tensor(2.578489, shape=(), dtype=float32)","tf.Tensor(3.0210485, shape=(), dtype=float32)","tf.Tensor(2.6153228, shape=(), dtype=float32)"
4,2.7310145421877874e-06,1.359708799855574e-05,"tf.Tensor(2.4056382, shape=(), dtype=float32)","tf.Tensor(1.9933541, shape=(), dtype=float32)","tf.Tensor(2.439277, shape=(), dtype=float32)","tf.Tensor(2.0229652, shape=(), dtype=float32)"
5,2.7379349212716295e-06,1.633502291982737e-05,"tf.Tensor(2.069643, shape=(), dtype=float32)","tf.Tensor(1.6696099, shape=(), dtype=float32)","tf.Tensor(2.097433, shape=(), dtype=float32)","tf.Tensor(1.6941231, shape=(), dtype=float32)"
6,2.6581074284744637e-06,1.8993130348301833e-05,"tf.Tensor(1.8700563, shape=(), dtype=float32)","tf.Tensor(1.4762313, shape=(), dtype=float32)","tf.Tensor(1.8950284, shape=(), dtype=float32)","tf.Tensor(1.5009203, shape=(), dtype=float32)"
7,2.7190673049863897e-06,2.1712197653288222e-05,"tf.Tensor(1.7242151, shape=(), dtype=float32)","tf.Tensor(1.3350587, shape=(), dtype=float32)","tf.Tensor(1.7547129, shape=(), dtype=float32)","tf.Tensor(1.3625709, shape=(), dtype=float32)"
8,2.9977575610666505e-06,2.4709955214354873e-05,"tf.Tensor(1.6339457, shape=(), dtype=float32)","tf.Tensor(1.2397041, shape=(), dtype=float32)","tf.Tensor(1.6694254, shape=(), dtype=float32)","tf.Tensor(1.2675544, shape=(), dtype=float32)"
9,3.0804305950943077e-06,2.779038580944918e-05,"tf.Tensor(1.5683945, shape=(), dtype=float32)","tf.Tensor(1.1695386, shape=(), dtype=float32)","tf.Tensor(1.608325, shape=(), dtype=float32)","tf.Tensor(1.2007015, shape=(), dtype=float32)"
