epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,343.49609375,13.1,10.952993392944336,"tf.Tensor(8.667707, shape=(), dtype=float32)","tf.Tensor(8.703333, shape=(), dtype=float32)"
1,365.609375,16.6,10.671876430511475,"tf.Tensor(5.7610903, shape=(), dtype=float32)","tf.Tensor(5.798527, shape=(), dtype=float32)"
2,368.59765625,16.4,12.160201072692871,"tf.Tensor(3.974102, shape=(), dtype=float32)","tf.Tensor(4.012217, shape=(), dtype=float32)"
3,371.30859375,17.7,10.9589262008667,"tf.Tensor(3.0336733, shape=(), dtype=float32)","tf.Tensor(3.0702498, shape=(), dtype=float32)"
4,374.81640625,14.9,11.838282823562622,"tf.Tensor(2.4760973, shape=(), dtype=float32)","tf.Tensor(2.5114186, shape=(), dtype=float32)"
5,377.45703125,15.8,14.903287410736084,"tf.Tensor(2.1179364, shape=(), dtype=float32)","tf.Tensor(2.1463525, shape=(), dtype=float32)"
6,380.94140625,32.1,15.693387508392334,"tf.Tensor(1.906105, shape=(), dtype=float32)","tf.Tensor(1.9317684, shape=(), dtype=float32)"
7,383.5703125,26.8,15.93546438217163,"tf.Tensor(1.7516882, shape=(), dtype=float32)","tf.Tensor(1.7826557, shape=(), dtype=float32)"
8,386.19921875,26.9,19.768603801727295,"tf.Tensor(1.6504939, shape=(), dtype=float32)","tf.Tensor(1.687071, shape=(), dtype=float32)"
9,388.73828125,49.9,17.793472051620483,"tf.Tensor(1.5833191, shape=(), dtype=float32)","tf.Tensor(1.6217802, shape=(), dtype=float32)"
10,391.4296875,52.4,35.510339975357056,"tf.Tensor(1.5340376, shape=(), dtype=float32)","tf.Tensor(1.5776237, shape=(), dtype=float32)"
11,394.05859375,94.5,23.4917733669281,"tf.Tensor(1.4926319, shape=(), dtype=float32)","tf.Tensor(1.5413582, shape=(), dtype=float32)"
12,396.67578125,75.8,17.766420125961304,"tf.Tensor(1.4547869, shape=(), dtype=float32)","tf.Tensor(1.5117512, shape=(), dtype=float32)"
13,400.15234375,51.7,16.724014282226562,"tf.Tensor(1.425087, shape=(), dtype=float32)","tf.Tensor(1.4909284, shape=(), dtype=float32)"
14,402.84375,39.4,17.297401189804077,"tf.Tensor(1.3985393, shape=(), dtype=float32)","tf.Tensor(1.4756372, shape=(), dtype=float32)"
15,405.40625,29.0,17.498703002929688,"tf.Tensor(1.3745184, shape=(), dtype=float32)","tf.Tensor(1.4631298, shape=(), dtype=float32)"
16,408.09375,51.5,15.761929273605347,"tf.Tensor(1.351761, shape=(), dtype=float32)","tf.Tensor(1.4541194, shape=(), dtype=float32)"
17,410.74609375,29.6,16.13918447494507,"tf.Tensor(1.3308749, shape=(), dtype=float32)","tf.Tensor(1.4470656, shape=(), dtype=float32)"
18,413.4140625,28.9,15.524750471115112,"tf.Tensor(1.309868, shape=(), dtype=float32)","tf.Tensor(1.43919, shape=(), dtype=float32)"
19,416.01171875,24.2,15.917517185211182,"tf.Tensor(1.2892671, shape=(), dtype=float32)","tf.Tensor(1.4291388, shape=(), dtype=float32)"
20,418.66015625,35.0,14.17516279220581,"tf.Tensor(1.2680295, shape=(), dtype=float32)","tf.Tensor(1.4221971, shape=(), dtype=float32)"
21,421.27734375,20.5,9.969998121261597,"tf.Tensor(1.2469265, shape=(), dtype=float32)","tf.Tensor(1.4170483, shape=(), dtype=float32)"
22,423.91015625,47.9,11.275032997131348,"tf.Tensor(1.2254887, shape=(), dtype=float32)","tf.Tensor(1.4103503, shape=(), dtype=float32)"
23,426.47265625,45.8,10.402369976043701,"tf.Tensor(1.2038525, shape=(), dtype=float32)","tf.Tensor(1.4041362, shape=(), dtype=float32)"
24,430.08203125,48.2,9.442772388458252,"tf.Tensor(1.1812903, shape=(), dtype=float32)","tf.Tensor(1.4001422, shape=(), dtype=float32)"
25,432.70703125,31.4,9.063132047653198,"tf.Tensor(1.1582093, shape=(), dtype=float32)","tf.Tensor(1.3957661, shape=(), dtype=float32)"
26,435.33203125,22.3,9.144660472869873,"tf.Tensor(1.1346716, shape=(), dtype=float32)","tf.Tensor(1.3921119, shape=(), dtype=float32)"
27,437.95703125,21.6,9.08458948135376,"tf.Tensor(1.1103029, shape=(), dtype=float32)","tf.Tensor(1.3865588, shape=(), dtype=float32)"
28,440.58203125,21.6,9.22033429145813,"tf.Tensor(1.0850979, shape=(), dtype=float32)","tf.Tensor(1.383697, shape=(), dtype=float32)"
29,443.20703125,23.7,9.178409099578857,"tf.Tensor(1.0595479, shape=(), dtype=float32)","tf.Tensor(1.3795544, shape=(), dtype=float32)"
30,445.83203125,19.1,9.262663125991821,"tf.Tensor(1.0338897, shape=(), dtype=float32)","tf.Tensor(1.3789284, shape=(), dtype=float32)"
31,448.45703125,22.5,9.015078783035278,"tf.Tensor(1.0085157, shape=(), dtype=float32)","tf.Tensor(1.3766382, shape=(), dtype=float32)"
32,451.0625,19.2,9.067363739013672,"tf.Tensor(0.98325205, shape=(), dtype=float32)","tf.Tensor(1.3754327, shape=(), dtype=float32)"
33,453.69140625,22.2,8.894932270050049,"tf.Tensor(0.9587609, shape=(), dtype=float32)","tf.Tensor(1.3757623, shape=(), dtype=float32)"
34,456.31640625,16.7,9.2141273021698,"tf.Tensor(0.9353569, shape=(), dtype=float32)","tf.Tensor(1.3768083, shape=(), dtype=float32)"
35,458.9453125,20.3,9.071245431900024,"tf.Tensor(0.9127237, shape=(), dtype=float32)","tf.Tensor(1.3772479, shape=(), dtype=float32)"
36,461.5703125,24.5,8.891624212265015,"tf.Tensor(0.89103556, shape=(), dtype=float32)","tf.Tensor(1.3798455, shape=(), dtype=float32)"
37,464.1953125,19.6,9.07455849647522,"tf.Tensor(0.8701939, shape=(), dtype=float32)","tf.Tensor(1.3830078, shape=(), dtype=float32)"
38,466.81640625,19.2,9.478273868560791,"tf.Tensor(0.85056394, shape=(), dtype=float32)","tf.Tensor(1.3844576, shape=(), dtype=float32)"
39,469.4375,24.2,9.193939447402954,"tf.Tensor(0.8312601, shape=(), dtype=float32)","tf.Tensor(1.3868192, shape=(), dtype=float32)"
40,472.0625,22.8,8.814315795898438,"tf.Tensor(0.81336683, shape=(), dtype=float32)","tf.Tensor(1.392179, shape=(), dtype=float32)"
41,474.6875,19.5,9.346948146820068,"tf.Tensor(0.795714, shape=(), dtype=float32)","tf.Tensor(1.3964506, shape=(), dtype=float32)"
42,477.3125,21.6,9.073033094406128,"tf.Tensor(0.7787103, shape=(), dtype=float32)","tf.Tensor(1.400222, shape=(), dtype=float32)"
43,480.7890625,20.9,9.012824296951294,"tf.Tensor(0.76233804, shape=(), dtype=float32)","tf.Tensor(1.4013448, shape=(), dtype=float32)"
44,483.4140625,20.2,9.32288122177124,"tf.Tensor(0.7468991, shape=(), dtype=float32)","tf.Tensor(1.4073803, shape=(), dtype=float32)"
45,486.0390625,22.5,9.233684062957764,"tf.Tensor(0.7318833, shape=(), dtype=float32)","tf.Tensor(1.411869, shape=(), dtype=float32)"
46,488.6796875,21.0,9.804588794708252,"tf.Tensor(0.7181028, shape=(), dtype=float32)","tf.Tensor(1.4147255, shape=(), dtype=float32)"
47,491.32421875,32.3,9.731939792633057,"tf.Tensor(0.703915, shape=(), dtype=float32)","tf.Tensor(1.4207637, shape=(), dtype=float32)"
