epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,344.90234375,17.6,9.226526737213135,"tf.Tensor(8.36839, shape=(), dtype=float32)","tf.Tensor(8.001199, shape=(), dtype=float32)","tf.Tensor(8.404436, shape=(), dtype=float32)","tf.Tensor(8.031426, shape=(), dtype=float32)"
1,366.92578125,21.4,9.25172734260559,"tf.Tensor(5.637304, shape=(), dtype=float32)","tf.Tensor(5.2458735, shape=(), dtype=float32)","tf.Tensor(5.6750712, shape=(), dtype=float32)","tf.Tensor(5.277765, shape=(), dtype=float32)"
2,371.20703125,20.6,8.918742179870605,"tf.Tensor(3.93546, shape=(), dtype=float32)","tf.Tensor(3.5532558, shape=(), dtype=float32)","tf.Tensor(3.9735806, shape=(), dtype=float32)","tf.Tensor(3.5916538, shape=(), dtype=float32)"
3,371.96484375,18.2,9.301715850830078,"tf.Tensor(2.9852502, shape=(), dtype=float32)","tf.Tensor(2.578489, shape=(), dtype=float32)","tf.Tensor(3.0210485, shape=(), dtype=float32)","tf.Tensor(2.6153228, shape=(), dtype=float32)"
4,376.6953125,20.8,9.245983600616455,"tf.Tensor(2.4056382, shape=(), dtype=float32)","tf.Tensor(1.9933541, shape=(), dtype=float32)","tf.Tensor(2.439277, shape=(), dtype=float32)","tf.Tensor(2.0229652, shape=(), dtype=float32)"
5,379.328125,20.3,9.289713144302368,"tf.Tensor(2.069643, shape=(), dtype=float32)","tf.Tensor(1.6696099, shape=(), dtype=float32)","tf.Tensor(2.097433, shape=(), dtype=float32)","tf.Tensor(1.6941231, shape=(), dtype=float32)"
6,381.95703125,24.1,9.088545560836792,"tf.Tensor(1.8700563, shape=(), dtype=float32)","tf.Tensor(1.4762313, shape=(), dtype=float32)","tf.Tensor(1.8950284, shape=(), dtype=float32)","tf.Tensor(1.5009203, shape=(), dtype=float32)"
7,384.5546875,26.2,9.18233585357666,"tf.Tensor(1.7242151, shape=(), dtype=float32)","tf.Tensor(1.3350587, shape=(), dtype=float32)","tf.Tensor(1.7547129, shape=(), dtype=float32)","tf.Tensor(1.3625709, shape=(), dtype=float32)"
8,387.21484375,18.0,9.673736572265625,"tf.Tensor(1.6339457, shape=(), dtype=float32)","tf.Tensor(1.2397041, shape=(), dtype=float32)","tf.Tensor(1.6694254, shape=(), dtype=float32)","tf.Tensor(1.2675544, shape=(), dtype=float32)"
9,389.8203125,28.8,9.806177616119385,"tf.Tensor(1.5683945, shape=(), dtype=float32)","tf.Tensor(1.1695386, shape=(), dtype=float32)","tf.Tensor(1.608325, shape=(), dtype=float32)","tf.Tensor(1.2007015, shape=(), dtype=float32)"
10,392.45703125,33.3,9.711651086807251,"tf.Tensor(1.5165869, shape=(), dtype=float32)","tf.Tensor(1.1166421, shape=(), dtype=float32)","tf.Tensor(1.5632179, shape=(), dtype=float32)","tf.Tensor(1.1485883, shape=(), dtype=float32)"
11,395.078125,30.4,9.43032169342041,"tf.Tensor(1.4679519, shape=(), dtype=float32)","tf.Tensor(1.0701979, shape=(), dtype=float32)","tf.Tensor(1.5248555, shape=(), dtype=float32)","tf.Tensor(1.1071588, shape=(), dtype=float32)"
12,397.76171875,28.2,9.263838768005371,"tf.Tensor(1.4281133, shape=(), dtype=float32)","tf.Tensor(1.0322127, shape=(), dtype=float32)","tf.Tensor(1.493407, shape=(), dtype=float32)","tf.Tensor(1.0733893, shape=(), dtype=float32)"
13,400.453125,22.6,9.633516073226929,"tf.Tensor(1.3952092, shape=(), dtype=float32)","tf.Tensor(1.0004786, shape=(), dtype=float32)","tf.Tensor(1.4725634, shape=(), dtype=float32)","tf.Tensor(1.0488969, shape=(), dtype=float32)"
14,403.0625,28.7,9.207196712493896,"tf.Tensor(1.3672895, shape=(), dtype=float32)","tf.Tensor(0.9741725, shape=(), dtype=float32)","tf.Tensor(1.4567127, shape=(), dtype=float32)","tf.Tensor(1.0290387, shape=(), dtype=float32)"
15,405.6875,22.4,9.210155725479126,"tf.Tensor(1.3415664, shape=(), dtype=float32)","tf.Tensor(0.9512586, shape=(), dtype=float32)","tf.Tensor(1.4450243, shape=(), dtype=float32)","tf.Tensor(1.0153574, shape=(), dtype=float32)"
16,408.3203125,20.4,9.177425146102905,"tf.Tensor(1.317918, shape=(), dtype=float32)","tf.Tensor(0.9315895, shape=(), dtype=float32)","tf.Tensor(1.4354687, shape=(), dtype=float32)","tf.Tensor(1.0052602, shape=(), dtype=float32)"
17,411.796875,25.8,9.556782484054565,"tf.Tensor(1.295466, shape=(), dtype=float32)","tf.Tensor(0.9125981, shape=(), dtype=float32)","tf.Tensor(1.4268405, shape=(), dtype=float32)","tf.Tensor(0.99624187, shape=(), dtype=float32)"
18,414.46484375,24.8,9.284127473831177,"tf.Tensor(1.2734731, shape=(), dtype=float32)","tf.Tensor(0.89608145, shape=(), dtype=float32)","tf.Tensor(1.4198669, shape=(), dtype=float32)","tf.Tensor(0.99025285, shape=(), dtype=float32)"
19,417.07421875,21.7,9.565463304519653,"tf.Tensor(1.2514838, shape=(), dtype=float32)","tf.Tensor(0.87908745, shape=(), dtype=float32)","tf.Tensor(1.4130476, shape=(), dtype=float32)","tf.Tensor(0.98279756, shape=(), dtype=float32)"
20,419.71484375,26.6,9.162842273712158,"tf.Tensor(1.2301573, shape=(), dtype=float32)","tf.Tensor(0.8632862, shape=(), dtype=float32)","tf.Tensor(1.4069504, shape=(), dtype=float32)","tf.Tensor(0.97700644, shape=(), dtype=float32)"
21,422.38671875,20.3,9.547130823135376,"tf.Tensor(1.2090833, shape=(), dtype=float32)","tf.Tensor(0.84730196, shape=(), dtype=float32)","tf.Tensor(1.4009398, shape=(), dtype=float32)","tf.Tensor(0.9716826, shape=(), dtype=float32)"
22,424.953125,26.5,9.394429922103882,"tf.Tensor(1.1883111, shape=(), dtype=float32)","tf.Tensor(0.83247864, shape=(), dtype=float32)","tf.Tensor(1.3954364, shape=(), dtype=float32)","tf.Tensor(0.9664163, shape=(), dtype=float32)"
23,427.63671875,26.5,9.77540373802185,"tf.Tensor(1.1668994, shape=(), dtype=float32)","tf.Tensor(0.81764877, shape=(), dtype=float32)","tf.Tensor(1.3904327, shape=(), dtype=float32)","tf.Tensor(0.9630297, shape=(), dtype=float32)"
24,430.21875,29.6,9.265804529190063,"tf.Tensor(1.1457261, shape=(), dtype=float32)","tf.Tensor(0.80286425, shape=(), dtype=float32)","tf.Tensor(1.38562, shape=(), dtype=float32)","tf.Tensor(0.9580264, shape=(), dtype=float32)"
25,432.87890625,22.1,9.216090202331543,"tf.Tensor(1.1242481, shape=(), dtype=float32)","tf.Tensor(0.78805494, shape=(), dtype=float32)","tf.Tensor(1.3819044, shape=(), dtype=float32)","tf.Tensor(0.95562947, shape=(), dtype=float32)"
26,435.47265625,19.8,9.235622644424438,"tf.Tensor(1.1019354, shape=(), dtype=float32)","tf.Tensor(0.7721603, shape=(), dtype=float32)","tf.Tensor(1.3789982, shape=(), dtype=float32)","tf.Tensor(0.95231783, shape=(), dtype=float32)"
27,438.1328125,21.6,9.220813751220703,"tf.Tensor(1.0790895, shape=(), dtype=float32)","tf.Tensor(0.7559643, shape=(), dtype=float32)","tf.Tensor(1.3745295, shape=(), dtype=float32)","tf.Tensor(0.94920576, shape=(), dtype=float32)"
28,440.78125,22.2,9.363224267959595,"tf.Tensor(1.0554813, shape=(), dtype=float32)","tf.Tensor(0.73904186, shape=(), dtype=float32)","tf.Tensor(1.3719251, shape=(), dtype=float32)","tf.Tensor(0.948473, shape=(), dtype=float32)"
29,444.390625,26.9,9.26909327507019,"tf.Tensor(1.0311645, shape=(), dtype=float32)","tf.Tensor(0.722081, shape=(), dtype=float32)","tf.Tensor(1.3669794, shape=(), dtype=float32)","tf.Tensor(0.94495314, shape=(), dtype=float32)"
30,446.98828125,25.2,9.303003549575806,"tf.Tensor(1.0064479, shape=(), dtype=float32)","tf.Tensor(0.7047909, shape=(), dtype=float32)","tf.Tensor(1.364911, shape=(), dtype=float32)","tf.Tensor(0.94466966, shape=(), dtype=float32)"
31,449.7421875,26.3,9.254448890686035,"tf.Tensor(0.9816854, shape=(), dtype=float32)","tf.Tensor(0.68729204, shape=(), dtype=float32)","tf.Tensor(1.3617518, shape=(), dtype=float32)","tf.Tensor(0.9428065, shape=(), dtype=float32)"
32,452.37109375,23.4,9.281686544418335,"tf.Tensor(0.9566526, shape=(), dtype=float32)","tf.Tensor(0.66968125, shape=(), dtype=float32)","tf.Tensor(1.3596929, shape=(), dtype=float32)","tf.Tensor(0.941711, shape=(), dtype=float32)"
33,454.99609375,26.1,9.312523603439331,"tf.Tensor(0.93216586, shape=(), dtype=float32)","tf.Tensor(0.652352, shape=(), dtype=float32)","tf.Tensor(1.3601264, shape=(), dtype=float32)","tf.Tensor(0.9426114, shape=(), dtype=float32)"
34,457.6796875,23.2,9.43245244026184,"tf.Tensor(0.9082212, shape=(), dtype=float32)","tf.Tensor(0.6347623, shape=(), dtype=float32)","tf.Tensor(1.3581297, shape=(), dtype=float32)","tf.Tensor(0.9407364, shape=(), dtype=float32)"
35,460.25,20.4,9.258234024047852,"tf.Tensor(0.88545424, shape=(), dtype=float32)","tf.Tensor(0.6186736, shape=(), dtype=float32)","tf.Tensor(1.3592733, shape=(), dtype=float32)","tf.Tensor(0.9419537, shape=(), dtype=float32)"
