epoch,train_rmse,valid_rmse
0,"tf.Tensor(8.667707, shape=(), dtype=float32)","tf.Tensor(8.703333, shape=(), dtype=float32)"
1,"tf.Tensor(5.7610903, shape=(), dtype=float32)","tf.Tensor(5.798527, shape=(), dtype=float32)"
2,"tf.Tensor(3.974102, shape=(), dtype=float32)","tf.Tensor(4.012217, shape=(), dtype=float32)"
3,"tf.Tensor(3.0336733, shape=(), dtype=float32)","tf.Tensor(3.0702498, shape=(), dtype=float32)"
4,"tf.Tensor(2.4760973, shape=(), dtype=float32)","tf.Tensor(2.5114186, shape=(), dtype=float32)"
5,"tf.Tensor(2.1179364, shape=(), dtype=float32)","tf.Tensor(2.1463525, shape=(), dtype=float32)"
6,"tf.Tensor(1.906105, shape=(), dtype=float32)","tf.Tensor(1.9317684, shape=(), dtype=float32)"
7,"tf.Tensor(1.7516882, shape=(), dtype=float32)","tf.Tensor(1.7826557, shape=(), dtype=float32)"
8,"tf.Tensor(1.6504939, shape=(), dtype=float32)","tf.Tensor(1.687071, shape=(), dtype=float32)"
9,"tf.Tensor(1.5833191, shape=(), dtype=float32)","tf.Tensor(1.6217802, shape=(), dtype=float32)"
10,"tf.Tensor(1.5340376, shape=(), dtype=float32)","tf.Tensor(1.5776237, shape=(), dtype=float32)"
11,"tf.Tensor(1.4926319, shape=(), dtype=float32)","tf.Tensor(1.5413582, shape=(), dtype=float32)"
12,"tf.Tensor(1.4547869, shape=(), dtype=float32)","tf.Tensor(1.5117512, shape=(), dtype=float32)"
13,"tf.Tensor(1.425087, shape=(), dtype=float32)","tf.Tensor(1.4909284, shape=(), dtype=float32)"
14,"tf.Tensor(1.3985393, shape=(), dtype=float32)","tf.Tensor(1.4756372, shape=(), dtype=float32)"
15,"tf.Tensor(1.3745184, shape=(), dtype=float32)","tf.Tensor(1.4631298, shape=(), dtype=float32)"
16,"tf.Tensor(1.351761, shape=(), dtype=float32)","tf.Tensor(1.4541194, shape=(), dtype=float32)"
17,"tf.Tensor(1.3308749, shape=(), dtype=float32)","tf.Tensor(1.4470656, shape=(), dtype=float32)"
18,"tf.Tensor(1.309868, shape=(), dtype=float32)","tf.Tensor(1.43919, shape=(), dtype=float32)"
19,"tf.Tensor(1.2892671, shape=(), dtype=float32)","tf.Tensor(1.4291388, shape=(), dtype=float32)"
20,"tf.Tensor(1.2680295, shape=(), dtype=float32)","tf.Tensor(1.4221971, shape=(), dtype=float32)"
21,"tf.Tensor(1.2469265, shape=(), dtype=float32)","tf.Tensor(1.4170483, shape=(), dtype=float32)"
22,"tf.Tensor(1.2254887, shape=(), dtype=float32)","tf.Tensor(1.4103503, shape=(), dtype=float32)"
23,"tf.Tensor(1.2038525, shape=(), dtype=float32)","tf.Tensor(1.4041362, shape=(), dtype=float32)"
24,"tf.Tensor(1.1812903, shape=(), dtype=float32)","tf.Tensor(1.4001422, shape=(), dtype=float32)"
