epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,7.825225730756436e-06,7.825225730756436e-06,"tf.Tensor(1.8385377, shape=(), dtype=float32)","tf.Tensor(1.8395737, shape=(), dtype=float32)"
1,7.976365644225661e-06,1.58015913749821e-05,"tf.Tensor(1.2817026, shape=(), dtype=float32)","tf.Tensor(1.2834272, shape=(), dtype=float32)"
2,9.185788100420738e-06,2.498737947540284e-05,"tf.Tensor(1.1393088, shape=(), dtype=float32)","tf.Tensor(1.1528294, shape=(), dtype=float32)"
3,9.829814708609241e-06,3.481719418401208e-05,"tf.Tensor(1.0664665, shape=(), dtype=float32)","tf.Tensor(1.0928967, shape=(), dtype=float32)"
4,8.626582396555363e-06,4.344377658056744e-05,"tf.Tensor(1.0015856, shape=(), dtype=float32)","tf.Tensor(1.0401866, shape=(), dtype=float32)"
5,8.133681115142475e-06,5.1577457695709916e-05,"tf.Tensor(0.9498038, shape=(), dtype=float32)","tf.Tensor(1.0021408, shape=(), dtype=float32)"
6,7.645703009738596e-06,5.922316070544851e-05,"tf.Tensor(0.9071959, shape=(), dtype=float32)","tf.Tensor(0.9737449, shape=(), dtype=float32)"
7,7.732832392032695e-06,6.69559930974812e-05,"tf.Tensor(0.8676964, shape=(), dtype=float32)","tf.Tensor(0.9510524, shape=(), dtype=float32)"
8,7.722257567086469e-06,7.467825066456767e-05,"tf.Tensor(0.83041793, shape=(), dtype=float32)","tf.Tensor(0.93071634, shape=(), dtype=float32)"
9,7.81254927364701e-06,8.249079993821467e-05,"tf.Tensor(0.79737085, shape=(), dtype=float32)","tf.Tensor(0.91447747, shape=(), dtype=float32)"
10,7.756673424117461e-06,9.024747336233214e-05,"tf.Tensor(0.76899815, shape=(), dtype=float32)","tf.Tensor(0.9034787, shape=(), dtype=float32)"
11,8.40371797136122e-06,9.865119133369336e-05,"tf.Tensor(0.7441512, shape=(), dtype=float32)","tf.Tensor(0.89536923, shape=(), dtype=float32)"
12,7.799746287952538e-06,0.00010645093762164589,"tf.Tensor(0.7187027, shape=(), dtype=float32)","tf.Tensor(0.88895196, shape=(), dtype=float32)"
13,8.156398389476815e-06,0.0001146073360111227,"tf.Tensor(0.6955021, shape=(), dtype=float32)","tf.Tensor(0.88342917, shape=(), dtype=float32)"
14,1.2383243855631725e-05,0.00012699057986675444,"tf.Tensor(0.6762975, shape=(), dtype=float32)","tf.Tensor(0.87987393, shape=(), dtype=float32)"
15,1.0066149659836386e-05,0.00013705672952659084,"tf.Tensor(0.65790343, shape=(), dtype=float32)","tf.Tensor(0.8777532, shape=(), dtype=float32)"
16,1.0762313268175064e-05,0.0001478190427947659,"tf.Tensor(0.641608, shape=(), dtype=float32)","tf.Tensor(0.8777584, shape=(), dtype=float32)"
17,9.465672050227114e-06,0.000157284714844993,"tf.Tensor(0.6285287, shape=(), dtype=float32)","tf.Tensor(0.87938505, shape=(), dtype=float32)"
18,8.800310380570387e-06,0.0001660850252255634,"tf.Tensor(0.61216396, shape=(), dtype=float32)","tf.Tensor(0.8766163, shape=(), dtype=float32)"
19,8.798514327807872e-06,0.00017488353955337127,"tf.Tensor(0.6027453, shape=(), dtype=float32)","tf.Tensor(0.87882245, shape=(), dtype=float32)"
