epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
0,8.005749798494093e-06,8.005749798494093e-06,"tf.Tensor(1.9424113, shape=(), dtype=float32)","tf.Tensor(1.4443332, shape=(), dtype=float32)","tf.Tensor(1.9452807, shape=(), dtype=float32)","tf.Tensor(1.4487044, shape=(), dtype=float32)"
1,7.834844643498264e-06,1.584059444199236e-05,"tf.Tensor(1.3271955, shape=(), dtype=float32)","tf.Tensor(0.9847664, shape=(), dtype=float32)","tf.Tensor(1.327086, shape=(), dtype=float32)","tf.Tensor(0.9885153, shape=(), dtype=float32)"
2,8.450365720265895e-06,2.4290960162258254e-05,"tf.Tensor(1.1757307, shape=(), dtype=float32)","tf.Tensor(0.86764663, shape=(), dtype=float32)","tf.Tensor(1.1851556, shape=(), dtype=float32)","tf.Tensor(0.8781572, shape=(), dtype=float32)"
3,8.370559652816458e-06,3.266151981507471e-05,"tf.Tensor(1.1049936, shape=(), dtype=float32)","tf.Tensor(0.8132182, shape=(), dtype=float32)","tf.Tensor(1.1234993, shape=(), dtype=float32)","tf.Tensor(0.830789, shape=(), dtype=float32)"
4,8.33614129245626e-06,4.099766110753097e-05,"tf.Tensor(1.0446483, shape=(), dtype=float32)","tf.Tensor(0.7675468, shape=(), dtype=float32)","tf.Tensor(1.0737578, shape=(), dtype=float32)","tf.Tensor(0.7918224, shape=(), dtype=float32)"
5,8.279112933628528e-06,4.92767740411595e-05,"tf.Tensor(0.9789712, shape=(), dtype=float32)","tf.Tensor(0.7190276, shape=(), dtype=float32)","tf.Tensor(1.0222466, shape=(), dtype=float32)","tf.Tensor(0.7534667, shape=(), dtype=float32)"
6,8.111417150378028e-06,5.738819119153752e-05,"tf.Tensor(0.93965447, shape=(), dtype=float32)","tf.Tensor(0.6916678, shape=(), dtype=float32)","tf.Tensor(0.9947359, shape=(), dtype=float32)","tf.Tensor(0.7334363, shape=(), dtype=float32)"
7,7.869151484130917e-06,6.525734267566844e-05,"tf.Tensor(0.9006626, shape=(), dtype=float32)","tf.Tensor(0.6642869, shape=(), dtype=float32)","tf.Tensor(0.96878654, shape=(), dtype=float32)","tf.Tensor(0.7153093, shape=(), dtype=float32)"
8,7.925768040664206e-06,7.318311071633265e-05,"tf.Tensor(0.86095953, shape=(), dtype=float32)","tf.Tensor(0.6355816, shape=(), dtype=float32)","tf.Tensor(0.94582343, shape=(), dtype=float32)","tf.Tensor(0.6991922, shape=(), dtype=float32)"
9,7.981072550531455e-06,8.11641832668641e-05,"tf.Tensor(0.82272357, shape=(), dtype=float32)","tf.Tensor(0.60861737, shape=(), dtype=float32)","tf.Tensor(0.9268119, shape=(), dtype=float32)","tf.Tensor(0.6844698, shape=(), dtype=float32)"
10,7.966327071021916e-06,8.913051033788601e-05,"tf.Tensor(0.789727, shape=(), dtype=float32)","tf.Tensor(0.5863453, shape=(), dtype=float32)","tf.Tensor(0.9135238, shape=(), dtype=float32)","tf.Tensor(0.67565066, shape=(), dtype=float32)"
11,7.906761688274694e-06,9.703727202616071e-05,"tf.Tensor(0.7615596, shape=(), dtype=float32)","tf.Tensor(0.5666236, shape=(), dtype=float32)","tf.Tensor(0.9031615, shape=(), dtype=float32)","tf.Tensor(0.6678816, shape=(), dtype=float32)"
12,7.856397828385586e-06,0.0001048936698545463,"tf.Tensor(0.7342093, shape=(), dtype=float32)","tf.Tensor(0.54596317, shape=(), dtype=float32)","tf.Tensor(0.8957783, shape=(), dtype=float32)","tf.Tensor(0.6604888, shape=(), dtype=float32)"
13,7.882747598265737e-06,0.00011277641745281204,"tf.Tensor(0.7074398, shape=(), dtype=float32)","tf.Tensor(0.52783906, shape=(), dtype=float32)","tf.Tensor(0.88957644, shape=(), dtype=float32)","tf.Tensor(0.656604, shape=(), dtype=float32)"
14,7.82114375213893e-06,0.00012059756120495097,"tf.Tensor(0.6856104, shape=(), dtype=float32)","tf.Tensor(0.51344526, shape=(), dtype=float32)","tf.Tensor(0.88656, shape=(), dtype=float32)","tf.Tensor(0.6553561, shape=(), dtype=float32)"
15,7.895735019160206e-06,0.0001284932962241112,"tf.Tensor(0.6658688, shape=(), dtype=float32)","tf.Tensor(0.49794137, shape=(), dtype=float32)","tf.Tensor(0.88440734, shape=(), dtype=float32)","tf.Tensor(0.65143317, shape=(), dtype=float32)"
16,7.90605715134059e-06,0.00013639935337545178,"tf.Tensor(0.64888334, shape=(), dtype=float32)","tf.Tensor(0.48757556, shape=(), dtype=float32)","tf.Tensor(0.8835303, shape=(), dtype=float32)","tf.Tensor(0.6524562, shape=(), dtype=float32)"
17,7.857629510146382e-06,0.00014425698288559816,"tf.Tensor(0.63428587, shape=(), dtype=float32)","tf.Tensor(0.4765494, shape=(), dtype=float32)","tf.Tensor(0.88246006, shape=(), dtype=float32)","tf.Tensor(0.65053844, shape=(), dtype=float32)"
18,8.165918734947546e-06,0.0001524229016205457,"tf.Tensor(0.6218538, shape=(), dtype=float32)","tf.Tensor(0.46837613, shape=(), dtype=float32)","tf.Tensor(0.88398916, shape=(), dtype=float32)","tf.Tensor(0.65209585, shape=(), dtype=float32)"
19,7.837117569455781e-06,0.0001602600191900015,"tf.Tensor(0.61386764, shape=(), dtype=float32)","tf.Tensor(0.46369517, shape=(), dtype=float32)","tf.Tensor(0.88465023, shape=(), dtype=float32)","tf.Tensor(0.6537471, shape=(), dtype=float32)"
