epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,348.3046875,16.9,14.745774507522583,"tf.Tensor(1.8385377, shape=(), dtype=float32)","tf.Tensor(1.8395737, shape=(), dtype=float32)"
1,381.40625,26.4,14.749820470809937,"tf.Tensor(1.2817026, shape=(), dtype=float32)","tf.Tensor(1.2834272, shape=(), dtype=float32)"
2,392.328125,28.0,16.76092529296875,"tf.Tensor(1.1393088, shape=(), dtype=float32)","tf.Tensor(1.1528294, shape=(), dtype=float32)"
3,399.4609375,42.2,17.83566427230835,"tf.Tensor(1.0664665, shape=(), dtype=float32)","tf.Tensor(1.0928967, shape=(), dtype=float32)"
4,409.109375,41.9,15.955883026123047,"tf.Tensor(1.0015856, shape=(), dtype=float32)","tf.Tensor(1.0401866, shape=(), dtype=float32)"
5,418.01171875,35.5,15.017245292663574,"tf.Tensor(0.9498038, shape=(), dtype=float32)","tf.Tensor(1.0021408, shape=(), dtype=float32)"
6,425.98828125,33.8,14.237342119216919,"tf.Tensor(0.9071959, shape=(), dtype=float32)","tf.Tensor(0.9737449, shape=(), dtype=float32)"
7,433.046875,34.2,14.37921953201294,"tf.Tensor(0.8676964, shape=(), dtype=float32)","tf.Tensor(0.9510524, shape=(), dtype=float32)"
8,441.92578125,35.4,14.350839376449585,"tf.Tensor(0.83041793, shape=(), dtype=float32)","tf.Tensor(0.93071634, shape=(), dtype=float32)"
9,449.8359375,35.2,14.492761850357056,"tf.Tensor(0.79737085, shape=(), dtype=float32)","tf.Tensor(0.91447747, shape=(), dtype=float32)"
10,457.8359375,26.6,14.433949947357178,"tf.Tensor(0.76899815, shape=(), dtype=float32)","tf.Tensor(0.9034787, shape=(), dtype=float32)"
11,465.83984375,24.2,15.432010650634766,"tf.Tensor(0.7441512, shape=(), dtype=float32)","tf.Tensor(0.89536923, shape=(), dtype=float32)"
12,473.7734375,37.1,14.49543309211731,"tf.Tensor(0.7187027, shape=(), dtype=float32)","tf.Tensor(0.88895196, shape=(), dtype=float32)"
13,481.7734375,24.0,15.057303667068481,"tf.Tensor(0.6955021, shape=(), dtype=float32)","tf.Tensor(0.88342917, shape=(), dtype=float32)"
14,489.796875,35.8,22.051090002059937,"tf.Tensor(0.6762975, shape=(), dtype=float32)","tf.Tensor(0.87987393, shape=(), dtype=float32)"
15,497.73046875,79.1,18.350504398345947,"tf.Tensor(0.65790343, shape=(), dtype=float32)","tf.Tensor(0.8777532, shape=(), dtype=float32)"
16,505.73828125,57.0,19.470272064208984,"tf.Tensor(0.641608, shape=(), dtype=float32)","tf.Tensor(0.8777584, shape=(), dtype=float32)"
17,513.7578125,58.8,17.221395254135132,"tf.Tensor(0.6285287, shape=(), dtype=float32)","tf.Tensor(0.87938505, shape=(), dtype=float32)"
18,521.66015625,52.1,16.299715757369995,"tf.Tensor(0.61216396, shape=(), dtype=float32)","tf.Tensor(0.8766163, shape=(), dtype=float32)"
19,529.6640625,42.9,16.17401123046875,"tf.Tensor(0.6027453, shape=(), dtype=float32)","tf.Tensor(0.87882245, shape=(), dtype=float32)"
20,537.6640625,41.1,15.657322883605957,"tf.Tensor(0.59686285, shape=(), dtype=float32)","tf.Tensor(0.88388944, shape=(), dtype=float32)"
21,544.734375,37.6,15.002673149108887,"tf.Tensor(0.5853903, shape=(), dtype=float32)","tf.Tensor(0.88407165, shape=(), dtype=float32)"
22,554.4453125,29.7,16.216850757598877,"tf.Tensor(0.58411247, shape=(), dtype=float32)","tf.Tensor(0.8907833, shape=(), dtype=float32)"
23,561.5234375,41.0,16.630451917648315,"tf.Tensor(0.5771771, shape=(), dtype=float32)","tf.Tensor(0.89235616, shape=(), dtype=float32)"
24,569.3984375,47.7,15.394602060317993,"tf.Tensor(0.5735677, shape=(), dtype=float32)","tf.Tensor(0.8960353, shape=(), dtype=float32)"
25,577.3984375,31.4,17.841856241226196,"tf.Tensor(0.56590915, shape=(), dtype=float32)","tf.Tensor(0.8954814, shape=(), dtype=float32)"
26,585.33984375,44.8,16.773584842681885,"tf.Tensor(0.5634695, shape=(), dtype=float32)","tf.Tensor(0.90046203, shape=(), dtype=float32)"
27,593.2734375,40.2,15.495935201644897,"tf.Tensor(0.5613013, shape=(), dtype=float32)","tf.Tensor(0.90110373, shape=(), dtype=float32)"
28,603.125,31.8,15.375789642333984,"tf.Tensor(0.55676323, shape=(), dtype=float32)","tf.Tensor(0.90294594, shape=(), dtype=float32)"
29,611.10546875,32.3,14.949909448623657,"tf.Tensor(0.5553702, shape=(), dtype=float32)","tf.Tensor(0.90721846, shape=(), dtype=float32)"
