epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,352.4921875,14.9,17.82198667526245,"tf.Tensor(1.9424113, shape=(), dtype=float32)","tf.Tensor(1.4443332, shape=(), dtype=float32)","tf.Tensor(1.9452807, shape=(), dtype=float32)","tf.Tensor(1.4487044, shape=(), dtype=float32)"
1,385.01953125,23.8,17.543007612228394,"tf.Tensor(1.3271955, shape=(), dtype=float32)","tf.Tensor(0.9847664, shape=(), dtype=float32)","tf.Tensor(1.327086, shape=(), dtype=float32)","tf.Tensor(0.9885153, shape=(), dtype=float32)"
2,391.3984375,20.3,18.598160982131958,"tf.Tensor(1.1757307, shape=(), dtype=float32)","tf.Tensor(0.86764663, shape=(), dtype=float32)","tf.Tensor(1.1851556, shape=(), dtype=float32)","tf.Tensor(0.8781572, shape=(), dtype=float32)"
3,402.05078125,24.7,18.431633949279785,"tf.Tensor(1.1049936, shape=(), dtype=float32)","tf.Tensor(0.8132182, shape=(), dtype=float32)","tf.Tensor(1.1234993, shape=(), dtype=float32)","tf.Tensor(0.830789, shape=(), dtype=float32)"
4,410.05078125,26.9,18.340689420700073,"tf.Tensor(1.0446483, shape=(), dtype=float32)","tf.Tensor(0.7675468, shape=(), dtype=float32)","tf.Tensor(1.0737578, shape=(), dtype=float32)","tf.Tensor(0.7918224, shape=(), dtype=float32)"
5,416.16015625,27.0,18.292283058166504,"tf.Tensor(0.9789712, shape=(), dtype=float32)","tf.Tensor(0.7190276, shape=(), dtype=float32)","tf.Tensor(1.0222466, shape=(), dtype=float32)","tf.Tensor(0.7534667, shape=(), dtype=float32)"
6,424.16015625,25.4,17.985605239868164,"tf.Tensor(0.93965447, shape=(), dtype=float32)","tf.Tensor(0.6916678, shape=(), dtype=float32)","tf.Tensor(0.9947359, shape=(), dtype=float32)","tf.Tensor(0.7334363, shape=(), dtype=float32)"
7,432.9921875,26.7,17.62448239326477,"tf.Tensor(0.9006626, shape=(), dtype=float32)","tf.Tensor(0.6642869, shape=(), dtype=float32)","tf.Tensor(0.96878654, shape=(), dtype=float32)","tf.Tensor(0.7153093, shape=(), dtype=float32)"
8,440.98828125,20.5,17.688028812408447,"tf.Tensor(0.86095953, shape=(), dtype=float32)","tf.Tensor(0.6355816, shape=(), dtype=float32)","tf.Tensor(0.94582343, shape=(), dtype=float32)","tf.Tensor(0.6991922, shape=(), dtype=float32)"
9,448.39453125,19.4,17.770187377929688,"tf.Tensor(0.82272357, shape=(), dtype=float32)","tf.Tensor(0.60861737, shape=(), dtype=float32)","tf.Tensor(0.9268119, shape=(), dtype=float32)","tf.Tensor(0.6844698, shape=(), dtype=float32)"
