epoch,train_rmse,valid_rmse
0,"tf.Tensor(1.9424113, shape=(), dtype=float32)","tf.Tensor(1.9452807, shape=(), dtype=float32)"
1,"tf.Tensor(1.3271955, shape=(), dtype=float32)","tf.Tensor(1.327086, shape=(), dtype=float32)"
2,"tf.Tensor(1.1757307, shape=(), dtype=float32)","tf.Tensor(1.1851556, shape=(), dtype=float32)"
3,"tf.Tensor(1.1049936, shape=(), dtype=float32)","tf.Tensor(1.1234993, shape=(), dtype=float32)"
4,"tf.Tensor(1.0446483, shape=(), dtype=float32)","tf.Tensor(1.0737578, shape=(), dtype=float32)"
5,"tf.Tensor(0.9789712, shape=(), dtype=float32)","tf.Tensor(1.0222466, shape=(), dtype=float32)"
6,"tf.Tensor(0.93965447, shape=(), dtype=float32)","tf.Tensor(0.9947359, shape=(), dtype=float32)"
7,"tf.Tensor(0.9006626, shape=(), dtype=float32)","tf.Tensor(0.96878654, shape=(), dtype=float32)"
8,"tf.Tensor(0.86095953, shape=(), dtype=float32)","tf.Tensor(0.94582343, shape=(), dtype=float32)"
9,"tf.Tensor(0.82272357, shape=(), dtype=float32)","tf.Tensor(0.9268119, shape=(), dtype=float32)"
10,"tf.Tensor(0.789727, shape=(), dtype=float32)","tf.Tensor(0.9135238, shape=(), dtype=float32)"
11,"tf.Tensor(0.7615596, shape=(), dtype=float32)","tf.Tensor(0.9031615, shape=(), dtype=float32)"
12,"tf.Tensor(0.7342093, shape=(), dtype=float32)","tf.Tensor(0.8957783, shape=(), dtype=float32)"
13,"tf.Tensor(0.7074398, shape=(), dtype=float32)","tf.Tensor(0.88957644, shape=(), dtype=float32)"
14,"tf.Tensor(0.6856104, shape=(), dtype=float32)","tf.Tensor(0.88656, shape=(), dtype=float32)"
15,"tf.Tensor(0.6658688, shape=(), dtype=float32)","tf.Tensor(0.88440734, shape=(), dtype=float32)"
16,"tf.Tensor(0.64888334, shape=(), dtype=float32)","tf.Tensor(0.8835303, shape=(), dtype=float32)"
17,"tf.Tensor(0.63428587, shape=(), dtype=float32)","tf.Tensor(0.88246006, shape=(), dtype=float32)"
18,"tf.Tensor(0.6218538, shape=(), dtype=float32)","tf.Tensor(0.88398916, shape=(), dtype=float32)"
19,"tf.Tensor(0.61386764, shape=(), dtype=float32)","tf.Tensor(0.88465023, shape=(), dtype=float32)"
20,"tf.Tensor(0.6067653, shape=(), dtype=float32)","tf.Tensor(0.8867971, shape=(), dtype=float32)"
21,"tf.Tensor(0.5998437, shape=(), dtype=float32)","tf.Tensor(0.88774323, shape=(), dtype=float32)"
22,"tf.Tensor(0.5935087, shape=(), dtype=float32)","tf.Tensor(0.8908501, shape=(), dtype=float32)"
23,"tf.Tensor(0.5882154, shape=(), dtype=float32)","tf.Tensor(0.8912876, shape=(), dtype=float32)"
24,"tf.Tensor(0.58134496, shape=(), dtype=float32)","tf.Tensor(0.893402, shape=(), dtype=float32)"
25,"tf.Tensor(0.5759905, shape=(), dtype=float32)","tf.Tensor(0.89680624, shape=(), dtype=float32)"
26,"tf.Tensor(0.57102716, shape=(), dtype=float32)","tf.Tensor(0.8980519, shape=(), dtype=float32)"
27,"tf.Tensor(0.56638783, shape=(), dtype=float32)","tf.Tensor(0.90070987, shape=(), dtype=float32)"
28,"tf.Tensor(0.56175613, shape=(), dtype=float32)","tf.Tensor(0.90258473, shape=(), dtype=float32)"
29,"tf.Tensor(0.5589088, shape=(), dtype=float32)","tf.Tensor(0.90540487, shape=(), dtype=float32)"
30,"tf.Tensor(0.55615354, shape=(), dtype=float32)","tf.Tensor(0.9085711, shape=(), dtype=float32)"
31,"tf.Tensor(0.55426735, shape=(), dtype=float32)","tf.Tensor(0.91053075, shape=(), dtype=float32)"
32,"tf.Tensor(0.55498725, shape=(), dtype=float32)","tf.Tensor(0.91216785, shape=(), dtype=float32)"
33,"tf.Tensor(0.55138594, shape=(), dtype=float32)","tf.Tensor(0.91352856, shape=(), dtype=float32)"
34,"tf.Tensor(0.54964346, shape=(), dtype=float32)","tf.Tensor(0.91570914, shape=(), dtype=float32)"
35,"tf.Tensor(0.5492253, shape=(), dtype=float32)","tf.Tensor(0.91818595, shape=(), dtype=float32)"
36,"tf.Tensor(0.5482472, shape=(), dtype=float32)","tf.Tensor(0.91889983, shape=(), dtype=float32)"
37,"tf.Tensor(0.5474018, shape=(), dtype=float32)","tf.Tensor(0.9191068, shape=(), dtype=float32)"
38,"tf.Tensor(0.5449401, shape=(), dtype=float32)","tf.Tensor(0.92071307, shape=(), dtype=float32)"
39,"tf.Tensor(0.5443532, shape=(), dtype=float32)","tf.Tensor(0.9222052, shape=(), dtype=float32)"
40,"tf.Tensor(0.5425089, shape=(), dtype=float32)","tf.Tensor(0.92380273, shape=(), dtype=float32)"
41,"tf.Tensor(0.5413374, shape=(), dtype=float32)","tf.Tensor(0.92579377, shape=(), dtype=float32)"
42,"tf.Tensor(0.53909135, shape=(), dtype=float32)","tf.Tensor(0.926518, shape=(), dtype=float32)"
43,"tf.Tensor(0.5378756, shape=(), dtype=float32)","tf.Tensor(0.9273221, shape=(), dtype=float32)"
44,"tf.Tensor(0.5366678, shape=(), dtype=float32)","tf.Tensor(0.9289846, shape=(), dtype=float32)"
45,"tf.Tensor(0.53422487, shape=(), dtype=float32)","tf.Tensor(0.929339, shape=(), dtype=float32)"
46,"tf.Tensor(0.53202426, shape=(), dtype=float32)","tf.Tensor(0.9320419, shape=(), dtype=float32)"
47,"tf.Tensor(0.5306135, shape=(), dtype=float32)","tf.Tensor(0.9338952, shape=(), dtype=float32)"
48,"tf.Tensor(0.5319271, shape=(), dtype=float32)","tf.Tensor(0.93664503, shape=(), dtype=float32)"
49,"tf.Tensor(0.53490895, shape=(), dtype=float32)","tf.Tensor(0.9379366, shape=(), dtype=float32)"
