epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,4.754325029134043e-07,4.754325029134043e-07,"tf.Tensor(6.642368, shape=(), dtype=float32)","tf.Tensor(6.693207, shape=(), dtype=float32)"
1,4.197671425245983e-07,8.951996454380026e-07,"tf.Tensor(5.760164, shape=(), dtype=float32)","tf.Tensor(5.8086267, shape=(), dtype=float32)"
2,4.295594384294875e-07,1.3247590838674902e-06,"tf.Tensor(4.983587, shape=(), dtype=float32)","tf.Tensor(5.029123, shape=(), dtype=float32)"
3,4.42581644388796e-07,1.7673407282562863e-06,"tf.Tensor(4.319253, shape=(), dtype=float32)","tf.Tensor(4.3612247, shape=(), dtype=float32)"
4,4.1484304617882947e-07,2.1821837744351156e-06,"tf.Tensor(3.7627451, shape=(), dtype=float32)","tf.Tensor(3.8004785, shape=(), dtype=float32)"
5,4.4788695476242027e-07,2.6300707291975357e-06,"tf.Tensor(3.3040395, shape=(), dtype=float32)","tf.Tensor(3.3367624, shape=(), dtype=float32)"
6,4.5034972963059314e-07,3.080420458828129e-06,"tf.Tensor(2.9345498, shape=(), dtype=float32)","tf.Tensor(2.961515, shape=(), dtype=float32)"
7,4.251058588137077e-07,3.5055263176418365e-06,"tf.Tensor(2.6438339, shape=(), dtype=float32)","tf.Tensor(2.6645615, shape=(), dtype=float32)"
8,4.4394615677928564e-07,3.949472474421122e-06,"tf.Tensor(2.4206944, shape=(), dtype=float32)","tf.Tensor(2.4349039, shape=(), dtype=float32)"
9,4.1287607583763255e-07,4.362348550258754e-06,"tf.Tensor(2.2547436, shape=(), dtype=float32)","tf.Tensor(2.262837, shape=(), dtype=float32)"
10,4.871509076167915e-07,4.849499457875546e-06,"tf.Tensor(2.132899, shape=(), dtype=float32)","tf.Tensor(2.1355786, shape=(), dtype=float32)"
11,4.3740671668309316e-07,5.2869061745586384e-06,"tf.Tensor(2.0435236, shape=(), dtype=float32)","tf.Tensor(2.0418148, shape=(), dtype=float32)"
12,4.2696380513049283e-07,5.713869979689132e-06,"tf.Tensor(1.9770336, shape=(), dtype=float32)","tf.Tensor(1.972269, shape=(), dtype=float32)"
13,4.165174345423125e-07,6.130387414231444e-06,"tf.Tensor(1.9246392, shape=(), dtype=float32)","tf.Tensor(1.9181054, shape=(), dtype=float32)"
14,4.3806796584911287e-07,6.568455380080557e-06,"tf.Tensor(1.8801965, shape=(), dtype=float32)","tf.Tensor(1.8734261, shape=(), dtype=float32)"
15,4.5224241438244093e-07,7.020697794462998e-06,"tf.Tensor(1.8393717, shape=(), dtype=float32)","tf.Tensor(1.8338412, shape=(), dtype=float32)"
16,4.235846089694746e-07,7.444282403432473e-06,"tf.Tensor(1.7992216, shape=(), dtype=float32)","tf.Tensor(1.7964815, shape=(), dtype=float32)"
17,4.550057682106252e-07,7.899288171643098e-06,"tf.Tensor(1.7583945, shape=(), dtype=float32)","tf.Tensor(1.7600895, shape=(), dtype=float32)"
18,4.2271650319944977e-07,8.322004674842549e-06,"tf.Tensor(1.7164528, shape=(), dtype=float32)","tf.Tensor(1.723569, shape=(), dtype=float32)"
19,4.4599134775238104e-07,8.76799602259493e-06,"tf.Tensor(1.6754115, shape=(), dtype=float32)","tf.Tensor(1.6893126, shape=(), dtype=float32)"
20,4.1819169715451954e-07,9.18618771974945e-06,"tf.Tensor(1.6371267, shape=(), dtype=float32)","tf.Tensor(1.6581029, shape=(), dtype=float32)"
21,4.4076297608347984e-07,9.62695069583293e-06,"tf.Tensor(1.6022736, shape=(), dtype=float32)","tf.Tensor(1.6293571, shape=(), dtype=float32)"
22,4.2513043520121086e-07,1.0052081131034141e-05,"tf.Tensor(1.569649, shape=(), dtype=float32)","tf.Tensor(1.6028215, shape=(), dtype=float32)"
23,4.4208363475869715e-07,1.0494164765792838e-05,"tf.Tensor(1.5380514, shape=(), dtype=float32)","tf.Tensor(1.5767403, shape=(), dtype=float32)"
24,4.509276107286397e-07,1.0945092376521477e-05,"tf.Tensor(1.5061324, shape=(), dtype=float32)","tf.Tensor(1.5501475, shape=(), dtype=float32)"
25,4.368892318410506e-07,1.1381981608362527e-05,"tf.Tensor(1.473541, shape=(), dtype=float32)","tf.Tensor(1.5227915, shape=(), dtype=float32)"
26,4.2414104849762606e-07,1.1806122656860153e-05,"tf.Tensor(1.4397727, shape=(), dtype=float32)","tf.Tensor(1.4944717, shape=(), dtype=float32)"
27,4.950485729428179e-07,1.230117122980297e-05,"tf.Tensor(1.405116, shape=(), dtype=float32)","tf.Tensor(1.4647881, shape=(), dtype=float32)"
28,4.243228017291888e-07,1.2725494031532159e-05,"tf.Tensor(1.3698795, shape=(), dtype=float32)","tf.Tensor(1.4349395, shape=(), dtype=float32)"
29,4.5148493091630066e-07,1.317697896244846e-05,"tf.Tensor(1.334826, shape=(), dtype=float32)","tf.Tensor(1.4049578, shape=(), dtype=float32)"
30,4.572629240762218e-07,1.3634241886524682e-05,"tf.Tensor(1.3007295, shape=(), dtype=float32)","tf.Tensor(1.375219, shape=(), dtype=float32)"
31,4.5759229574262245e-07,1.4091834182267305e-05,"tf.Tensor(1.2683251, shape=(), dtype=float32)","tf.Tensor(1.3472595, shape=(), dtype=float32)"
32,4.488320445100038e-07,1.4540666226777308e-05,"tf.Tensor(1.2384915, shape=(), dtype=float32)","tf.Tensor(1.3216736, shape=(), dtype=float32)"
33,4.695568365536568e-07,1.5010223063330965e-05,"tf.Tensor(1.2113901, shape=(), dtype=float32)","tf.Tensor(1.299042, shape=(), dtype=float32)"
34,4.591715861665778e-07,1.5469394649497544e-05,"tf.Tensor(1.1870642, shape=(), dtype=float32)","tf.Tensor(1.2794809, shape=(), dtype=float32)"
35,4.547935412351105e-07,1.5924188190732653e-05,"tf.Tensor(1.1647885, shape=(), dtype=float32)","tf.Tensor(1.2609802, shape=(), dtype=float32)"
36,4.2530135142918737e-07,1.634948954216184e-05,"tf.Tensor(1.144288, shape=(), dtype=float32)","tf.Tensor(1.245215, shape=(), dtype=float32)"
37,4.082959446227548e-07,1.6757785486784593e-05,"tf.Tensor(1.1251763, shape=(), dtype=float32)","tf.Tensor(1.2308903, shape=(), dtype=float32)"
38,4.1020908992345464e-07,1.7167994576708046e-05,"tf.Tensor(1.1073483, shape=(), dtype=float32)","tf.Tensor(1.2174743, shape=(), dtype=float32)"
39,4.3552389234539686e-07,1.7603518469053444e-05,"tf.Tensor(1.0905752, shape=(), dtype=float32)","tf.Tensor(1.2047881, shape=(), dtype=float32)"
40,4.146229875997325e-07,1.8018141456653177e-05,"tf.Tensor(1.0746058, shape=(), dtype=float32)","tf.Tensor(1.1939383, shape=(), dtype=float32)"
41,4.4021790244788256e-07,1.845835935910106e-05,"tf.Tensor(1.0595593, shape=(), dtype=float32)","tf.Tensor(1.1835243, shape=(), dtype=float32)"
42,4.2746459043049387e-07,1.888582394953155e-05,"tf.Tensor(1.0450819, shape=(), dtype=float32)","tf.Tensor(1.1736618, shape=(), dtype=float32)"
43,4.177158777186412e-07,1.9303539827250194e-05,"tf.Tensor(1.0312499, shape=(), dtype=float32)","tf.Tensor(1.1639633, shape=(), dtype=float32)"
44,4.205279621679718e-07,1.9724067789418165e-05,"tf.Tensor(1.0177109, shape=(), dtype=float32)","tf.Tensor(1.15479, shape=(), dtype=float32)"
45,4.2229230839208045e-07,2.0146360097810247e-05,"tf.Tensor(1.0046414, shape=(), dtype=float32)","tf.Tensor(1.1461188, shape=(), dtype=float32)"
46,4.4524403441244936e-07,2.0591604132222696e-05,"tf.Tensor(0.99172676, shape=(), dtype=float32)","tf.Tensor(1.1373557, shape=(), dtype=float32)"
47,4.5253859305746614e-07,2.1044142725280163e-05,"tf.Tensor(0.9793283, shape=(), dtype=float32)","tf.Tensor(1.129245, shape=(), dtype=float32)"
48,4.407458077668893e-07,2.148488853304705e-05,"tf.Tensor(0.9670527, shape=(), dtype=float32)","tf.Tensor(1.1215354, shape=(), dtype=float32)"
49,4.4233255264409636e-07,2.192722108569115e-05,"tf.Tensor(0.9550367, shape=(), dtype=float32)","tf.Tensor(1.1139672, shape=(), dtype=float32)"
