epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,339.87890625,13.2,2.6345229148864746,"tf.Tensor(6.642368, shape=(), dtype=float32)","tf.Tensor(6.693207, shape=(), dtype=float32)"
1,358.28125,18.5,2.4081172943115234,"tf.Tensor(5.760164, shape=(), dtype=float32)","tf.Tensor(5.8086267, shape=(), dtype=float32)"
2,359.265625,20.5,2.443988084793091,"tf.Tensor(4.983587, shape=(), dtype=float32)","tf.Tensor(5.029123, shape=(), dtype=float32)"
3,358.76953125,16.4,2.4736993312835693,"tf.Tensor(4.319253, shape=(), dtype=float32)","tf.Tensor(4.3612247, shape=(), dtype=float32)"
4,359.6796875,18.8,2.4125664234161377,"tf.Tensor(3.7627451, shape=(), dtype=float32)","tf.Tensor(3.8004785, shape=(), dtype=float32)"
5,360.2109375,16.7,2.4379847049713135,"tf.Tensor(3.3040395, shape=(), dtype=float32)","tf.Tensor(3.3367624, shape=(), dtype=float32)"
6,360.59375,19.7,2.4654762744903564,"tf.Tensor(2.9345498, shape=(), dtype=float32)","tf.Tensor(2.961515, shape=(), dtype=float32)"
7,361.02734375,17.5,2.4443907737731934,"tf.Tensor(2.6438339, shape=(), dtype=float32)","tf.Tensor(2.6645615, shape=(), dtype=float32)"
8,362.30859375,19.0,2.442232370376587,"tf.Tensor(2.4206944, shape=(), dtype=float32)","tf.Tensor(2.4349039, shape=(), dtype=float32)"
9,362.80078125,18.0,2.413541793823242,"tf.Tensor(2.2547436, shape=(), dtype=float32)","tf.Tensor(2.262837, shape=(), dtype=float32)"
10,362.39453125,17.5,2.5585944652557373,"tf.Tensor(2.132899, shape=(), dtype=float32)","tf.Tensor(2.1355786, shape=(), dtype=float32)"
11,363.65625,18.2,2.4496376514434814,"tf.Tensor(2.0435236, shape=(), dtype=float32)","tf.Tensor(2.0418148, shape=(), dtype=float32)"
12,364.8984375,18.9,2.432776927947998,"tf.Tensor(1.9770336, shape=(), dtype=float32)","tf.Tensor(1.972269, shape=(), dtype=float32)"
13,364.546875,17.2,2.4401440620422363,"tf.Tensor(1.9246392, shape=(), dtype=float32)","tf.Tensor(1.9181054, shape=(), dtype=float32)"
14,364.93359375,19.7,2.4495370388031006,"tf.Tensor(1.8801965, shape=(), dtype=float32)","tf.Tensor(1.8734261, shape=(), dtype=float32)"
15,365.69921875,18.1,2.486405849456787,"tf.Tensor(1.8393717, shape=(), dtype=float32)","tf.Tensor(1.8338412, shape=(), dtype=float32)"
16,366.14453125,18.4,2.4045979976654053,"tf.Tensor(1.7992216, shape=(), dtype=float32)","tf.Tensor(1.7964815, shape=(), dtype=float32)"
17,366.58203125,17.4,2.4841084480285645,"tf.Tensor(1.7583945, shape=(), dtype=float32)","tf.Tensor(1.7600895, shape=(), dtype=float32)"
18,367.08984375,18.6,2.424670696258545,"tf.Tensor(1.7164528, shape=(), dtype=float32)","tf.Tensor(1.723569, shape=(), dtype=float32)"
19,367.5234375,20.3,2.447486400604248,"tf.Tensor(1.6754115, shape=(), dtype=float32)","tf.Tensor(1.6893126, shape=(), dtype=float32)"
20,367.90625,15.0,2.427354574203491,"tf.Tensor(1.6371267, shape=(), dtype=float32)","tf.Tensor(1.6581029, shape=(), dtype=float32)"
21,368.2734375,18.6,2.4558608531951904,"tf.Tensor(1.6022736, shape=(), dtype=float32)","tf.Tensor(1.6293571, shape=(), dtype=float32)"
22,368.71875,19.8,2.4390923976898193,"tf.Tensor(1.569649, shape=(), dtype=float32)","tf.Tensor(1.6028215, shape=(), dtype=float32)"
23,369.12890625,16.2,2.4544129371643066,"tf.Tensor(1.5380514, shape=(), dtype=float32)","tf.Tensor(1.5767403, shape=(), dtype=float32)"
24,369.5859375,16.9,2.482882022857666,"tf.Tensor(1.5061324, shape=(), dtype=float32)","tf.Tensor(1.5501475, shape=(), dtype=float32)"
25,370.0234375,20.4,2.4335203170776367,"tf.Tensor(1.473541, shape=(), dtype=float32)","tf.Tensor(1.5227915, shape=(), dtype=float32)"
26,370.4609375,31.7,2.4454028606414795,"tf.Tensor(1.4397727, shape=(), dtype=float32)","tf.Tensor(1.4944717, shape=(), dtype=float32)"
27,370.8359375,30.0,2.5628609657287598,"tf.Tensor(1.405116, shape=(), dtype=float32)","tf.Tensor(1.4647881, shape=(), dtype=float32)"
28,372.1875,20.9,2.435823440551758,"tf.Tensor(1.3698795, shape=(), dtype=float32)","tf.Tensor(1.4349395, shape=(), dtype=float32)"
29,372.5625,18.6,2.484571695327759,"tf.Tensor(1.334826, shape=(), dtype=float32)","tf.Tensor(1.4049578, shape=(), dtype=float32)"
30,372.12890625,18.8,2.495759963989258,"tf.Tensor(1.3007295, shape=(), dtype=float32)","tf.Tensor(1.375219, shape=(), dtype=float32)"
31,372.5859375,18.4,2.4830057621002197,"tf.Tensor(1.2683251, shape=(), dtype=float32)","tf.Tensor(1.3472595, shape=(), dtype=float32)"
32,373.0234375,15.1,2.460435152053833,"tf.Tensor(1.2384915, shape=(), dtype=float32)","tf.Tensor(1.3216736, shape=(), dtype=float32)"
33,374.3125,22.3,2.5237178802490234,"tf.Tensor(1.2113901, shape=(), dtype=float32)","tf.Tensor(1.299042, shape=(), dtype=float32)"
34,373.8359375,19.8,2.737856864929199,"tf.Tensor(1.1870642, shape=(), dtype=float32)","tf.Tensor(1.2794809, shape=(), dtype=float32)"
35,374.2734375,21.8,2.52602219581604,"tf.Tensor(1.1647885, shape=(), dtype=float32)","tf.Tensor(1.2609802, shape=(), dtype=float32)"
36,374.703125,19.8,2.402888774871826,"tf.Tensor(1.144288, shape=(), dtype=float32)","tf.Tensor(1.245215, shape=(), dtype=float32)"
37,375.07421875,18.3,2.399688720703125,"tf.Tensor(1.1251763, shape=(), dtype=float32)","tf.Tensor(1.2308903, shape=(), dtype=float32)"
38,377.51171875,21.5,2.4001755714416504,"tf.Tensor(1.1073483, shape=(), dtype=float32)","tf.Tensor(1.2174743, shape=(), dtype=float32)"
39,377.94921875,18.2,2.4197309017181396,"tf.Tensor(1.0905752, shape=(), dtype=float32)","tf.Tensor(1.2047881, shape=(), dtype=float32)"
40,378.38671875,18.6,2.39449405670166,"tf.Tensor(1.0746058, shape=(), dtype=float32)","tf.Tensor(1.1939383, shape=(), dtype=float32)"
41,378.76171875,19.9,2.463918685913086,"tf.Tensor(1.0595593, shape=(), dtype=float32)","tf.Tensor(1.1835243, shape=(), dtype=float32)"
42,379.19921875,19.5,2.4507501125335693,"tf.Tensor(1.0450819, shape=(), dtype=float32)","tf.Tensor(1.1736618, shape=(), dtype=float32)"
43,379.6328125,18.3,2.414651393890381,"tf.Tensor(1.0312499, shape=(), dtype=float32)","tf.Tensor(1.1639633, shape=(), dtype=float32)"
44,378.30859375,21.6,2.446587562561035,"tf.Tensor(1.0177109, shape=(), dtype=float32)","tf.Tensor(1.15479, shape=(), dtype=float32)"
45,380.50390625,20.0,2.4387950897216797,"tf.Tensor(1.0046414, shape=(), dtype=float32)","tf.Tensor(1.1461188, shape=(), dtype=float32)"
46,380.61328125,18.0,2.4478468894958496,"tf.Tensor(0.99172676, shape=(), dtype=float32)","tf.Tensor(1.1373557, shape=(), dtype=float32)"
47,379.85546875,19.2,2.4533071517944336,"tf.Tensor(0.9793283, shape=(), dtype=float32)","tf.Tensor(1.129245, shape=(), dtype=float32)"
48,380.5234375,19.8,2.455284833908081,"tf.Tensor(0.9670527, shape=(), dtype=float32)","tf.Tensor(1.1215354, shape=(), dtype=float32)"
49,380.96484375,21.5,2.4575271606445312,"tf.Tensor(0.9550367, shape=(), dtype=float32)","tf.Tensor(1.1139672, shape=(), dtype=float32)"
