epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,343.65234375,23.1,5.6253578662872314,"tf.Tensor(6.9615936, shape=(), dtype=float32)","tf.Tensor(6.673062, shape=(), dtype=float32)","tf.Tensor(7.0131226, shape=(), dtype=float32)","tf.Tensor(6.736146, shape=(), dtype=float32)"
1,358.234375,22.2,5.631146669387817,"tf.Tensor(6.2174463, shape=(), dtype=float32)","tf.Tensor(5.899308, shape=(), dtype=float32)","tf.Tensor(6.267249, shape=(), dtype=float32)","tf.Tensor(5.957708, shape=(), dtype=float32)"
2,360.21484375,23.5,5.519068002700806,"tf.Tensor(5.541274, shape=(), dtype=float32)","tf.Tensor(5.189764, shape=(), dtype=float32)","tf.Tensor(5.589032, shape=(), dtype=float32)","tf.Tensor(5.246076, shape=(), dtype=float32)"
3,359.9140625,23.8,5.700981378555298,"tf.Tensor(4.9392934, shape=(), dtype=float32)","tf.Tensor(4.55687, shape=(), dtype=float32)","tf.Tensor(4.9846673, shape=(), dtype=float32)","tf.Tensor(4.6131554, shape=(), dtype=float32)"
4,361.30078125,24.6,5.7165210247039795,"tf.Tensor(4.408377, shape=(), dtype=float32)","tf.Tensor(4.002484, shape=(), dtype=float32)","tf.Tensor(4.4509797, shape=(), dtype=float32)","tf.Tensor(4.055517, shape=(), dtype=float32)"
5,361.75,38.1,5.62662410736084,"tf.Tensor(3.9444642, shape=(), dtype=float32)","tf.Tensor(3.5226445, shape=(), dtype=float32)","tf.Tensor(3.9838355, shape=(), dtype=float32)","tf.Tensor(3.5700753, shape=(), dtype=float32)"
6,361.9375,27.0,5.516059637069702,"tf.Tensor(3.5401115, shape=(), dtype=float32)","tf.Tensor(3.1096501, shape=(), dtype=float32)","tf.Tensor(3.5756881, shape=(), dtype=float32)","tf.Tensor(3.15051, shape=(), dtype=float32)"
7,362.0078125,21.9,5.556508541107178,"tf.Tensor(3.1936076, shape=(), dtype=float32)","tf.Tensor(2.7614381, shape=(), dtype=float32)","tf.Tensor(3.224803, shape=(), dtype=float32)","tf.Tensor(2.8013842, shape=(), dtype=float32)"
8,363.81640625,20.5,5.576155185699463,"tf.Tensor(2.9008508, shape=(), dtype=float32)","tf.Tensor(2.4727225, shape=(), dtype=float32)","tf.Tensor(2.9271154, shape=(), dtype=float32)","tf.Tensor(2.5112364, shape=(), dtype=float32)"
9,362.1328125,21.1,5.676618576049805,"tf.Tensor(2.6584918, shape=(), dtype=float32)","tf.Tensor(2.2396426, shape=(), dtype=float32)","tf.Tensor(2.6793365, shape=(), dtype=float32)","tf.Tensor(2.2726955, shape=(), dtype=float32)"
10,363.14453125,24.5,5.579216003417969,"tf.Tensor(2.4630308, shape=(), dtype=float32)","tf.Tensor(2.0551693, shape=(), dtype=float32)","tf.Tensor(2.4782002, shape=(), dtype=float32)","tf.Tensor(2.080837, shape=(), dtype=float32)"
11,363.37109375,24.1,5.540016174316406,"tf.Tensor(2.3093681, shape=(), dtype=float32)","tf.Tensor(1.913219, shape=(), dtype=float32)","tf.Tensor(2.3189764, shape=(), dtype=float32)","tf.Tensor(1.9308014, shape=(), dtype=float32)"
12,365.38671875,22.1,5.585750102996826,"tf.Tensor(2.191491, shape=(), dtype=float32)","tf.Tensor(1.805865, shape=(), dtype=float32)","tf.Tensor(2.1959314, shape=(), dtype=float32)","tf.Tensor(1.8165996, shape=(), dtype=float32)"
13,364.95703125,21.8,5.599582672119141,"tf.Tensor(2.1019382, shape=(), dtype=float32)","tf.Tensor(1.7251868, shape=(), dtype=float32)","tf.Tensor(2.1019104, shape=(), dtype=float32)","tf.Tensor(1.7307998, shape=(), dtype=float32)"
14,365.26171875,31.2,5.5581419467926025,"tf.Tensor(2.0331643, shape=(), dtype=float32)","tf.Tensor(1.6628972, shape=(), dtype=float32)","tf.Tensor(2.029464, shape=(), dtype=float32)","tf.Tensor(1.6654999, shape=(), dtype=float32)"
15,366.984375,22.3,5.65571141242981,"tf.Tensor(1.979434, shape=(), dtype=float32)","tf.Tensor(1.6143215, shape=(), dtype=float32)","tf.Tensor(1.9732159, shape=(), dtype=float32)","tf.Tensor(1.6149169, shape=(), dtype=float32)"
16,367.921875,26.5,5.661678791046143,"tf.Tensor(1.9354514, shape=(), dtype=float32)","tf.Tensor(1.5748054, shape=(), dtype=float32)","tf.Tensor(1.9278469, shape=(), dtype=float32)","tf.Tensor(1.5746601, shape=(), dtype=float32)"
17,365.8515625,24.1,5.6177802085876465,"tf.Tensor(1.8972203, shape=(), dtype=float32)","tf.Tensor(1.5406427, shape=(), dtype=float32)","tf.Tensor(1.8896613, shape=(), dtype=float32)","tf.Tensor(1.5413145, shape=(), dtype=float32)"
18,367.07421875,22.4,5.484825849533081,"tf.Tensor(1.8606455, shape=(), dtype=float32)","tf.Tensor(1.5082666, shape=(), dtype=float32)","tf.Tensor(1.8546716, shape=(), dtype=float32)","tf.Tensor(1.5108353, shape=(), dtype=float32)"
19,367.51953125,22.2,5.601162910461426,"tf.Tensor(1.8234307, shape=(), dtype=float32)","tf.Tensor(1.4755946, shape=(), dtype=float32)","tf.Tensor(1.8204916, shape=(), dtype=float32)","tf.Tensor(1.4806676, shape=(), dtype=float32)"
20,369.48828125,19.5,5.576293468475342,"tf.Tensor(1.7854629, shape=(), dtype=float32)","tf.Tensor(1.4420997, shape=(), dtype=float32)","tf.Tensor(1.7870349, shape=(), dtype=float32)","tf.Tensor(1.4506073, shape=(), dtype=float32)"
21,369.08984375,18.5,5.578127145767212,"tf.Tensor(1.7479833, shape=(), dtype=float32)","tf.Tensor(1.4090285, shape=(), dtype=float32)","tf.Tensor(1.7550412, shape=(), dtype=float32)","tf.Tensor(1.4216053, shape=(), dtype=float32)"
