epoch,train_rmse,valid_rmse
0,"tf.Tensor(6.642368, shape=(), dtype=float32)","tf.Tensor(6.693207, shape=(), dtype=float32)"
1,"tf.Tensor(5.760164, shape=(), dtype=float32)","tf.Tensor(5.8086267, shape=(), dtype=float32)"
2,"tf.Tensor(4.983587, shape=(), dtype=float32)","tf.Tensor(5.029123, shape=(), dtype=float32)"
3,"tf.Tensor(4.319253, shape=(), dtype=float32)","tf.Tensor(4.3612247, shape=(), dtype=float32)"
4,"tf.Tensor(3.7627451, shape=(), dtype=float32)","tf.Tensor(3.8004785, shape=(), dtype=float32)"
5,"tf.Tensor(3.3040395, shape=(), dtype=float32)","tf.Tensor(3.3367624, shape=(), dtype=float32)"
6,"tf.Tensor(2.9345498, shape=(), dtype=float32)","tf.Tensor(2.961515, shape=(), dtype=float32)"
7,"tf.Tensor(2.6438339, shape=(), dtype=float32)","tf.Tensor(2.6645615, shape=(), dtype=float32)"
8,"tf.Tensor(2.4206944, shape=(), dtype=float32)","tf.Tensor(2.4349039, shape=(), dtype=float32)"
9,"tf.Tensor(2.2547436, shape=(), dtype=float32)","tf.Tensor(2.262837, shape=(), dtype=float32)"
10,"tf.Tensor(2.132899, shape=(), dtype=float32)","tf.Tensor(2.1355786, shape=(), dtype=float32)"
11,"tf.Tensor(2.0435236, shape=(), dtype=float32)","tf.Tensor(2.0418148, shape=(), dtype=float32)"
12,"tf.Tensor(1.9770336, shape=(), dtype=float32)","tf.Tensor(1.972269, shape=(), dtype=float32)"
13,"tf.Tensor(1.9246392, shape=(), dtype=float32)","tf.Tensor(1.9181054, shape=(), dtype=float32)"
14,"tf.Tensor(1.8801965, shape=(), dtype=float32)","tf.Tensor(1.8734261, shape=(), dtype=float32)"
15,"tf.Tensor(1.8393717, shape=(), dtype=float32)","tf.Tensor(1.8338412, shape=(), dtype=float32)"
16,"tf.Tensor(1.7992216, shape=(), dtype=float32)","tf.Tensor(1.7964815, shape=(), dtype=float32)"
17,"tf.Tensor(1.7583945, shape=(), dtype=float32)","tf.Tensor(1.7600895, shape=(), dtype=float32)"
18,"tf.Tensor(1.7164528, shape=(), dtype=float32)","tf.Tensor(1.723569, shape=(), dtype=float32)"
19,"tf.Tensor(1.6754115, shape=(), dtype=float32)","tf.Tensor(1.6893126, shape=(), dtype=float32)"
20,"tf.Tensor(1.6371267, shape=(), dtype=float32)","tf.Tensor(1.6581029, shape=(), dtype=float32)"
21,"tf.Tensor(1.6022736, shape=(), dtype=float32)","tf.Tensor(1.6293571, shape=(), dtype=float32)"
22,"tf.Tensor(1.569649, shape=(), dtype=float32)","tf.Tensor(1.6028215, shape=(), dtype=float32)"
23,"tf.Tensor(1.5380514, shape=(), dtype=float32)","tf.Tensor(1.5767403, shape=(), dtype=float32)"
24,"tf.Tensor(1.5061324, shape=(), dtype=float32)","tf.Tensor(1.5501475, shape=(), dtype=float32)"
25,"tf.Tensor(1.473541, shape=(), dtype=float32)","tf.Tensor(1.5227915, shape=(), dtype=float32)"
26,"tf.Tensor(1.4397727, shape=(), dtype=float32)","tf.Tensor(1.4944717, shape=(), dtype=float32)"
27,"tf.Tensor(1.405116, shape=(), dtype=float32)","tf.Tensor(1.4647881, shape=(), dtype=float32)"
28,"tf.Tensor(1.3698795, shape=(), dtype=float32)","tf.Tensor(1.4349395, shape=(), dtype=float32)"
29,"tf.Tensor(1.334826, shape=(), dtype=float32)","tf.Tensor(1.4049578, shape=(), dtype=float32)"
30,"tf.Tensor(1.3007295, shape=(), dtype=float32)","tf.Tensor(1.375219, shape=(), dtype=float32)"
31,"tf.Tensor(1.2683251, shape=(), dtype=float32)","tf.Tensor(1.3472595, shape=(), dtype=float32)"
32,"tf.Tensor(1.2384915, shape=(), dtype=float32)","tf.Tensor(1.3216736, shape=(), dtype=float32)"
33,"tf.Tensor(1.2113901, shape=(), dtype=float32)","tf.Tensor(1.299042, shape=(), dtype=float32)"
34,"tf.Tensor(1.1870642, shape=(), dtype=float32)","tf.Tensor(1.2794809, shape=(), dtype=float32)"
35,"tf.Tensor(1.1647885, shape=(), dtype=float32)","tf.Tensor(1.2609802, shape=(), dtype=float32)"
36,"tf.Tensor(1.144288, shape=(), dtype=float32)","tf.Tensor(1.245215, shape=(), dtype=float32)"
37,"tf.Tensor(1.1251763, shape=(), dtype=float32)","tf.Tensor(1.2308903, shape=(), dtype=float32)"
38,"tf.Tensor(1.1073483, shape=(), dtype=float32)","tf.Tensor(1.2174743, shape=(), dtype=float32)"
39,"tf.Tensor(1.0905752, shape=(), dtype=float32)","tf.Tensor(1.2047881, shape=(), dtype=float32)"
40,"tf.Tensor(1.0746058, shape=(), dtype=float32)","tf.Tensor(1.1939383, shape=(), dtype=float32)"
41,"tf.Tensor(1.0595593, shape=(), dtype=float32)","tf.Tensor(1.1835243, shape=(), dtype=float32)"
42,"tf.Tensor(1.0450819, shape=(), dtype=float32)","tf.Tensor(1.1736618, shape=(), dtype=float32)"
43,"tf.Tensor(1.0312499, shape=(), dtype=float32)","tf.Tensor(1.1639633, shape=(), dtype=float32)"
44,"tf.Tensor(1.0177109, shape=(), dtype=float32)","tf.Tensor(1.15479, shape=(), dtype=float32)"
45,"tf.Tensor(1.0046414, shape=(), dtype=float32)","tf.Tensor(1.1461188, shape=(), dtype=float32)"
46,"tf.Tensor(0.99172676, shape=(), dtype=float32)","tf.Tensor(1.1373557, shape=(), dtype=float32)"
47,"tf.Tensor(0.9793283, shape=(), dtype=float32)","tf.Tensor(1.129245, shape=(), dtype=float32)"
48,"tf.Tensor(0.9670527, shape=(), dtype=float32)","tf.Tensor(1.1215354, shape=(), dtype=float32)"
49,"tf.Tensor(0.9550367, shape=(), dtype=float32)","tf.Tensor(1.1139672, shape=(), dtype=float32)"
