epoch,train_rmse,valid_rmse,train_mae,valid_mae
0,"tf.Tensor(6.9615936, shape=(), dtype=float32)","tf.Tensor(7.0131226, shape=(), dtype=float32)","tf.Tensor(6.673062, shape=(), dtype=float32)","tf.Tensor(6.736146, shape=(), dtype=float32)"
1,"tf.Tensor(6.2174463, shape=(), dtype=float32)","tf.Tensor(6.267249, shape=(), dtype=float32)","tf.Tensor(5.899308, shape=(), dtype=float32)","tf.Tensor(5.957708, shape=(), dtype=float32)"
2,"tf.Tensor(5.541274, shape=(), dtype=float32)","tf.Tensor(5.589032, shape=(), dtype=float32)","tf.Tensor(5.189764, shape=(), dtype=float32)","tf.Tensor(5.246076, shape=(), dtype=float32)"
3,"tf.Tensor(4.9392934, shape=(), dtype=float32)","tf.Tensor(4.9846673, shape=(), dtype=float32)","tf.Tensor(4.55687, shape=(), dtype=float32)","tf.Tensor(4.6131554, shape=(), dtype=float32)"
4,"tf.Tensor(4.408377, shape=(), dtype=float32)","tf.Tensor(4.4509797, shape=(), dtype=float32)","tf.Tensor(4.002484, shape=(), dtype=float32)","tf.Tensor(4.055517, shape=(), dtype=float32)"
5,"tf.Tensor(3.9444642, shape=(), dtype=float32)","tf.Tensor(3.9838355, shape=(), dtype=float32)","tf.Tensor(3.5226445, shape=(), dtype=float32)","tf.Tensor(3.5700753, shape=(), dtype=float32)"
6,"tf.Tensor(3.5401115, shape=(), dtype=float32)","tf.Tensor(3.5756881, shape=(), dtype=float32)","tf.Tensor(3.1096501, shape=(), dtype=float32)","tf.Tensor(3.15051, shape=(), dtype=float32)"
7,"tf.Tensor(3.1936076, shape=(), dtype=float32)","tf.Tensor(3.224803, shape=(), dtype=float32)","tf.Tensor(2.7614381, shape=(), dtype=float32)","tf.Tensor(2.8013842, shape=(), dtype=float32)"
8,"tf.Tensor(2.9008508, shape=(), dtype=float32)","tf.Tensor(2.9271154, shape=(), dtype=float32)","tf.Tensor(2.4727225, shape=(), dtype=float32)","tf.Tensor(2.5112364, shape=(), dtype=float32)"
9,"tf.Tensor(2.6584918, shape=(), dtype=float32)","tf.Tensor(2.6793365, shape=(), dtype=float32)","tf.Tensor(2.2396426, shape=(), dtype=float32)","tf.Tensor(2.2726955, shape=(), dtype=float32)"
10,"tf.Tensor(2.4630308, shape=(), dtype=float32)","tf.Tensor(2.4782002, shape=(), dtype=float32)","tf.Tensor(2.0551693, shape=(), dtype=float32)","tf.Tensor(2.080837, shape=(), dtype=float32)"
11,"tf.Tensor(2.3093681, shape=(), dtype=float32)","tf.Tensor(2.3189764, shape=(), dtype=float32)","tf.Tensor(1.913219, shape=(), dtype=float32)","tf.Tensor(1.9308014, shape=(), dtype=float32)"
12,"tf.Tensor(2.191491, shape=(), dtype=float32)","tf.Tensor(2.1959314, shape=(), dtype=float32)","tf.Tensor(1.805865, shape=(), dtype=float32)","tf.Tensor(1.8165996, shape=(), dtype=float32)"
13,"tf.Tensor(2.1019382, shape=(), dtype=float32)","tf.Tensor(2.1019104, shape=(), dtype=float32)","tf.Tensor(1.7251868, shape=(), dtype=float32)","tf.Tensor(1.7307998, shape=(), dtype=float32)"
14,"tf.Tensor(2.0331643, shape=(), dtype=float32)","tf.Tensor(2.029464, shape=(), dtype=float32)","tf.Tensor(1.6628972, shape=(), dtype=float32)","tf.Tensor(1.6654999, shape=(), dtype=float32)"
15,"tf.Tensor(1.979434, shape=(), dtype=float32)","tf.Tensor(1.9732159, shape=(), dtype=float32)","tf.Tensor(1.6143215, shape=(), dtype=float32)","tf.Tensor(1.6149169, shape=(), dtype=float32)"
16,"tf.Tensor(1.9354514, shape=(), dtype=float32)","tf.Tensor(1.9278469, shape=(), dtype=float32)","tf.Tensor(1.5748054, shape=(), dtype=float32)","tf.Tensor(1.5746601, shape=(), dtype=float32)"
17,"tf.Tensor(1.8972203, shape=(), dtype=float32)","tf.Tensor(1.8896613, shape=(), dtype=float32)","tf.Tensor(1.5406427, shape=(), dtype=float32)","tf.Tensor(1.5413145, shape=(), dtype=float32)"
18,"tf.Tensor(1.8606455, shape=(), dtype=float32)","tf.Tensor(1.8546716, shape=(), dtype=float32)","tf.Tensor(1.5082666, shape=(), dtype=float32)","tf.Tensor(1.5108353, shape=(), dtype=float32)"
19,"tf.Tensor(1.8234307, shape=(), dtype=float32)","tf.Tensor(1.8204916, shape=(), dtype=float32)","tf.Tensor(1.4755946, shape=(), dtype=float32)","tf.Tensor(1.4806676, shape=(), dtype=float32)"
20,"tf.Tensor(1.7854629, shape=(), dtype=float32)","tf.Tensor(1.7870349, shape=(), dtype=float32)","tf.Tensor(1.4420997, shape=(), dtype=float32)","tf.Tensor(1.4506073, shape=(), dtype=float32)"
21,"tf.Tensor(1.7479833, shape=(), dtype=float32)","tf.Tensor(1.7550412, shape=(), dtype=float32)","tf.Tensor(1.4090285, shape=(), dtype=float32)","tf.Tensor(1.4216053, shape=(), dtype=float32)"
22,"tf.Tensor(1.7123101, shape=(), dtype=float32)","tf.Tensor(1.725386, shape=(), dtype=float32)","tf.Tensor(1.3778454, shape=(), dtype=float32)","tf.Tensor(1.3942508, shape=(), dtype=float32)"
23,"tf.Tensor(1.6796043, shape=(), dtype=float32)","tf.Tensor(1.6989998, shape=(), dtype=float32)","tf.Tensor(1.3497199, shape=(), dtype=float32)","tf.Tensor(1.3699869, shape=(), dtype=float32)"
24,"tf.Tensor(1.649635, shape=(), dtype=float32)","tf.Tensor(1.6742579, shape=(), dtype=float32)","tf.Tensor(1.3242304, shape=(), dtype=float32)","tf.Tensor(1.3472497, shape=(), dtype=float32)"
25,"tf.Tensor(1.6212149, shape=(), dtype=float32)","tf.Tensor(1.6508616, shape=(), dtype=float32)","tf.Tensor(1.3002448, shape=(), dtype=float32)","tf.Tensor(1.3258638, shape=(), dtype=float32)"
26,"tf.Tensor(1.5940157, shape=(), dtype=float32)","tf.Tensor(1.6277826, shape=(), dtype=float32)","tf.Tensor(1.2774265, shape=(), dtype=float32)","tf.Tensor(1.3053064, shape=(), dtype=float32)"
27,"tf.Tensor(1.56692, shape=(), dtype=float32)","tf.Tensor(1.6043606, shape=(), dtype=float32)","tf.Tensor(1.2545723, shape=(), dtype=float32)","tf.Tensor(1.2856069, shape=(), dtype=float32)"
28,"tf.Tensor(1.539875, shape=(), dtype=float32)","tf.Tensor(1.5813167, shape=(), dtype=float32)","tf.Tensor(1.2315482, shape=(), dtype=float32)","tf.Tensor(1.2660481, shape=(), dtype=float32)"
29,"tf.Tensor(1.5129012, shape=(), dtype=float32)","tf.Tensor(1.5578636, shape=(), dtype=float32)","tf.Tensor(1.2084696, shape=(), dtype=float32)","tf.Tensor(1.2463166, shape=(), dtype=float32)"
30,"tf.Tensor(1.485395, shape=(), dtype=float32)","tf.Tensor(1.5349767, shape=(), dtype=float32)","tf.Tensor(1.1849904, shape=(), dtype=float32)","tf.Tensor(1.2270308, shape=(), dtype=float32)"
31,"tf.Tensor(1.4575938, shape=(), dtype=float32)","tf.Tensor(1.5117091, shape=(), dtype=float32)","tf.Tensor(1.1611603, shape=(), dtype=float32)","tf.Tensor(1.2071548, shape=(), dtype=float32)"
32,"tf.Tensor(1.429211, shape=(), dtype=float32)","tf.Tensor(1.4872066, shape=(), dtype=float32)","tf.Tensor(1.1367193, shape=(), dtype=float32)","tf.Tensor(1.1865138, shape=(), dtype=float32)"
33,"tf.Tensor(1.4007182, shape=(), dtype=float32)","tf.Tensor(1.4627208, shape=(), dtype=float32)","tf.Tensor(1.1120774, shape=(), dtype=float32)","tf.Tensor(1.1648585, shape=(), dtype=float32)"
34,"tf.Tensor(1.3722541, shape=(), dtype=float32)","tf.Tensor(1.4378337, shape=(), dtype=float32)","tf.Tensor(1.0875173, shape=(), dtype=float32)","tf.Tensor(1.1423463, shape=(), dtype=float32)"
35,"tf.Tensor(1.3442066, shape=(), dtype=float32)","tf.Tensor(1.4127369, shape=(), dtype=float32)","tf.Tensor(1.0631765, shape=(), dtype=float32)","tf.Tensor(1.1189878, shape=(), dtype=float32)"
36,"tf.Tensor(1.3169725, shape=(), dtype=float32)","tf.Tensor(1.3884232, shape=(), dtype=float32)","tf.Tensor(1.0394816, shape=(), dtype=float32)","tf.Tensor(1.0967339, shape=(), dtype=float32)"
37,"tf.Tensor(1.2904787, shape=(), dtype=float32)","tf.Tensor(1.3648925, shape=(), dtype=float32)","tf.Tensor(1.0163715, shape=(), dtype=float32)","tf.Tensor(1.0752382, shape=(), dtype=float32)"
38,"tf.Tensor(1.2650946, shape=(), dtype=float32)","tf.Tensor(1.3418851, shape=(), dtype=float32)","tf.Tensor(0.9943178, shape=(), dtype=float32)","tf.Tensor(1.0542234, shape=(), dtype=float32)"
39,"tf.Tensor(1.2418242, shape=(), dtype=float32)","tf.Tensor(1.321124, shape=(), dtype=float32)","tf.Tensor(0.97361356, shape=(), dtype=float32)","tf.Tensor(1.0345103, shape=(), dtype=float32)"
40,"tf.Tensor(1.2203809, shape=(), dtype=float32)","tf.Tensor(1.3018355, shape=(), dtype=float32)","tf.Tensor(0.9546707, shape=(), dtype=float32)","tf.Tensor(1.0168438, shape=(), dtype=float32)"
41,"tf.Tensor(1.2010974, shape=(), dtype=float32)","tf.Tensor(1.2852677, shape=(), dtype=float32)","tf.Tensor(0.93777245, shape=(), dtype=float32)","tf.Tensor(1.0015708, shape=(), dtype=float32)"
42,"tf.Tensor(1.1828449, shape=(), dtype=float32)","tf.Tensor(1.2693566, shape=(), dtype=float32)","tf.Tensor(0.9217033, shape=(), dtype=float32)","tf.Tensor(0.98714876, shape=(), dtype=float32)"
43,"tf.Tensor(1.1659209, shape=(), dtype=float32)","tf.Tensor(1.2554188, shape=(), dtype=float32)","tf.Tensor(0.90667933, shape=(), dtype=float32)","tf.Tensor(0.9741021, shape=(), dtype=float32)"
44,"tf.Tensor(1.1497339, shape=(), dtype=float32)","tf.Tensor(1.2422872, shape=(), dtype=float32)","tf.Tensor(0.8924161, shape=(), dtype=float32)","tf.Tensor(0.9613198, shape=(), dtype=float32)"
45,"tf.Tensor(1.1342901, shape=(), dtype=float32)","tf.Tensor(1.2301414, shape=(), dtype=float32)","tf.Tensor(0.87892956, shape=(), dtype=float32)","tf.Tensor(0.9494938, shape=(), dtype=float32)"
46,"tf.Tensor(1.1193801, shape=(), dtype=float32)","tf.Tensor(1.2184379, shape=(), dtype=float32)","tf.Tensor(0.8658065, shape=(), dtype=float32)","tf.Tensor(0.9385302, shape=(), dtype=float32)"
47,"tf.Tensor(1.1050218, shape=(), dtype=float32)","tf.Tensor(1.2075713, shape=(), dtype=float32)","tf.Tensor(0.85324264, shape=(), dtype=float32)","tf.Tensor(0.9279963, shape=(), dtype=float32)"
48,"tf.Tensor(1.0913335, shape=(), dtype=float32)","tf.Tensor(1.1973224, shape=(), dtype=float32)","tf.Tensor(0.84105706, shape=(), dtype=float32)","tf.Tensor(0.91824955, shape=(), dtype=float32)"
49,"tf.Tensor(1.078216, shape=(), dtype=float32)","tf.Tensor(1.1872748, shape=(), dtype=float32)","tf.Tensor(0.82947934, shape=(), dtype=float32)","tf.Tensor(0.9085508, shape=(), dtype=float32)"
