epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
0,2.7071960709670084e-06,2.7071960709670084e-06,"tf.Tensor(0.44071203, shape=(), dtype=float32)","tf.Tensor(0.45175016, shape=(), dtype=float32)"
1,2.6475381806173893e-06,5.354734251584397e-06,"tf.Tensor(0.43252543, shape=(), dtype=float32)","tf.Tensor(0.44581142, shape=(), dtype=float32)"
2,2.624718183599014e-06,7.979452435183411e-06,"tf.Tensor(0.4191224, shape=(), dtype=float32)","tf.Tensor(0.4366827, shape=(), dtype=float32)"
3,2.5841107549934487e-06,1.0563563190176861e-05,"tf.Tensor(0.40594473, shape=(), dtype=float32)","tf.Tensor(0.42960918, shape=(), dtype=float32)"
4,2.5863215515850347e-06,1.3149884741761896e-05,"tf.Tensor(0.3976978, shape=(), dtype=float32)","tf.Tensor(0.4266674, shape=(), dtype=float32)"
5,2.5828916317836085e-06,1.5732776373545505e-05,"tf.Tensor(0.39302915, shape=(), dtype=float32)","tf.Tensor(0.42554805, shape=(), dtype=float32)"
6,2.5993397148468166e-06,1.833211608839232e-05,"tf.Tensor(0.3903864, shape=(), dtype=float32)","tf.Tensor(0.42499214, shape=(), dtype=float32)"
7,2.737550535472209e-06,2.106966662386453e-05,"tf.Tensor(0.3885508, shape=(), dtype=float32)","tf.Tensor(0.424877, shape=(), dtype=float32)"
8,2.5486098079035696e-06,2.3618276431768097e-05,"tf.Tensor(0.38744053, shape=(), dtype=float32)","tf.Tensor(0.424288, shape=(), dtype=float32)"
9,2.5729559886930273e-06,2.6191232420461126e-05,"tf.Tensor(0.38662755, shape=(), dtype=float32)","tf.Tensor(0.42450735, shape=(), dtype=float32)"
10,2.568969007884664e-06,2.876020142834579e-05,"tf.Tensor(0.3860571, shape=(), dtype=float32)","tf.Tensor(0.42445454, shape=(), dtype=float32)"
11,2.5761532211611425e-06,3.133635464950693e-05,"tf.Tensor(0.3856035, shape=(), dtype=float32)","tf.Tensor(0.42422718, shape=(), dtype=float32)"
12,2.7357930484672402e-06,3.4072147697974173e-05,"tf.Tensor(0.385277, shape=(), dtype=float32)","tf.Tensor(0.42432618, shape=(), dtype=float32)"
13,2.578860650879785e-06,3.6651008348853955e-05,"tf.Tensor(0.38499832, shape=(), dtype=float32)","tf.Tensor(0.4241445, shape=(), dtype=float32)"
14,2.5034083401192277e-06,3.915441668897318e-05,"tf.Tensor(0.3847384, shape=(), dtype=float32)","tf.Tensor(0.42415026, shape=(), dtype=float32)"
15,2.521104322490107e-06,4.1675521011463285e-05,"tf.Tensor(0.38451073, shape=(), dtype=float32)","tf.Tensor(0.42401418, shape=(), dtype=float32)"
16,2.603544628524698e-06,4.427906563998798e-05,"tf.Tensor(0.38438627, shape=(), dtype=float32)","tf.Tensor(0.423892, shape=(), dtype=float32)"
17,2.5558377118693513e-06,4.683490335185733e-05,"tf.Tensor(0.38427448, shape=(), dtype=float32)","tf.Tensor(0.424016, shape=(), dtype=float32)"
18,2.6014067750359293e-06,4.943631012689326e-05,"tf.Tensor(0.38414392, shape=(), dtype=float32)","tf.Tensor(0.42389822, shape=(), dtype=float32)"
19,2.6105659711739314e-06,5.204687609806719e-05,"tf.Tensor(0.38403207, shape=(), dtype=float32)","tf.Tensor(0.4238462, shape=(), dtype=float32)"
20,2.6600345182642815e-06,5.470691061633147e-05,"tf.Tensor(0.38419756, shape=(), dtype=float32)","tf.Tensor(0.42347062, shape=(), dtype=float32)"
21,2.720451682184182e-06,5.7427362298515655e-05,"tf.Tensor(0.38408288, shape=(), dtype=float32)","tf.Tensor(0.4237099, shape=(), dtype=float32)"
22,2.5849282933624497e-06,6.00122905918781e-05,"tf.Tensor(0.3837566, shape=(), dtype=float32)","tf.Tensor(0.42371362, shape=(), dtype=float32)"
23,2.5360782699455048e-06,6.254836886182361e-05,"tf.Tensor(0.38382334, shape=(), dtype=float32)","tf.Tensor(0.42381155, shape=(), dtype=float32)"
24,2.538722987773634e-06,6.508709184959725e-05,"tf.Tensor(0.38368258, shape=(), dtype=float32)","tf.Tensor(0.42370686, shape=(), dtype=float32)"
25,2.5931706414640463e-06,6.768026249106129e-05,"tf.Tensor(0.3835601, shape=(), dtype=float32)","tf.Tensor(0.42350855, shape=(), dtype=float32)"
26,2.778261677686274e-06,7.045852416874757e-05,"tf.Tensor(0.3835031, shape=(), dtype=float32)","tf.Tensor(0.42376307, shape=(), dtype=float32)"
27,2.735903518277106e-06,7.319442768702468e-05,"tf.Tensor(0.38343993, shape=(), dtype=float32)","tf.Tensor(0.4234976, shape=(), dtype=float32)"
28,2.7830100279934997e-06,7.597743771501817e-05,"tf.Tensor(0.3835166, shape=(), dtype=float32)","tf.Tensor(0.42396572, shape=(), dtype=float32)"
