epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,341.1015625,16.7,6.209853410720825,"tf.Tensor(0.44071203, shape=(), dtype=float32)","tf.Tensor(0.45175016, shape=(), dtype=float32)"
1,365.6171875,24.6,6.043562412261963,"tf.Tensor(0.43252543, shape=(), dtype=float32)","tf.Tensor(0.44581142, shape=(), dtype=float32)"
2,368.2109375,24.0,6.022893905639648,"tf.Tensor(0.4191224, shape=(), dtype=float32)","tf.Tensor(0.4366827, shape=(), dtype=float32)"
3,372.92578125,21.6,5.970407009124756,"tf.Tensor(0.40594473, shape=(), dtype=float32)","tf.Tensor(0.42960918, shape=(), dtype=float32)"
4,375.703125,21.0,5.99424934387207,"tf.Tensor(0.3976978, shape=(), dtype=float32)","tf.Tensor(0.4266674, shape=(), dtype=float32)"
5,378.40625,22.1,5.971440553665161,"tf.Tensor(0.39302915, shape=(), dtype=float32)","tf.Tensor(0.42554805, shape=(), dtype=float32)"
6,381.015625,21.7,6.006920576095581,"tf.Tensor(0.3903864, shape=(), dtype=float32)","tf.Tensor(0.42499214, shape=(), dtype=float32)"
7,383.71875,20.5,6.236234188079834,"tf.Tensor(0.3885508, shape=(), dtype=float32)","tf.Tensor(0.424877, shape=(), dtype=float32)"
8,386.34765625,24.9,5.9051642417907715,"tf.Tensor(0.38744053, shape=(), dtype=float32)","tf.Tensor(0.424288, shape=(), dtype=float32)"
9,389.796875,24.7,5.959423065185547,"tf.Tensor(0.38662755, shape=(), dtype=float32)","tf.Tensor(0.42450735, shape=(), dtype=float32)"
10,392.5078125,22.9,5.931259393692017,"tf.Tensor(0.3860571, shape=(), dtype=float32)","tf.Tensor(0.42445454, shape=(), dtype=float32)"
11,395.13671875,24.7,5.943796396255493,"tf.Tensor(0.3856035, shape=(), dtype=float32)","tf.Tensor(0.42422718, shape=(), dtype=float32)"
12,397.78125,22.5,6.222916603088379,"tf.Tensor(0.385277, shape=(), dtype=float32)","tf.Tensor(0.42432618, shape=(), dtype=float32)"
13,400.44921875,31.6,5.92854905128479,"tf.Tensor(0.38499832, shape=(), dtype=float32)","tf.Tensor(0.4241445, shape=(), dtype=float32)"
14,403.140625,22.8,5.822620153427124,"tf.Tensor(0.3847384, shape=(), dtype=float32)","tf.Tensor(0.42415026, shape=(), dtype=float32)"
15,405.7578125,22.7,5.880832195281982,"tf.Tensor(0.38451073, shape=(), dtype=float32)","tf.Tensor(0.42401418, shape=(), dtype=float32)"
16,409.296875,22.4,5.988783597946167,"tf.Tensor(0.38438627, shape=(), dtype=float32)","tf.Tensor(0.423892, shape=(), dtype=float32)"
17,411.921875,23.8,5.89935040473938,"tf.Tensor(0.38427448, shape=(), dtype=float32)","tf.Tensor(0.424016, shape=(), dtype=float32)"
18,414.58984375,23.0,6.022202491760254,"tf.Tensor(0.38414392, shape=(), dtype=float32)","tf.Tensor(0.42389822, shape=(), dtype=float32)"
19,417.296875,21.7,5.97664475440979,"tf.Tensor(0.38403207, shape=(), dtype=float32)","tf.Tensor(0.4238462, shape=(), dtype=float32)"
20,419.8984375,22.4,6.0835041999816895,"tf.Tensor(0.38419756, shape=(), dtype=float32)","tf.Tensor(0.42347062, shape=(), dtype=float32)"
21,422.609375,24.8,6.186772108078003,"tf.Tensor(0.38408288, shape=(), dtype=float32)","tf.Tensor(0.4237099, shape=(), dtype=float32)"
22,425.21484375,26.3,6.027942895889282,"tf.Tensor(0.3837566, shape=(), dtype=float32)","tf.Tensor(0.42371362, shape=(), dtype=float32)"
23,427.859375,24.6,5.8413169384002686,"tf.Tensor(0.38382334, shape=(), dtype=float32)","tf.Tensor(0.42381155, shape=(), dtype=float32)"
24,430.53125,21.5,5.850028038024902,"tf.Tensor(0.38368258, shape=(), dtype=float32)","tf.Tensor(0.42370686, shape=(), dtype=float32)"
25,433.21875,23.1,5.978394508361816,"tf.Tensor(0.3835601, shape=(), dtype=float32)","tf.Tensor(0.42350855, shape=(), dtype=float32)"
26,435.8515625,24.8,6.305358409881592,"tf.Tensor(0.3835031, shape=(), dtype=float32)","tf.Tensor(0.42376307, shape=(), dtype=float32)"
27,438.5234375,29.9,6.198167324066162,"tf.Tensor(0.38343993, shape=(), dtype=float32)","tf.Tensor(0.4234976, shape=(), dtype=float32)"
28,441.2265625,31.6,6.288794279098511,"tf.Tensor(0.3835166, shape=(), dtype=float32)","tf.Tensor(0.42396572, shape=(), dtype=float32)"
29,443.8515625,30.7,6.022433757781982,"tf.Tensor(0.38339624, shape=(), dtype=float32)","tf.Tensor(0.42326608, shape=(), dtype=float32)"
30,446.54296875,26.1,6.001301288604736,"tf.Tensor(0.3833377, shape=(), dtype=float32)","tf.Tensor(0.42336935, shape=(), dtype=float32)"
31,449.22265625,25.4,6.130950689315796,"tf.Tensor(0.38336453, shape=(), dtype=float32)","tf.Tensor(0.42350262, shape=(), dtype=float32)"
32,451.84765625,29.1,6.413197040557861,"tf.Tensor(0.38321543, shape=(), dtype=float32)","tf.Tensor(0.42349982, shape=(), dtype=float32)"
