epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
0,344.59765625,13.3,9.194500923156738,"tf.Tensor(0.4793331, shape=(), dtype=float32)","tf.Tensor(0.1917428, shape=(), dtype=float32)","tf.Tensor(0.49263453, shape=(), dtype=float32)","tf.Tensor(0.1991344, shape=(), dtype=float32)"
1,365.71875,16.6,9.198522567749023,"tf.Tensor(0.4346154, shape=(), dtype=float32)","tf.Tensor(0.25052702, shape=(), dtype=float32)","tf.Tensor(0.44719052, shape=(), dtype=float32)","tf.Tensor(0.25693056, shape=(), dtype=float32)"
2,368.94140625,19.9,9.030071020126343,"tf.Tensor(0.42839494, shape=(), dtype=float32)","tf.Tensor(0.24560821, shape=(), dtype=float32)","tf.Tensor(0.44280705, shape=(), dtype=float32)","tf.Tensor(0.2530104, shape=(), dtype=float32)"
3,372.59375,16.0,9.144643545150757,"tf.Tensor(0.42040026, shape=(), dtype=float32)","tf.Tensor(0.2398606, shape=(), dtype=float32)","tf.Tensor(0.43744195, shape=(), dtype=float32)","tf.Tensor(0.2486294, shape=(), dtype=float32)"
4,375.3515625,17.6,9.092591762542725,"tf.Tensor(0.4115724, shape=(), dtype=float32)","tf.Tensor(0.22641176, shape=(), dtype=float32)","tf.Tensor(0.43235886, shape=(), dtype=float32)","tf.Tensor(0.23705062, shape=(), dtype=float32)"
5,378.890625,16.7,9.1515474319458,"tf.Tensor(0.4041107, shape=(), dtype=float32)","tf.Tensor(0.22465849, shape=(), dtype=float32)","tf.Tensor(0.4287131, shape=(), dtype=float32)","tf.Tensor(0.2370271, shape=(), dtype=float32)"
6,381.515625,17.8,9.095407485961914,"tf.Tensor(0.3988477, shape=(), dtype=float32)","tf.Tensor(0.22411191, shape=(), dtype=float32)","tf.Tensor(0.42673498, shape=(), dtype=float32)","tf.Tensor(0.23793669, shape=(), dtype=float32)"
7,384.140625,16.2,9.117359638214111,"tf.Tensor(0.3953274, shape=(), dtype=float32)","tf.Tensor(0.2246504, shape=(), dtype=float32)","tf.Tensor(0.42583993, shape=(), dtype=float32)","tf.Tensor(0.23981903, shape=(), dtype=float32)"
8,386.83203125,17.5,9.076098680496216,"tf.Tensor(0.392948, shape=(), dtype=float32)","tf.Tensor(0.22262897, shape=(), dtype=float32)","tf.Tensor(0.42556927, shape=(), dtype=float32)","tf.Tensor(0.23890169, shape=(), dtype=float32)"
9,389.5234375,18.4,9.109453439712524,"tf.Tensor(0.39130884, shape=(), dtype=float32)","tf.Tensor(0.22271578, shape=(), dtype=float32)","tf.Tensor(0.4251043, shape=(), dtype=float32)","tf.Tensor(0.23957069, shape=(), dtype=float32)"
