epoch,train_rmse,valid_rmse
0,"tf.Tensor(0.44071203, shape=(), dtype=float32)","tf.Tensor(0.45175016, shape=(), dtype=float32)"
1,"tf.Tensor(0.43252543, shape=(), dtype=float32)","tf.Tensor(0.44581142, shape=(), dtype=float32)"
2,"tf.Tensor(0.4191224, shape=(), dtype=float32)","tf.Tensor(0.4366827, shape=(), dtype=float32)"
3,"tf.Tensor(0.40594473, shape=(), dtype=float32)","tf.Tensor(0.42960918, shape=(), dtype=float32)"
4,"tf.Tensor(0.3976978, shape=(), dtype=float32)","tf.Tensor(0.4266674, shape=(), dtype=float32)"
5,"tf.Tensor(0.39302915, shape=(), dtype=float32)","tf.Tensor(0.42554805, shape=(), dtype=float32)"
6,"tf.Tensor(0.3903864, shape=(), dtype=float32)","tf.Tensor(0.42499214, shape=(), dtype=float32)"
7,"tf.Tensor(0.3885508, shape=(), dtype=float32)","tf.Tensor(0.424877, shape=(), dtype=float32)"
8,"tf.Tensor(0.38744053, shape=(), dtype=float32)","tf.Tensor(0.424288, shape=(), dtype=float32)"
9,"tf.Tensor(0.38662755, shape=(), dtype=float32)","tf.Tensor(0.42450735, shape=(), dtype=float32)"
10,"tf.Tensor(0.3860571, shape=(), dtype=float32)","tf.Tensor(0.42445454, shape=(), dtype=float32)"
11,"tf.Tensor(0.3856035, shape=(), dtype=float32)","tf.Tensor(0.42422718, shape=(), dtype=float32)"
12,"tf.Tensor(0.385277, shape=(), dtype=float32)","tf.Tensor(0.42432618, shape=(), dtype=float32)"
13,"tf.Tensor(0.38499832, shape=(), dtype=float32)","tf.Tensor(0.4241445, shape=(), dtype=float32)"
14,"tf.Tensor(0.3847384, shape=(), dtype=float32)","tf.Tensor(0.42415026, shape=(), dtype=float32)"
15,"tf.Tensor(0.38451073, shape=(), dtype=float32)","tf.Tensor(0.42401418, shape=(), dtype=float32)"
16,"tf.Tensor(0.38438627, shape=(), dtype=float32)","tf.Tensor(0.423892, shape=(), dtype=float32)"
17,"tf.Tensor(0.38427448, shape=(), dtype=float32)","tf.Tensor(0.424016, shape=(), dtype=float32)"
18,"tf.Tensor(0.38414392, shape=(), dtype=float32)","tf.Tensor(0.42389822, shape=(), dtype=float32)"
19,"tf.Tensor(0.38403207, shape=(), dtype=float32)","tf.Tensor(0.4238462, shape=(), dtype=float32)"
20,"tf.Tensor(0.38419756, shape=(), dtype=float32)","tf.Tensor(0.42347062, shape=(), dtype=float32)"
21,"tf.Tensor(0.38408288, shape=(), dtype=float32)","tf.Tensor(0.4237099, shape=(), dtype=float32)"
