epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
0,2.3933202419655466e-05,2.3933202419655466e-05,"tf.Tensor(0.9056483, shape=(), dtype=float32)","tf.Tensor(0.7178014, shape=(), dtype=float32)","tf.Tensor(0.91240484, shape=(), dtype=float32)","tf.Tensor(0.72243476, shape=(), dtype=float32)"
1,2.3753639045046936e-05,4.7686841464702405e-05,"tf.Tensor(0.89639807, shape=(), dtype=float32)","tf.Tensor(0.7099844, shape=(), dtype=float32)","tf.Tensor(0.90530056, shape=(), dtype=float32)","tf.Tensor(0.7164426, shape=(), dtype=float32)"
2,2.428550649023092e-05,7.197234795493332e-05,"tf.Tensor(0.89485425, shape=(), dtype=float32)","tf.Tensor(0.70872366, shape=(), dtype=float32)","tf.Tensor(0.90381557, shape=(), dtype=float32)","tf.Tensor(0.7152118, shape=(), dtype=float32)"
3,2.376660041891549e-05,9.573894837384881e-05,"tf.Tensor(0.8943933, shape=(), dtype=float32)","tf.Tensor(0.7073624, shape=(), dtype=float32)","tf.Tensor(0.90339816, shape=(), dtype=float32)","tf.Tensor(0.71358246, shape=(), dtype=float32)"
4,2.448666892769727e-05,0.00012022561730154608,"tf.Tensor(0.894223, shape=(), dtype=float32)","tf.Tensor(0.7077698, shape=(), dtype=float32)","tf.Tensor(0.9036718, shape=(), dtype=float32)","tf.Tensor(0.71457607, shape=(), dtype=float32)"
5,2.40831417037625e-05,0.00014430875900530858,"tf.Tensor(0.8942231, shape=(), dtype=float32)","tf.Tensor(0.70781726, shape=(), dtype=float32)","tf.Tensor(0.9034028, shape=(), dtype=float32)","tf.Tensor(0.71430063, shape=(), dtype=float32)"
6,2.43798912345424e-05,0.00016868865023985099,"tf.Tensor(0.8940543, shape=(), dtype=float32)","tf.Tensor(0.7070518, shape=(), dtype=float32)","tf.Tensor(0.9032854, shape=(), dtype=float32)","tf.Tensor(0.7134865, shape=(), dtype=float32)"
7,2.4124626754623832e-05,0.00019281327699447481,"tf.Tensor(0.8940869, shape=(), dtype=float32)","tf.Tensor(0.7072255, shape=(), dtype=float32)","tf.Tensor(0.90363336, shape=(), dtype=float32)","tf.Tensor(0.71398985, shape=(), dtype=float32)"
8,2.4636219660213927e-05,0.00021744949665468874,"tf.Tensor(0.89409035, shape=(), dtype=float32)","tf.Tensor(0.70816547, shape=(), dtype=float32)","tf.Tensor(0.9037842, shape=(), dtype=float32)","tf.Tensor(0.7151462, shape=(), dtype=float32)"
9,2.3902684141272878e-05,0.0002413521807959616,"tf.Tensor(0.89386994, shape=(), dtype=float32)","tf.Tensor(0.70692897, shape=(), dtype=float32)","tf.Tensor(0.9032277, shape=(), dtype=float32)","tf.Tensor(0.71345377, shape=(), dtype=float32)"
10,2.396528521743868e-05,0.0002653174660134003,"tf.Tensor(0.893893, shape=(), dtype=float32)","tf.Tensor(0.70752865, shape=(), dtype=float32)","tf.Tensor(0.90318877, shape=(), dtype=float32)","tf.Tensor(0.7140808, shape=(), dtype=float32)"
11,2.39842305428339e-05,0.0002893016965562342,"tf.Tensor(0.895797, shape=(), dtype=float32)","tf.Tensor(0.7054255, shape=(), dtype=float32)","tf.Tensor(0.905244, shape=(), dtype=float32)","tf.Tensor(0.7119807, shape=(), dtype=float32)"
12,2.3872015343003907e-05,0.0003131737118992381,"tf.Tensor(0.8940996, shape=(), dtype=float32)","tf.Tensor(0.7082237, shape=(), dtype=float32)","tf.Tensor(0.90354735, shape=(), dtype=float32)","tf.Tensor(0.7149154, shape=(), dtype=float32)"
13,2.3841453719075292e-05,0.0003370151656183134,"tf.Tensor(0.89388406, shape=(), dtype=float32)","tf.Tensor(0.7074877, shape=(), dtype=float32)","tf.Tensor(0.9034917, shape=(), dtype=float32)","tf.Tensor(0.71445465, shape=(), dtype=float32)"
14,2.4137545440328096e-05,0.0003611527110586415,"tf.Tensor(0.8939286, shape=(), dtype=float32)","tf.Tensor(0.7077257, shape=(), dtype=float32)","tf.Tensor(0.9032092, shape=(), dtype=float32)","tf.Tensor(0.7143653, shape=(), dtype=float32)"
15,2.336691004470609e-05,0.00038451962110334757,"tf.Tensor(0.89391667, shape=(), dtype=float32)","tf.Tensor(0.7065462, shape=(), dtype=float32)","tf.Tensor(0.90320176, shape=(), dtype=float32)","tf.Tensor(0.71313614, shape=(), dtype=float32)"
16,2.4133510117115657e-05,0.00040865313122046324,"tf.Tensor(0.88474417, shape=(), dtype=float32)","tf.Tensor(0.6976471, shape=(), dtype=float32)","tf.Tensor(0.8964629, shape=(), dtype=float32)","tf.Tensor(0.7060491, shape=(), dtype=float32)"
17,2.4077620881270642e-05,0.0004327307521017339,"tf.Tensor(0.86976296, shape=(), dtype=float32)","tf.Tensor(0.68949676, shape=(), dtype=float32)","tf.Tensor(0.88666964, shape=(), dtype=float32)","tf.Tensor(0.70169383, shape=(), dtype=float32)"
18,2.413396311890057e-05,0.0004568647152206345,"tf.Tensor(0.8581798, shape=(), dtype=float32)","tf.Tensor(0.67596126, shape=(), dtype=float32)","tf.Tensor(0.8806451, shape=(), dtype=float32)","tf.Tensor(0.6922608, shape=(), dtype=float32)"
