epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,2.16325952385111e-07,2.16325952385111e-07,9930561.0,12.459228961747957,12.179024878322714
1,1.128991678637105e-07,3.292251202488215e-07,8897304.5,11.889750783978423,11.597796893801668
2,1.1618084610565103e-07,4.4540596635447254e-07,7830010.0,11.260610612878777,10.954415767327449
3,1.0674691710253638e-07,5.52152883457009e-07,6673763.25,10.562771474786661,10.239335655152654
4,1.1019323047567007e-07,6.623461139326791e-07,5506795.0,9.804130185084084,9.460670304428383
5,1.119236696503815e-07,7.742697835830605e-07,4406477.75,9.001559939407514,8.638584586492728
6,1.187865887708855e-07,8.930563723539461e-07,3451599.75,8.1755680567666,7.793195470283574
7,1.1330542275783677e-07,1.0063617951117827e-06,2628595.375,7.34668405646736,6.948710234245384
8,1.2969377698511814e-07,1.1360555720969008e-06,1947968.0625,6.533968192543931,6.124029151008918
9,1.185789298299447e-07,1.2546345019268454e-06,1416189.0,5.754567480722155,5.33890692421258
10,1.1191782820711719e-07,1.3665523301339625e-06,986469.75,5.0249310011114305,4.6100960256233385
11,1.1555647885594438e-07,1.482108808989907e-06,680881.0,4.3593514377110285,3.9494104687970615
12,1.1242265729478282e-07,1.5945314662846898e-06,473952.609375,3.770094022638151,3.366354618852845
13,1.19243228749427e-07,1.7137746950341168e-06,340171.296875,3.265156369914669,2.8664150483131055
14,1.1604834042081244e-07,1.8298230354549292e-06,267689.9140625,2.8500221106729886,2.453704640299572
15,1.1806346100231145e-07,1.947886496457241e-06,235742.703125,2.5253064700386876,2.1269775109224103
16,9.999667254817106e-08,2.047883169005412e-06,227522.5703125,2.286272870308573,1.8798828330878916
17,1.1310267261930244e-07,2.1609858416247143e-06,228189.09375,2.1222122895316637,1.7035550151045762
18,1.1364581826071039e-07,2.2746316598854247e-06,238328.0234375,2.0191990746204596,1.5847256101779412
19,1.1814365795365886e-07,2.3927753178390835e-06,239851.8046875,1.962655118141959,1.5136380470012742
20,1.1025416264059769e-07,2.5030294804796813e-06,248229.7265625,1.9403261614483422,1.479863582058813
21,1.0911493683528868e-07,2.61214441731497e-06,252584.875,1.9430274034561923,1.4751214089157445
22,1.125745746521693e-07,2.7247189919671396e-06,240024.1875,1.9648087458004657,1.4934657899691424
23,1.1185171669670378e-07,2.8365707086638436e-06,233904.015625,2.0011080693185623,1.530272975258324
24,1.1548387118277221e-07,2.952054579846616e-06,223768.8984375,2.0488051741199165,1.5819265230749346
25,1.1448198246818803e-07,3.066536562314804e-06,212536.6015625,2.1039426159249364,1.6440688575334148
26,1.1574139525501293e-07,3.182277957569817e-06,203986.6171875,2.163436074555545,1.713360674399762
27,1.0840412068284364e-07,3.2906820782526603e-06,190001.78125,2.2242509613431776,1.7857927162509333
28,1.1212765350528719e-07,3.4028097317579476e-06,186289.4375,2.282428880893415,1.8560177560897746
29,1.1342890491831265e-07,3.5162386366762604e-06,177909.0625,2.3351259661836443,1.9211140997835898
30,1.1175735221182582e-07,3.627995988888086e-06,175988.7109375,2.3814332553332846,1.9787416777247708
31,1.1591839816192605e-07,3.7439143870500123e-06,172264.7421875,2.4187037347321154,2.026100888278255
32,1.0991624266999792e-07,3.8538306297200105e-06,173174.703125,2.4467489769450808,2.062732089350127
33,1.120374339431969e-07,3.965868063663208e-06,169119.921875,2.465736818929055,2.0884785932283747
34,1.1589988718880794e-07,4.081767950852016e-06,173992.8828125,2.4758003174461627,2.10341141835706
35,1.0826387279297668e-07,4.190031823644992e-06,171933.8125,2.4781394563040657,2.1088332818916427
36,1.215281821169158e-07,4.311560005761908e-06,168656.3984375,2.47365712694377,2.106023495297757
37,1.0298762256708795e-07,4.4145476283289955e-06,173540.4140625,2.46516286388685,2.0979795765797458
38,1.122268368079235e-07,4.526774465136919e-06,174024.1015625,2.453204298241357,2.085505233974647
39,9.868733340803302e-08,4.625461798544952e-06,170951.34375,2.4394684154230384,2.070538256937685
40,1.0750506722629655e-07,4.732966865771249e-06,173533.2421875,2.4253555031593343,2.054662563921541
41,1.0681442698451388e-07,4.839781292755763e-06,170275.484375,2.4109079177494177,2.0382093885891805
42,1.0481109443365668e-07,4.944592387189419e-06,172504.8203125,2.3972367855598056,2.0224552375621263
43,1.1842564667590295e-07,5.063018033865322e-06,170642.65625,2.3853479114191103,2.008384197867747
44,1.1032303007575964e-07,5.173341063941082e-06,172041.8515625,2.375213246293088,1.996345428580212
45,1.082946991723524e-07,5.2816357631134344e-06,172063.7109375,2.367232826051682,1.9867238279213815
46,1.1451983039959151e-07,5.396155593513026e-06,171056.03125,2.3614116945341554,1.9796054501494733
47,1.0169793162668088e-07,5.497853525139707e-06,166753.21875,2.3581580306896224,1.9753097726795992
48,1.076286720944043e-07,5.605482197234112e-06,168434.703125,2.3564245122055745,1.9727266985152658
49,1.1268719927068292e-07,5.7181693965047945e-06,170039.6875,2.3562292848267923,1.971883358840382
