epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,7.062182864563931e-06,7.062182864563931e-06,0.6927516750387244,6.03975301962496,3.8538568127466277
1,7.023424365623348e-06,1.408560723018728e-05,0.6916206720713023,4.266342152813092,3.654168441533639
2,7.061414004448379e-06,2.1147021234635658e-05,0.6874179695103619,4.1072953596714274,3.1309180649706265
3,7.330395136450234e-06,2.8477416371085893e-05,0.6737453309265343,4.326236348064947,3.1325149970653294
4,7.335119648145455e-06,3.581253601923135e-05,0.6539673241409095,4.352454081664222,3.2128494128628127
5,7.255484334239974e-06,4.3068020353471324e-05,0.6402961619802423,4.422789140820819,3.3095633571444725
6,7.041240050915122e-06,5.010926040438645e-05,0.6322550177574158,4.134359027167194,3.393488356841586
7,6.961402004437368e-06,5.707066240882382e-05,0.6224372918541367,4.259814797549553,3.5836297935948966
8,7.055072732652834e-06,6.412573514147665e-05,0.6131472507038632,3.9245006619321416,3.7836556529813414
9,6.9926671329771005e-06,7.111840227445376e-05,0.6053734018995955,3.9461341191423793,2.9968910567833165
10,7.042950882343e-06,7.816135315679676e-05,0.5986272861828675,4.562768411491521,2.789953588771673
11,6.99287841417393e-06,8.51542315709707e-05,0.5934802978425413,3.8302847980218604,3.223024269134653
12,6.988560195245184e-06,9.214279176621588e-05,0.5882416931358544,3.7389883964379758,2.8509758438918587
13,7.007611402419143e-06,9.915040316863502e-05,0.5829016018558193,3.716548805482354,3.1138297835738378
14,7.008673663760941e-06,0.00010615907683239595,0.5799640674848814,3.6949413140728247,3.031607595217772
15,7.0053834827395765e-06,0.00011316446031513553,0.577869960585156,4.1197954527949765,2.8179283065391973
16,7.121428126089379e-06,0.0001202858884412249,0.5719404864955593,4.30508883981449,2.8167934495100257
17,7.34161426671787e-06,0.00012762750270794277,0.568853908293956,3.9187918302047766,3.199624610902992
18,7.04702398338865e-06,0.0001346745266913314,0.5648971489957861,3.9872657661792417,2.9724197446449496
19,7.0301814153159595e-06,0.00014170470810664736,0.5629488302243723,4.039537848811835,3.089560282561849
20,6.976697159700097e-06,0.00014868140526634745,0.5585279158643774,4.062123602816881,2.8341447131959367
21,6.9914885111774265e-06,0.00015567289377752487,0.5542634806117496,3.975814067992339,2.952485709314191
22,7.116815365088322e-06,0.0001627897091426132,0.5501056418225572,4.154776556142885,2.9320043694740896
23,6.983592911094688e-06,0.00016977330205370788,0.544599315604648,4.057479523503875,2.6096847747987746
24,7.02643755558542e-06,0.0001767997396092933,0.5384399399564073,3.7113758251379507,3.3704292043252235
25,6.981304566214302e-06,0.0001837810441755076,0.5363405274378287,3.6947220008655175,2.79166580648104
26,7.01035984954851e-06,0.0001907914040250561,0.529838913195842,4.099977214222719,3.2423767050631733
27,6.993486148286306e-06,0.00019778489017334243,0.5262317093642982,3.3524766165255984,3.199555222681021
28,7.0078707520269425e-06,0.00020479276092536937,0.5185346651721645,3.9455749472797326,3.322874380299716
29,7.0297286849602026e-06,0.00021182248961032957,0.5144618032751856,3.677638375897332,3.4117704967132774
30,7.006376039672822e-06,0.00021882886565000238,0.5090205818414688,3.7700328683150253,3.2000848264817816
31,6.962240986616877e-06,0.00022579110663661925,0.5038118068430875,3.918983480187665,2.848074363572034
32,6.981139509367691e-06,0.00023277224614598693,0.5004745653352222,4.079118610301401,3.0849576203772062
33,6.9803597462133816e-06,0.00023975260589220032,0.4926932280933535,4.5203247682957155,3.0437378822746415
34,6.987266256879389e-06,0.00024673987214907973,0.4893162939194086,3.9271653850815444,3.2589273756874686
35,7.008853984286964e-06,0.0002537487261333667,0.484326991277772,4.409186964266293,3.2731163969034616
36,6.978765064040339e-06,0.000260727491197407,0.4779962434156521,4.976400772933886,2.9526480641276422
37,7.050483017255245e-06,0.00026777797421466225,0.4728853887802846,3.7132167317895517,3.7196284285108723
38,7.042004922106254e-06,0.0002748199791367685,0.46701722934439377,4.413801833849415,3.2283766281297384
39,7.008545756767907e-06,0.00028182852489353643,0.46233514273488846,4.474987861159369,3.9374328421902183
40,7.106988684499956e-06,0.00028893551357803637,0.4568947122709171,3.777041244707826,3.4401838037826202
41,6.985810336207359e-06,0.0002959213239142437,0.45066661206451625,4.227019134096805,2.87420558990438
42,7.0310381015267284e-06,0.00030295236201577044,0.44645772028613734,4.845253097345769,4.1015791713826
43,7.025585451167843e-06,0.00030997794746693826,0.4415883458143956,5.161694786747158,3.229295905957284
44,7.009261518096368e-06,0.00031698720898503465,0.4367440753691905,3.967278119010519,3.748887012976751
45,7.026703230125328e-06,0.00032401391221515997,0.430790705052582,3.3649999995380004,4.157431481388534
46,7.060886921777609e-06,0.00033107479913693755,0.42767506274017125,3.9771177764628503,2.795185396947897
47,7.01232625331691e-06,0.0003380871253902545,0.42191544336241643,4.665115877682989,3.8178870104244225
48,7.055860746150328e-06,0.0003451429861364048,0.4163498677111961,4.291359616241057,3.099645151360586
49,6.980605448984946e-06,0.00035212359158538976,0.4129902974173829,3.872310262132836,2.609118991275092
