epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,9.7079107588274e-08,9.7079107588274e-08,384799.234375,6.51492261134998,6.194305672039837
1,5.3044311256264284e-08,1.5012341884453828e-07,340066.890625,5.98460771662137,5.643104982468509
2,4.0788195940850026e-08,1.909116147853883e-07,265062.2890625,5.443666935522587,5.078909101554448
3,4.74639551183454e-08,2.3837556990373372e-07,200260.203125,4.890448625057283,4.502435234521355
4,8.39346121229359e-08,3.2231018202666963e-07,138316.76171875,4.332844396349689,3.9226863426186886
5,4.740536520441496e-08,3.6971554723108456e-07,102288.40234375,3.7823425935018493,3.3560372190810983
6,5.504956708590723e-08,4.247651143169918e-07,64433.0390625,3.2609894905634835,2.8322535370102795
7,8.591725765366428e-08,5.106823719706561e-07,39760.513671875,2.794874829168407,2.3703021654147225
8,4.6249801690211454e-08,5.569321736608675e-07,33406.732421875,2.4044132493909434,2.0016041801454914
9,8.21790904559803e-08,6.391112641168478e-07,27512.3525390625,2.1024431967600505,1.7331515547059162
10,8.769458344002625e-08,7.268058475568741e-07,29397.732421875,1.8903558696539087,1.5507756247716642
11,5.081407998645873e-08,7.776199275433328e-07,31547.7021484375,1.7597802731197119,1.4408014602581518
12,7.059358387378978e-08,8.482135114171226e-07,32530.7548828125,1.6972814901664781,1.388074905017905
13,8.219497345757843e-08,9.30408484874701e-07,30575.4521484375,1.6906263296540271,1.3831917598408179
14,8.205942949717952e-08,1.0124679143718806e-06,25890.9404296875,1.7271266123192404,1.4173095136720935
15,5.074347187000559e-08,1.0632113862418862e-06,26116.7646484375,1.796875241670603,1.4812403554069051
16,5.01971842485404e-08,1.1134085704904265e-06,24832.3544921875,1.8861770731123382,1.5677526187669257
17,4.652018946447504e-08,1.1599287599549017e-06,23671.96875,1.9831846083711158,1.6637033167948805
18,4.162070747038979e-08,1.2015494674252915e-06,21579.0087890625,2.080909455714163,1.761284392435919
19,4.488512701717429e-08,1.2464345944424658e-06,20336.9755859375,2.168052472212627,1.8508200440722415
20,6.939151679337127e-08,1.3158261112358372e-06,21480.880859375,2.2309993121375484,1.916786692365693
21,5.5133020717335634e-08,1.370959131953173e-06,20908.9052734375,2.2738645024690753,1.9629257525015815
22,9.798398323671822e-08,1.468943115189891e-06,19030.2431640625,2.3023609953507584,1.9938386013341505
23,4.531745055355455e-08,1.5142605657434455e-06,18424.0654296875,2.318001611449321,2.010803220594789
24,8.311397733616043e-08,1.5973745430796059e-06,17432.16943359375,2.324703497939717,2.0180792696929504
25,4.637903148406543e-08,1.6437535745636714e-06,18370.6455078125,2.32089684570802,2.014316642220417
26,6.907655472587562e-08,1.712830129289547e-06,18795.7294921875,2.307038803105541,2.0003554740688525
27,6.605744893053478e-08,1.7788875782200819e-06,16541.93603515625,2.290184628096773,1.9833617515342181
28,8.990517418559907e-08,1.868792752405681e-06,16817.3994140625,2.2726309947293135,1.9656720472078772
29,7.637115127870752e-08,1.9451639036843883e-06,16316.94970703125,2.255103854781391,1.9481880250400778
30,6.335959978032335e-08,2.0085235034647116e-06,16609.08349609375,2.2450098943167,1.9384022547364164
31,5.576169951309777e-08,2.0642852029778095e-06,16524.796875,2.2451068714714624,1.9388180190634003
32,4.4796555624672585e-08,2.109081758602482e-06,14029.7998046875,2.2449016754156803,1.939018303465118
33,4.669077172454809e-08,2.1557725303270304e-06,14589.654296875,2.248607279111937,1.9430026147219135
34,4.613947907209734e-08,2.2019120093991277e-06,14924.28662109375,2.254912034710771,1.9494273332022598
35,4.62620654293785e-08,2.2481740748285063e-06,14884.20068359375,2.261923448155049,1.95636055159583
36,4.680163633103524e-08,2.2949757111595418e-06,14236.078125,2.270132599766818,1.964382259989325
37,4.348850393066072e-08,2.3384642150902023e-06,13490.63720703125,2.2796363087241955,1.9733982163664125
38,4.620857583537554e-08,2.384672790925578e-06,13084.56884765625,2.2922292256986054,1.9853917820935598
39,4.7049801751334835e-08,2.431722592676913e-06,12915.12060546875,2.298239713520206,1.9911387234695197
40,4.49490152396495e-08,2.4766716079165625e-06,12656.091796875,2.2959762870300273,1.9888390894084014
41,4.685335984037917e-08,2.5235249677569418e-06,12036.2431640625,2.288765325343311,1.9817557678239717
42,3.9972919978421436e-08,2.5634978877353633e-06,11434.1728515625,2.280447661980764,1.9736625979752789
43,4.454080124763879e-08,2.608038688983002e-06,12045.19482421875,2.278346699702604,1.971845756845241
44,4.2171680822112284e-08,2.6502103698051144e-06,11949.24365234375,2.27601301436107,1.969782365882546
45,4.195444590598969e-08,2.6921648157111043e-06,10320.02099609375,2.27165075405872,1.9657832035793743
46,4.667008335690631e-08,2.7388348990680104e-06,11749.99462890625,2.27128032349623,1.965499381686366
47,4.206002224841866e-08,2.780894921316429e-06,10819.49853515625,2.264650205311024,1.959000932295975
48,4.6165782905670856e-08,2.8270607042221e-06,11265.08837890625,2.2572703631039492,1.9517658380219534
49,4.473044549392939e-08,2.8717911497160293e-06,10573.255859375,2.252022661908993,1.9465283783831338
