epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
0,5.336864744537466e-07,5.336864744537466e-07,"tf.Tensor(6.9615936, shape=(), dtype=float32)","tf.Tensor(6.673062, shape=(), dtype=float32)","tf.Tensor(7.0131226, shape=(), dtype=float32)","tf.Tensor(6.736146, shape=(), dtype=float32)"
1,4.99599605507578e-07,1.0332860799613247e-06,"tf.Tensor(6.2174463, shape=(), dtype=float32)","tf.Tensor(5.899308, shape=(), dtype=float32)","tf.Tensor(6.267249, shape=(), dtype=float32)","tf.Tensor(5.957708, shape=(), dtype=float32)"
2,4.642978685610063e-07,1.497583948522331e-06,"tf.Tensor(5.541274, shape=(), dtype=float32)","tf.Tensor(5.189764, shape=(), dtype=float32)","tf.Tensor(5.589032, shape=(), dtype=float32)","tf.Tensor(5.246076, shape=(), dtype=float32)"
3,5.751355513947878e-07,2.0727194999171188e-06,"tf.Tensor(4.9392934, shape=(), dtype=float32)","tf.Tensor(4.55687, shape=(), dtype=float32)","tf.Tensor(4.9846673, shape=(), dtype=float32)","tf.Tensor(4.6131554, shape=(), dtype=float32)"
4,4.956881659910493e-07,2.568407665908168e-06,"tf.Tensor(4.408377, shape=(), dtype=float32)","tf.Tensor(4.002484, shape=(), dtype=float32)","tf.Tensor(4.4509797, shape=(), dtype=float32)","tf.Tensor(4.055517, shape=(), dtype=float32)"
5,4.784848287261145e-07,3.0468924946342825e-06,"tf.Tensor(3.9444642, shape=(), dtype=float32)","tf.Tensor(3.5226445, shape=(), dtype=float32)","tf.Tensor(3.9838355, shape=(), dtype=float32)","tf.Tensor(3.5700753, shape=(), dtype=float32)"
6,4.4142222433609517e-07,3.488314718970378e-06,"tf.Tensor(3.5401115, shape=(), dtype=float32)","tf.Tensor(3.1096501, shape=(), dtype=float32)","tf.Tensor(3.5756881, shape=(), dtype=float32)","tf.Tensor(3.15051, shape=(), dtype=float32)"
7,4.953010463939059e-07,3.983615765364284e-06,"tf.Tensor(3.1936076, shape=(), dtype=float32)","tf.Tensor(2.7614381, shape=(), dtype=float32)","tf.Tensor(3.224803, shape=(), dtype=float32)","tf.Tensor(2.8013842, shape=(), dtype=float32)"
8,4.875031119581046e-07,4.471118877322388e-06,"tf.Tensor(2.9008508, shape=(), dtype=float32)","tf.Tensor(2.4727225, shape=(), dtype=float32)","tf.Tensor(2.9271154, shape=(), dtype=float32)","tf.Tensor(2.5112364, shape=(), dtype=float32)"
9,5.420306366755763e-07,5.013149513997965e-06,"tf.Tensor(2.6584918, shape=(), dtype=float32)","tf.Tensor(2.2396426, shape=(), dtype=float32)","tf.Tensor(2.6793365, shape=(), dtype=float32)","tf.Tensor(2.2726955, shape=(), dtype=float32)"
10,4.88215309552003e-07,5.501364823549968e-06,"tf.Tensor(2.4630308, shape=(), dtype=float32)","tf.Tensor(2.0551693, shape=(), dtype=float32)","tf.Tensor(2.4782002, shape=(), dtype=float32)","tf.Tensor(2.080837, shape=(), dtype=float32)"
11,4.629206156664828e-07,5.964285439216451e-06,"tf.Tensor(2.3093681, shape=(), dtype=float32)","tf.Tensor(1.913219, shape=(), dtype=float32)","tf.Tensor(2.3189764, shape=(), dtype=float32)","tf.Tensor(1.9308014, shape=(), dtype=float32)"
12,4.99961588022453e-07,6.464247027238904e-06,"tf.Tensor(2.191491, shape=(), dtype=float32)","tf.Tensor(1.805865, shape=(), dtype=float32)","tf.Tensor(2.1959314, shape=(), dtype=float32)","tf.Tensor(1.8165996, shape=(), dtype=float32)"
13,4.994151842910294e-07,6.963662211529934e-06,"tf.Tensor(2.1019382, shape=(), dtype=float32)","tf.Tensor(1.7251868, shape=(), dtype=float32)","tf.Tensor(2.1019104, shape=(), dtype=float32)","tf.Tensor(1.7307998, shape=(), dtype=float32)"
14,4.814479098014777e-07,7.445110121331412e-06,"tf.Tensor(2.0331643, shape=(), dtype=float32)","tf.Tensor(1.6628972, shape=(), dtype=float32)","tf.Tensor(2.029464, shape=(), dtype=float32)","tf.Tensor(1.6654999, shape=(), dtype=float32)"
15,5.20991491452394e-07,7.966101612783806e-06,"tf.Tensor(1.979434, shape=(), dtype=float32)","tf.Tensor(1.6143215, shape=(), dtype=float32)","tf.Tensor(1.9732159, shape=(), dtype=float32)","tf.Tensor(1.6149169, shape=(), dtype=float32)"
16,4.61294782927415e-07,8.427396395711222e-06,"tf.Tensor(1.9354514, shape=(), dtype=float32)","tf.Tensor(1.5748054, shape=(), dtype=float32)","tf.Tensor(1.9278469, shape=(), dtype=float32)","tf.Tensor(1.5746601, shape=(), dtype=float32)"
17,4.973388860761029e-07,8.924735281787325e-06,"tf.Tensor(1.8972203, shape=(), dtype=float32)","tf.Tensor(1.5406427, shape=(), dtype=float32)","tf.Tensor(1.8896613, shape=(), dtype=float32)","tf.Tensor(1.5413145, shape=(), dtype=float32)"
18,4.560123334995423e-07,9.380747615286867e-06,"tf.Tensor(1.8606455, shape=(), dtype=float32)","tf.Tensor(1.5082666, shape=(), dtype=float32)","tf.Tensor(1.8546716, shape=(), dtype=float32)","tf.Tensor(1.5108353, shape=(), dtype=float32)"
19,5.098293355124933e-07,9.890576950799361e-06,"tf.Tensor(1.8234307, shape=(), dtype=float32)","tf.Tensor(1.4755946, shape=(), dtype=float32)","tf.Tensor(1.8204916, shape=(), dtype=float32)","tf.Tensor(1.4806676, shape=(), dtype=float32)"
20,4.802211214917141e-07,1.0370798072291076e-05,"tf.Tensor(1.7854629, shape=(), dtype=float32)","tf.Tensor(1.4420997, shape=(), dtype=float32)","tf.Tensor(1.7870349, shape=(), dtype=float32)","tf.Tensor(1.4506073, shape=(), dtype=float32)"
21,4.924395361603608e-07,1.0863237608451436e-05,"tf.Tensor(1.7479833, shape=(), dtype=float32)","tf.Tensor(1.4090285, shape=(), dtype=float32)","tf.Tensor(1.7550412, shape=(), dtype=float32)","tf.Tensor(1.4216053, shape=(), dtype=float32)"
22,4.793087650283112e-07,1.1342546373479747e-05,"tf.Tensor(1.7123101, shape=(), dtype=float32)","tf.Tensor(1.3778454, shape=(), dtype=float32)","tf.Tensor(1.725386, shape=(), dtype=float32)","tf.Tensor(1.3942508, shape=(), dtype=float32)"
23,4.5623838090232436e-07,1.179878475438207e-05,"tf.Tensor(1.6796043, shape=(), dtype=float32)","tf.Tensor(1.3497199, shape=(), dtype=float32)","tf.Tensor(1.6989998, shape=(), dtype=float32)","tf.Tensor(1.3699869, shape=(), dtype=float32)"
24,4.464060928197216e-07,1.2245190847201792e-05,"tf.Tensor(1.649635, shape=(), dtype=float32)","tf.Tensor(1.3242304, shape=(), dtype=float32)","tf.Tensor(1.6742579, shape=(), dtype=float32)","tf.Tensor(1.3472497, shape=(), dtype=float32)"
25,4.81690437815951e-07,1.2726881285017743e-05,"tf.Tensor(1.6212149, shape=(), dtype=float32)","tf.Tensor(1.3002448, shape=(), dtype=float32)","tf.Tensor(1.6508616, shape=(), dtype=float32)","tf.Tensor(1.3258638, shape=(), dtype=float32)"
26,4.497759037082017e-07,1.3176657188725945e-05,"tf.Tensor(1.5940157, shape=(), dtype=float32)","tf.Tensor(1.2774265, shape=(), dtype=float32)","tf.Tensor(1.6277826, shape=(), dtype=float32)","tf.Tensor(1.3053064, shape=(), dtype=float32)"
27,4.850479179633167e-07,1.3661705106689262e-05,"tf.Tensor(1.56692, shape=(), dtype=float32)","tf.Tensor(1.2545723, shape=(), dtype=float32)","tf.Tensor(1.6043606, shape=(), dtype=float32)","tf.Tensor(1.2856069, shape=(), dtype=float32)"
28,4.864846909393653e-07,1.4148189797628627e-05,"tf.Tensor(1.539875, shape=(), dtype=float32)","tf.Tensor(1.2315482, shape=(), dtype=float32)","tf.Tensor(1.5813167, shape=(), dtype=float32)","tf.Tensor(1.2660481, shape=(), dtype=float32)"
29,4.526080114273067e-07,1.4600797809055933e-05,"tf.Tensor(1.5129012, shape=(), dtype=float32)","tf.Tensor(1.2084696, shape=(), dtype=float32)","tf.Tensor(1.5578636, shape=(), dtype=float32)","tf.Tensor(1.2463166, shape=(), dtype=float32)"
30,4.794411764508241e-07,1.5080238985506756e-05,"tf.Tensor(1.485395, shape=(), dtype=float32)","tf.Tensor(1.1849904, shape=(), dtype=float32)","tf.Tensor(1.5349767, shape=(), dtype=float32)","tf.Tensor(1.2270308, shape=(), dtype=float32)"
31,4.914727671649063e-07,1.5571711752671663e-05,"tf.Tensor(1.4575938, shape=(), dtype=float32)","tf.Tensor(1.1611603, shape=(), dtype=float32)","tf.Tensor(1.5117091, shape=(), dtype=float32)","tf.Tensor(1.2071548, shape=(), dtype=float32)"
32,4.7209764317255535e-07,1.6043809395844217e-05,"tf.Tensor(1.429211, shape=(), dtype=float32)","tf.Tensor(1.1367193, shape=(), dtype=float32)","tf.Tensor(1.4872066, shape=(), dtype=float32)","tf.Tensor(1.1865138, shape=(), dtype=float32)"
33,4.524683226943308e-07,1.6496277718538548e-05,"tf.Tensor(1.4007182, shape=(), dtype=float32)","tf.Tensor(1.1120774, shape=(), dtype=float32)","tf.Tensor(1.4627208, shape=(), dtype=float32)","tf.Tensor(1.1648585, shape=(), dtype=float32)"
34,4.3753761579524484e-07,1.6933815334333792e-05,"tf.Tensor(1.3722541, shape=(), dtype=float32)","tf.Tensor(1.0875173, shape=(), dtype=float32)","tf.Tensor(1.4378337, shape=(), dtype=float32)","tf.Tensor(1.1423463, shape=(), dtype=float32)"
35,4.751837486802389e-07,1.7408999083014033e-05,"tf.Tensor(1.3442066, shape=(), dtype=float32)","tf.Tensor(1.0631765, shape=(), dtype=float32)","tf.Tensor(1.4127369, shape=(), dtype=float32)","tf.Tensor(1.1189878, shape=(), dtype=float32)"
36,4.506687149439034e-07,1.7859667797957936e-05,"tf.Tensor(1.3169725, shape=(), dtype=float32)","tf.Tensor(1.0394816, shape=(), dtype=float32)","tf.Tensor(1.3884232, shape=(), dtype=float32)","tf.Tensor(1.0967339, shape=(), dtype=float32)"
