epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,9.494816671508657e-07,9.494816671508657e-07,202713.375,2.217748709740969,2.153662774272724
1,8.03726870094474e-07,1.7532085372453397e-06,74554.552734375,1.2614830670874717,1.1358171616644384
2,7.927030888127561e-07,2.5459116260580955e-06,20587.6728515625,0.6731941028560551,0.46745887260198526
3,9.492222924456734e-07,3.495133918503769e-06,28933.8330078125,0.5937720770659829,0.3653194895902708
4,8.94076255480135e-07,4.389210173983904e-06,31791.19482421875,0.6185429972471715,0.41120373719929026
5,8.097929344289744e-07,5.199003108412878e-06,17137.800537109375,0.7772694132791927,0.5960434492141794
6,8.304990497686966e-07,6.029502158181574e-06,11193.153564453125,0.9186491074892942,0.7710821256588322
7,9.474701462859691e-07,6.976972304467543e-06,13131.80517578125,0.9070205898062165,0.7725476913071093
8,7.714879438910964e-07,7.74846024835864e-06,11286.710205078125,0.7760107648902778,0.6204565053639814
9,8.128364781106144e-07,8.561296726469254e-06,7854.5294189453125,0.6356013931804573,0.44122170802528815
10,7.466486961416024e-07,9.307945422610856e-06,7434.077392578125,0.5621706953786191,0.34863681410645797
11,7.290213784042568e-07,1.0036966801015112e-05,6555.581787109375,0.5395492438150261,0.3216691306182372
12,7.60330953281446e-07,1.0797297754296557e-05,5840.3671875,0.5453711841928319,0.3285252588473769
13,8.109407230613804e-07,1.1608238477357937e-05,5248.8011474609375,0.5567550104887752,0.3428024286548545
14,7.71464000606987e-07,1.2379702477964924e-05,5373.6126708984375,0.5475475748303147,0.33149424898156743
15,7.269997531430769e-07,1.3106702231108001e-05,4921.1649169921875,0.5205093599812513,0.2962753133323623
16,7.51125451482238e-07,1.3857827682590239e-05,4651.6439208984375,0.49641553604461774,0.26718860375899556
17,7.925632554237227e-07,1.4650390938013961e-05,4674.1666259765625,0.483152035793154,0.25367636417925676
18,8.496088451372832e-07,1.5499999783151245e-05,4546.700439453125,0.4785352886482397,0.24875787589346313
19,7.579268390626889e-07,1.6257926622213933e-05,4493.0799560546875,0.4784243163866709,0.2478009443455031
20,7.42711335534913e-07,1.7000637957748846e-05,4355.4229736328125,0.47795818662997097,0.2471232446648239
21,7.472645106622796e-07,1.7747902468411126e-05,4395.4737548828125,0.4746893178265113,0.24448083319114886
22,1.0219983896868695e-06,1.8769900858097994e-05,4313.3892822265625,0.4696608517065432,0.24094030724667417
23,1.0896186988179484e-06,1.9859519556915944e-05,4261.93017578125,0.46619011244423797,0.2388175811803869
24,9.015833075894015e-07,2.0761102864505345e-05,4199.771423339844,0.4649134720002722,0.23829945681308332
25,7.901397282390498e-07,2.1551242592744396e-05,4202.2958984375,0.46532225018764795,0.2386563527278411
26,9.761579091003757e-07,2.2527400501844772e-05,4052.6228637695312,0.46503144539764146,0.23848091621723816
27,1.2036070179020833e-06,2.3731007519746856e-05,4090.3300170898438,0.4639323439708721,0.23769696994223996
28,1.565557920656429e-06,2.5296565440403284e-05,4037.9074096679688,0.46266303872227454,0.23657857208480068
29,1.6208680700822774e-06,2.6917433510485562e-05,3882.268798828125,0.46156861053135373,0.23593807635212696
30,8.216374248501583e-07,2.773907093533572e-05,3997.9376220703125,0.4609390446888064,0.23586622087638145
31,7.95618035406934e-07,2.8534688970742655e-05,3896.8936767578125,0.4606755595781654,0.23601300077852244
32,7.707697125154288e-07,2.9305458683258084e-05,3843.6006469726562,0.46039786336374705,0.23590421084747631
33,7.338217971599696e-07,3.0039280480418054e-05,3777.9596557617188,0.45965949678830287,0.23564503267859704
34,7.283043166354908e-07,3.076758479705355e-05,3798.0628662109375,0.4585381153625086,0.23546559181811316
35,7.322585668103899e-07,3.149984336386394e-05,3741.7098388671875,0.4580105576205885,0.2357151496018298
36,7.317615152621649e-07,3.22316048791261e-05,3645.8828735351562,0.4577394079451528,0.2352388632667986
37,7.213080294828419e-07,3.295291290860894e-05,3655.0569458007812,0.45707738844632084,0.23425556518811835
38,7.408249354477328e-07,3.369373784405668e-05,3617.4813232421875,0.45645625929482103,0.23411308901459235
39,7.124229625251171e-07,3.440616080658179e-05,3578.008056640625,0.4555435524247596,0.23396051149281016
40,7.867175063388508e-07,3.519287831292064e-05,3571.7557983398438,0.4549696883565924,0.23393614000305055
41,1.1068383067663634e-06,3.6299716619687005e-05,3462.0982666015625,0.45506279380906745,0.23383550863394736
42,1.2071181966589597e-06,3.7506834816345965e-05,3436.1220092773438,0.45487893637031335,0.2333285708115068
43,1.0582161424278698e-06,3.8565050958773836e-05,3472.489990234375,0.45437558655206095,0.2333088878316379
44,9.48132787618966e-07,3.95131837463928e-05,3375.3952026367188,0.4540452973920688,0.23318075909069766
45,8.143769680829997e-07,4.03275607144758e-05,3383.4260864257812,0.4537484569410704,0.23287590701175878
46,7.970221915747967e-07,4.11245829060506e-05,3340.9000244140625,0.45281992707959,0.23260745049991868
47,8.043203264812452e-07,4.192890323253184e-05,3344.1649780273438,0.4520925371270692,0.23260628739657951
48,7.808615184469559e-07,4.27097647509788e-05,3196.1077270507812,0.4519970207477338,0.23274036165358225
49,7.579353088069748e-07,4.346770005978577e-05,3213.9896850585938,0.45189055161870273,0.2322305486806441
