epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,mae,time_sec,memory_mb,cpu_percent
1,1.683950420464417e-06,1.683950420464417e-06,2.7696568965911865,0.3266538083553314,0.5715363195054587,0.333463852119663,6.620051145553589,424.6796875,15.9
2,6.684409705531767e-07,2.3523913910175936e-06,0.4541912376880646,0.2648635804653168,0.5146489839363834,0.2703593004378619,5.553907632827759,429.33203125,15.5
3,6.906643218308512e-07,3.043055712848445e-06,0.3902035057544708,0.2767607867717743,0.5260806308129198,0.2676473183456255,5.543493986129761,430.53515625,13.4
4,6.908854870250097e-07,3.7339411998734544e-06,0.3477456569671631,0.2968390882015228,0.5448294236428834,0.28329455752918226,5.579735279083252,431.671875,15.9
5,7.164470267408157e-07,4.45038822661427e-06,0.3174351453781128,0.2980653941631317,0.5459536493528548,0.2783409127824,5.585379600524902,432.69921875,13.7
6,6.708854491997806e-07,5.12127367581405e-06,0.296404629945755,0.3294293284416199,0.5739593664223825,0.3156757193512151,5.529743671417236,433.6953125,12.8
7,7.097867168788529e-07,5.831060392692903e-06,0.2744472026824951,0.3465763330459595,0.5887073586247721,0.33664541154355876,5.582183361053467,433.98046875,14.0
8,6.905419432178221e-07,6.521602335910725e-06,0.2578315734863281,0.3758178651332855,0.6130398528282255,0.37822064388411114,5.582925796508789,434.98828125,13.9
9,6.503982764146022e-07,7.172000612325327e-06,0.2431495636701584,0.309841126203537,0.5566337414883632,0.2980106834687846,5.506974697113037,435.93359375,13.6
10,7.034029297809813e-07,7.875403542106308e-06,0.23351550102233887,0.37261462211608887,0.6104216998295845,0.38986014190135854,5.547310829162598,436.1171875,13.5
11,7.025800198270995e-07,8.577983561933407e-06,0.22505107522010803,0.3648858368396759,0.6040577963236624,0.38652920273697544,5.568554878234863,437.87890625,15.0
12,7.134432972860725e-07,9.29142685921948e-06,0.21793268620967865,0.33800211548805237,0.5813794903505677,0.3514673939272868,5.594839811325073,438.8828125,13.4
13,7.038189151514977e-07,9.995245774370977e-06,0.2118343859910965,0.3148301839828491,0.5610972876500203,0.3264895473604418,5.5771918296813965,439.13671875,13.1
14,6.827054404943e-07,1.0677951214865277e-05,0.20706044137477875,0.31240957975387573,0.5589361391633821,0.3215292026235714,5.576361179351807,440.08203125,12.3
15,7.063868130339224e-07,1.13843380278992e-05,0.20470409095287323,0.29835209250450134,0.5462161206490669,0.3036760733759945,5.567681550979614,441.1171875,13.6
16,6.755439274935426e-07,1.2059881955392741e-05,0.20132878422737122,0.2698935866355896,0.5195128322707564,0.2549613768655327,5.5583107471466064,442.01953125,14.0
17,7.161311444517028e-07,1.2776013099844444e-05,0.19959884881973267,0.2491666078567505,0.49916586473330105,0.21693588198546127,5.607754707336426,442.359375,16.5
18,7.080136976655792e-07,1.3484026797510024e-05,0.19750012457370758,0.24551506340503693,0.4954947748105801,0.21134034492723688,5.587030649185181,443.33984375,12.9
19,7.065850068227189e-07,1.4190611804332742e-05,0.19627626240253448,0.2352832406759262,0.4850600292167014,0.19315017352373265,5.5897300243377686,444.34375,13.3
20,7.154256413330471e-07,1.490603744566579e-05,0.19527657330036163,0.23469993472099304,0.48445842370593306,0.19122988144564423,5.581238269805908,444.58984375,14.6
21,6.786228169637325e-07,1.5584660262629522e-05,0.19395723938941956,0.22770871222019196,0.4771883641699865,0.18808116680928472,5.605140924453735,445.62109375,18.4
22,7.006625235529622e-07,1.6285322786182485e-05,0.19360776245594025,0.22245965898036957,0.4716562996862385,0.18740444379176452,5.596576929092407,446.52734375,12.2
23,7.115120577642443e-07,1.6996834843946728e-05,0.19311988353729248,0.21461351215839386,0.4632639690509603,0.19492786358180206,5.571326017379761,447.03515625,13.0
24,7.144673113778041e-07,1.771130215532453e-05,0.19265547394752502,0.21438772976398468,0.4630202588844278,0.19372088668110587,5.589086055755615,448.0390625,12.7
25,7.172543867050381e-07,1.8428556542029568e-05,0.1925009787082672,0.2124265879392624,0.46089757697692446,0.197353286073703,5.592786073684692,448.98046875,14.8
26,6.818209814260536e-07,1.911037752345562e-05,0.19198302924633026,0.2097126990556717,0.4579440068797165,0.20411259661771006,5.537587642669678,449.2265625,15.9
27,6.922801459553079e-07,1.980265766941093e-05,0.19190174341201782,0.20491015911102295,0.4526700126898828,0.2197734187125325,5.569424390792847,450.23046875,14.2
28,7.071370197727474e-07,2.0509794689183677e-05,0.19152849912643433,0.20284098386764526,0.45037870274218983,0.2305425275960152,5.583334445953369,451.10546875,13.3
29,6.73282450442503e-07,2.118307713962618e-05,0.19139364361763,0.20429497957229614,0.451990023127665,0.22353149265649677,5.5385448932647705,451.37890625,15.3
30,6.946239159051018e-07,2.1877701055531282e-05,0.1915035843849182,0.20536617934703827,0.45317347465388647,0.21632155698657074,5.573565721511841,452.3828125,12.8
31,7.412981629820167e-07,2.26189992185133e-05,0.19122183322906494,0.2024996429681778,0.4499996256960481,0.23086454792103372,5.626965045928955,453.38671875,14.0
32,7.992381850136251e-07,2.3418237403526923e-05,0.19130033254623413,0.20489659905433655,0.4526550536124636,0.2204768487853415,5.682635068893433,453.62890625,24.9
33,7.135697259598555e-07,2.4131807129486778e-05,0.19127178192138672,0.20569245517253876,0.45353330917356993,0.21409408883978254,5.5605409145355225,454.88671875,14.8
34,6.855442644204804e-07,2.4817351393907258e-05,0.19120492041110992,0.2009018063545227,0.44822072608513824,0.24521408610622708,5.58258843421936,455.82421875,13.5
35,7.155631349283122e-07,2.553291452883557e-05,0.1912303864955902,0.203849196434021,0.45149660540845893,0.22261256730299628,5.595714330673218,456.10546875,11.0
36,7.843220844751152e-07,2.6317236613310687e-05,0.19108502566814423,0.20168837904930115,0.44909729706283885,0.23526776014497258,5.665740013122559,457.10546875,15.4
37,6.953524294764355e-07,2.7012589042787123e-05,0.19107994437217712,0.20116622745990753,0.4485155691609689,0.24036326619562176,5.581828355789185,458.046875,13.5
38,6.843254560526005e-07,2.7696914498839723e-05,0.19087308645248413,0.20226970314979553,0.4497440581995955,0.23442083898160496,5.562861919403076,459.046875,12.9
39,6.972617783411256e-07,2.8394176277180847e-05,0.1908874213695526,0.200372576713562,0.4476299741972867,0.24630447937825614,5.5501203536987305,459.234375,14.4
40,6.992557674172359e-07,2.9093432044598083e-05,0.19071239233016968,0.2004673033952713,0.44773575983041386,0.246779732101726,5.576677560806274,460.17578125,12.0
41,6.983125483231877e-07,2.979174459292127e-05,0.19089190661907196,0.2011936753988266,0.4485461366967077,0.23904190490470167,5.569485664367676,460.48828125,12.6
42,6.90116897059679e-07,3.0481861489980947e-05,0.1906977742910385,0.20080037415027618,0.44810754852597023,0.24462634160801233,5.527170181274414,461.48828125,14.3
43,6.876758893471152e-07,3.116953737932806e-05,0.19067516922950745,0.2025996744632721,0.45011072602158997,0.23006604434792546,5.547126054763794,461.73828125,14.0
44,6.948014026015452e-07,3.1864338781929605e-05,0.19070032238960266,0.2002762109041214,0.447522281610415,0.2462292070533436,5.571601867675781,462.73828125,13.1
45,7.173412780838195e-07,3.258168006001342e-05,0.19067886471748352,0.20038056373596191,0.4476388842179443,0.24829012051199673,5.560297012329102,463.6796875,14.3
46,8.164047655714725e-07,3.339808482558489e-05,0.19059820473194122,0.20078051090240479,0.44808536070374033,0.24444255448854416,5.70290470123291,464.67578125,27.0
47,7.557014830464293e-07,3.415378630863132e-05,0.19068406522274017,0.20167462527751923,0.44908200479948246,0.23776132105981937,5.6515052318573,465.6796875,28.4
48,7.462539525605256e-07,3.490004026119185e-05,0.19054365158081055,0.20234833657741547,0.44983147210897423,0.22988853248121385,5.659209966659546,466.62109375,17.8
49,7.522239057784699e-07,3.565226416697032e-05,0.1907903552055359,0.2014203667640686,0.4487988249321077,0.24067761323633308,5.622518539428711,467.62109375,12.7
50,7.611427243603524e-07,3.641340689133067e-05,0.19067418575286865,0.20172007381916046,0.449132574093237,0.23580738244425556,5.586558818817139,468.62109375,15.1
