epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
0,2.7132504826162775e-06,2.7132504826162775e-06,"tf.Tensor(0.4793331, shape=(), dtype=float32)","tf.Tensor(0.1917428, shape=(), dtype=float32)","tf.Tensor(0.49263453, shape=(), dtype=float32)","tf.Tensor(0.1991344, shape=(), dtype=float32)"
1,2.724554227081554e-06,5.437804709697831e-06,"tf.Tensor(0.4346154, shape=(), dtype=float32)","tf.Tensor(0.25052702, shape=(), dtype=float32)","tf.Tensor(0.44719052, shape=(), dtype=float32)","tf.Tensor(0.25693056, shape=(), dtype=float32)"
2,2.6403214846429894e-06,8.078126194340821e-06,"tf.Tensor(0.42839494, shape=(), dtype=float32)","tf.Tensor(0.24560821, shape=(), dtype=float32)","tf.Tensor(0.44280705, shape=(), dtype=float32)","tf.Tensor(0.2530104, shape=(), dtype=float32)"
3,2.673000701773442e-06,1.0751126896114263e-05,"tf.Tensor(0.42040026, shape=(), dtype=float32)","tf.Tensor(0.2398606, shape=(), dtype=float32)","tf.Tensor(0.43744195, shape=(), dtype=float32)","tf.Tensor(0.2486294, shape=(), dtype=float32)"
4,2.6541234019849073e-06,1.340525029809917e-05,"tf.Tensor(0.4115724, shape=(), dtype=float32)","tf.Tensor(0.22641176, shape=(), dtype=float32)","tf.Tensor(0.43235886, shape=(), dtype=float32)","tf.Tensor(0.23705062, shape=(), dtype=float32)"
5,2.6816668101383927e-06,1.6086917108237563e-05,"tf.Tensor(0.4041107, shape=(), dtype=float32)","tf.Tensor(0.22465849, shape=(), dtype=float32)","tf.Tensor(0.4287131, shape=(), dtype=float32)","tf.Tensor(0.2370271, shape=(), dtype=float32)"
6,2.6457710151819513e-06,1.8732688123419516e-05,"tf.Tensor(0.3988477, shape=(), dtype=float32)","tf.Tensor(0.22411191, shape=(), dtype=float32)","tf.Tensor(0.42673498, shape=(), dtype=float32)","tf.Tensor(0.23793669, shape=(), dtype=float32)"
7,2.663675983194136e-06,2.139636410661365e-05,"tf.Tensor(0.3953274, shape=(), dtype=float32)","tf.Tensor(0.2246504, shape=(), dtype=float32)","tf.Tensor(0.42583993, shape=(), dtype=float32)","tf.Tensor(0.23981903, shape=(), dtype=float32)"
8,2.649254463888875e-06,2.4045618570502526e-05,"tf.Tensor(0.392948, shape=(), dtype=float32)","tf.Tensor(0.22262897, shape=(), dtype=float32)","tf.Tensor(0.42556927, shape=(), dtype=float32)","tf.Tensor(0.23890169, shape=(), dtype=float32)"
9,2.6597434171623635e-06,2.670536198766489e-05,"tf.Tensor(0.39130884, shape=(), dtype=float32)","tf.Tensor(0.22271578, shape=(), dtype=float32)","tf.Tensor(0.4251043, shape=(), dtype=float32)","tf.Tensor(0.23957069, shape=(), dtype=float32)"
10,2.6863034779742232e-06,2.9391665465639113e-05,"tf.Tensor(0.39013708, shape=(), dtype=float32)","tf.Tensor(0.22334711, shape=(), dtype=float32)","tf.Tensor(0.42473936, shape=(), dtype=float32)","tf.Tensor(0.24064457, shape=(), dtype=float32)"
11,2.671072808777065e-06,3.2062738274416175e-05,"tf.Tensor(0.38916913, shape=(), dtype=float32)","tf.Tensor(0.22091457, shape=(), dtype=float32)","tf.Tensor(0.42474487, shape=(), dtype=float32)","tf.Tensor(0.23869513, shape=(), dtype=float32)"
12,2.647048612908357e-06,3.4709786887324535e-05,"tf.Tensor(0.38851935, shape=(), dtype=float32)","tf.Tensor(0.22359307, shape=(), dtype=float32)","tf.Tensor(0.4244817, shape=(), dtype=float32)","tf.Tensor(0.24157527, shape=(), dtype=float32)"
13,2.7614774208923352e-06,3.747126430821687e-05,"tf.Tensor(0.38788325, shape=(), dtype=float32)","tf.Tensor(0.2197844, shape=(), dtype=float32)","tf.Tensor(0.4245734, shape=(), dtype=float32)","tf.Tensor(0.23816526, shape=(), dtype=float32)"
14,2.5888653959157517e-06,4.006012970413262e-05,"tf.Tensor(0.38740847, shape=(), dtype=float32)","tf.Tensor(0.2201688, shape=(), dtype=float32)","tf.Tensor(0.4244195, shape=(), dtype=float32)","tf.Tensor(0.2387309, shape=(), dtype=float32)"
15,2.6667994816777815e-06,4.2726929185810404e-05,"tf.Tensor(0.38705748, shape=(), dtype=float32)","tf.Tensor(0.21906972, shape=(), dtype=float32)","tf.Tensor(0.42448232, shape=(), dtype=float32)","tf.Tensor(0.23778905, shape=(), dtype=float32)"
16,2.5638056729906022e-06,4.529073485880101e-05,"tf.Tensor(0.38675317, shape=(), dtype=float32)","tf.Tensor(0.21858586, shape=(), dtype=float32)","tf.Tensor(0.4243669, shape=(), dtype=float32)","tf.Tensor(0.23742986, shape=(), dtype=float32)"
17,2.590044849446678e-06,4.788077970824769e-05,"tf.Tensor(0.3864802, shape=(), dtype=float32)","tf.Tensor(0.21918936, shape=(), dtype=float32)","tf.Tensor(0.424083, shape=(), dtype=float32)","tf.Tensor(0.23805213, shape=(), dtype=float32)"
18,2.657602864898395e-06,5.0538382573146085e-05,"tf.Tensor(0.3862521, shape=(), dtype=float32)","tf.Tensor(0.21845624, shape=(), dtype=float32)","tf.Tensor(0.42417043, shape=(), dtype=float32)","tf.Tensor(0.23763855, shape=(), dtype=float32)"
19,2.6988825225244053e-06,5.323726509567049e-05,"tf.Tensor(0.38608196, shape=(), dtype=float32)","tf.Tensor(0.21746945, shape=(), dtype=float32)","tf.Tensor(0.42418748, shape=(), dtype=float32)","tf.Tensor(0.2365773, shape=(), dtype=float32)"
20,2.598578802697536e-06,5.5835843898368025e-05,"tf.Tensor(0.38587624, shape=(), dtype=float32)","tf.Tensor(0.21962014, shape=(), dtype=float32)","tf.Tensor(0.4241058, shape=(), dtype=float32)","tf.Tensor(0.23888126, shape=(), dtype=float32)"
21,2.6808443767416136e-06,5.851668827510964e-05,"tf.Tensor(0.38572326, shape=(), dtype=float32)","tf.Tensor(0.21840025, shape=(), dtype=float32)","tf.Tensor(0.42401037, shape=(), dtype=float32)","tf.Tensor(0.23779966, shape=(), dtype=float32)"
22,2.626699471433751e-06,6.114338774654339e-05,"tf.Tensor(0.38558036, shape=(), dtype=float32)","tf.Tensor(0.21892504, shape=(), dtype=float32)","tf.Tensor(0.4239472, shape=(), dtype=float32)","tf.Tensor(0.23834457, shape=(), dtype=float32)"
23,2.696578745239795e-06,6.383996649178318e-05,"tf.Tensor(0.3854659, shape=(), dtype=float32)","tf.Tensor(0.21841146, shape=(), dtype=float32)","tf.Tensor(0.42387268, shape=(), dtype=float32)","tf.Tensor(0.23774381, shape=(), dtype=float32)"
24,2.94836419432653e-06,6.67883306861097e-05,"tf.Tensor(0.3853446, shape=(), dtype=float32)","tf.Tensor(0.21795692, shape=(), dtype=float32)","tf.Tensor(0.42405123, shape=(), dtype=float32)","tf.Tensor(0.23743907, shape=(), dtype=float32)"
25,3.0335758711774478e-06,6.982190655728716e-05,"tf.Tensor(0.38533887, shape=(), dtype=float32)","tf.Tensor(0.22106846, shape=(), dtype=float32)","tf.Tensor(0.42383787, shape=(), dtype=float32)","tf.Tensor(0.2405446, shape=(), dtype=float32)"
26,2.7343588933100194e-06,7.255626545059717e-05,"tf.Tensor(0.38518697, shape=(), dtype=float32)","tf.Tensor(0.21665093, shape=(), dtype=float32)","tf.Tensor(0.4240351, shape=(), dtype=float32)","tf.Tensor(0.23621689, shape=(), dtype=float32)"
27,2.867847601632768e-06,7.542411305222995e-05,"tf.Tensor(0.3850576, shape=(), dtype=float32)","tf.Tensor(0.2182707, shape=(), dtype=float32)","tf.Tensor(0.42369378, shape=(), dtype=float32)","tf.Tensor(0.23766617, shape=(), dtype=float32)"
28,2.7470315011128637e-06,7.817114455334281e-05,"tf.Tensor(0.3851152, shape=(), dtype=float32)","tf.Tensor(0.22099099, shape=(), dtype=float32)","tf.Tensor(0.42356923, shape=(), dtype=float32)","tf.Tensor(0.24030687, shape=(), dtype=float32)"
29,2.833952483076565e-06,8.100509703641937e-05,"tf.Tensor(0.38516784, shape=(), dtype=float32)","tf.Tensor(0.2222557, shape=(), dtype=float32)","tf.Tensor(0.423653, shape=(), dtype=float32)","tf.Tensor(0.24169993, shape=(), dtype=float32)"
30,2.831267172217348e-06,8.383636420863672e-05,"tf.Tensor(0.3849166, shape=(), dtype=float32)","tf.Tensor(0.2156122, shape=(), dtype=float32)","tf.Tensor(0.4241721, shape=(), dtype=float32)","tf.Tensor(0.23537827, shape=(), dtype=float32)"
